PS006|I dare say somebody's already said it to you but the family were very comforted and grateful for your service.
PS005|Well that's.
PS009|Just once and then we're going.
PS007|I mean I mean they must be you know.
PS005|Yes.
PS007|and er.
PS009|Okay thank you thank you.
PS007|I'll pop in and see you sometime when I'm down at the raf.
PS007|erm I want to get to the homes you know the old er.
PS005|Oh yes.
PS007|Because because I I didn't really say goodbye to some of those people.
PS005|Mm.
PS007|I popped in not long before Christmas popped in carol singing but that wasn't really a visit to say.
PS005|No no.
PS007|cheerio in in a proper way so I said I I'd go back I didn't tell but I I I will go back.
PS005|Cos you're doing it to yourself not to them You said it to yourself.
PS007|I did it to myself yes I I I thought to myself I think you are a damn fool you know.
PS005|It's graceful really.
PS007|Well you know there's a there's one one thing about talking to yourself you sometimes get more sensible answers than talking to anybody else.
PS005|Well you do When you talk to them and yo ge ge get a load of rubbish Talk to yourself and you think my God that's brilliant.
PS007|That's right.
PS005|Yeah yeah.
PS007|There's a clever fellow.
PS005|Oh yeah I says what a clever fellow I am I say And when I'm talking to myself I say what a clever fellow you are.
PS007|That's right.
PS005|Yeah Mm Yes.
PS007|Anyway er the whole thing's the thing's er.
PS005|I should be having it anyway.
PS007|Yeah.
PS007|Oh I'll be popping in from time to time.
PS005|Yeah I'm be glad to see you this time.
PS007|Popping in for a coffee morning some time.
PS005|You alright for Sunday night are you Will you be at.
PS007|Yes ye yes I'm I'm not preaching anywhere tomorrow so.
PS005|Oh Why are you speaking in stereo.
PS007|Because somebody's asked me to collect people's conversations because it's to to do with a firm that's making a new dictionary.
PS005|Oh yes.
PS007|And so I'm asked to record all the conversations I make this week.
PS005|I see Oh well I'm sorry I didn't know I was on record and er I withdraw all the remarks and I shall deny everything in court.
PS009|And anything you say may be taken down they say.
PS005|Yes oh yes.
PS009|Yeah I know.
PS007|We we're assured that it's all anonymous.
PS005|Oh we.
PS007|But I've but I've got write to your na but I've got to write your name in the book.
KB0PSUN|erm what are you doing.
PS005|Yeah When you gon na find your way up around my way.
PS007|But you know I've been terribly busy lately.
PS005|Yeah.
PS007|Oh it's.
PS005|Anyway you know er give us a tinkle first.
PS007|Yes I'll do that.
PS005|You can catch me on the phone.
PS007|Yes I I think I.
PS007|I think I've got your number.
PS005|Good Erm.
PS007|And I seem likely to be busy for a little while unfortunately.
PS005|How's the erm Roman going Is it.
PS007|Yes slow I've started but it's going rather slowly.
PS005|Oh.
PS007|I've done about twenty or thirty pages but that's.
PS005|Oh.
PS007|that's all.
PS005|Yeah Well it's not.
PS007|Mind you tha mind you that is type written pages not handwritten.
PS005|That's right yes.
PS007|Yes.
PS005|I er I'll get a cup of tea now.
PS009|You'll get one early I'll get one earlier.
PS005|Alright.
PS009|Right Did show you the photographs I gave you.
PS007|No I don't think.
PS009|Oh.
PS007|so.
PS009|well ask him cos I I she gave me the pho the photographs I took on the on that Friday night.
PS007|Oh.
PS007|when we did the farewell.
PS009|Yes.
PS009|have you got those photographs to show he hasn't seen them either Oh.
KB0PSUN|We're very.
PS007|Oh.
PS009|I never thought I saw him but I've I can get you copies if you want them Erm I get you he only did twelve.
KB0PSUN|I'm sure Mr is not listening.
PS009|Yes.
KB0PSUN|You're gon na get so let me have a look while you er.
PS007|That's right.
PS009|Picking all the young ladies.
PS007|Yes I can see her down there.
PS009|I know Are they like that.
KB0PSUN|Yes yes.
PS007|I think it's all good.
PS009|Mm.
PS003|So er.
PS007|Yes I've used about three tapes today.
PS005|Well let's hope it's all repeatable repeatable.
PS007|Good.
PS005|and er.
PS007|Goodness.
PS003|We were down there.
PS007|You went well on the young ladies.
PS005|I did indeed.
PS003|Yeah he did very well.
PS005|I always do every Sunday morning that's what I'm gon na miss you know.
PS007|I know.
KB0PSUN|Could I have some of you amongst.
PS003|Sorry about cutting the top of your head off but never mind you know You've still got your best features on.
PS003|Unfortunately I ruined the film I I thought the film had erm wound on finished and it had and it the batteries had gone flat so it hadn't so I opened it and I lost all the.
PS005|Oh yes I I did that once.
PS003|erm but.
PS005|The only thing you done it was lucky in that it was only the outer ones.
PS003|Yeah well there's only two or three of the that I lost.
PS005|You know cos I don't think I er the outer ones.
PS003|Well.
PS005|on the er.
PS003|Yeah.
PS005|actual spool.
PS003|Yeah.
PS007|Thanks.
PS005|Oh very good What do you mean you had more altogether.
PS003|Well I didn't know when I'd see you see so I thought I can always leave them at Dorothy's for you.
PS005|I mean that that.
PS003|Yeah.
PS005|thing.
PS003|Thinking I might might see you today but not knowing whether you would be coming.
PS005|No.
PS003|or not.
PS005|Well anyway George did tell me when I popped in after the funeral erm that you were hoping you'd be here today I said oh well I said I'll leave this here then you can.
PS003|Yeah.
PS005|Because erm er I didn't know whether I was gon na make it altogether you know I mean you don't do you.
PS003|No.
