KB2PSUN|Otherwise form two.
PS01U|It just depends what you want doesn't it.
PS01V|Well that's it I'll I'll once all of it's gone I mean if you want it's called.
PS01U|But they they like the cartoons and that you know.
PS01V|Mm mm.
PS01U|But they've changed that over but they won't.
PS01V|Ooh They've got a right good offer on at Manor Grove for videos last week they were er er eighto' clo er they were arriving I think there were only about half a dozen.
PS01U|Mm.
PS01V|Er eighth of February No First of February Well that that's not the arrangement cos I remember.
PS01V|looking.
PS01U|Er yeah.
PS01V|and erm it were a long play and it were hundred and twenty nine pound video.
PS01U|Was it.
PS01V|Yeah Ooh I said you ought to go get one of these She says oh I see enough bloody telly without recording Because that's where I got Angela's from.
PS01U|Yeah.
PS01V|You know.
PS01U|Yeah you did yeah.
PS01V|With it's compact disc or.
PS01U|Yeah.
PS01V|something.
PS01T|Where's my drill.
PS01V|She reckoned.
PS01T|Where's that.
PS01U|Leicester.
PS01T|Yeah.
PS01V|You got one of your own.
PS01T|Couple of minutes.
PS01V|Oh.
PS01U|They might be I know there was one in but it closed down didn't.
PS01V|Mm.
PS01U|it Is it nice the Manor Grove.
PS01V|Mm They weren't mixed but they won't bother them And.
PS01U|Oh.
PS01V|all that.
PS01U|That's cheap.
PS01U|though int it Hun.
PS01V|It were hundred and twen cos that to to tell you the truth I was seriously thinking because ours we've.
PS01U|Mm mm.
PS01V|had it ooh About seven year.
PS01U|Mm.
PS01V|And er I thought well well I wouldn't pass that one.
PS01U|Do you use yours a lot.
PS01V|Yeah we do.
PS01U|Mm.
PS01V|Mm.
PS01U|We got so that I mean especially if we're going out at night and something's.
PS01V|Yeah.
PS01U|on that I think's gon na be interesting I'll say oh well I'd like to.
PS01V|Yeah.
PS01U|have seen that.
PS01V|Well I took.
PS01U|you know.
PS01V|most of late films are on er like and we like to go to bed.
PS01U|Yeah.
PS01V|So I said Bill we'll tape that so if there's owt on.
PS01U|Mm.
PS01V|on telly.
PS01U|Mm.
PS01V|we can watch that like you know I don't mind buying any videos.
PS01U|No We don't but we we do tape But it's er had it we took round to that fella round Dash Hill there well Alec took it and er he said I'll ring you up in morning and give you an estimate Anyway he never rung so and we went out that was the day we went out we'd got to go.
PS01V|Mm.
PS01U|shopping we were out shopping from morning till.
PS01V|Yeah.
PS01U|didn't get home well four int it changed.
PS01V|And hour.
PS01U|Ooh And Joyce we got it back last.
PS01U|Friday and Saturday I come by car on Saturday and I go away Saturday then we had to go Friday.
PS01T|Oh.
PS01U|I didn't do any collecting Started it now.
PS01V|Mm.
PS01U|Er mind you what I did.
PS01V|You come out What did you come out for then.
PS01U|Well er no I were working Saturday morning.
PS01V|Oh right.
PS01U|so I says I'll meet you at quarter past twelve.
PS01V|Mm.
PS01U|at er Dave.
PS01V|Mm.
PS01U|and I'd got some collecting to do Well I went to Morrisons we had I'd got to do my shopping so by time I got to here.
PS01V|Mm.
