PS02K|Not being a driver darling I don't know really much about such things never had to worry I've always found somewhere chain my bike to a lamp post or er ha.
PS02H|That's quite often why I like when I go down Norbet Street I don't like parking in Norbet Street itself cos it's only half an hour if you park down Royal Place it's.
PS02G|It's a.
PS02H|an hour.
PS02G|It's an hour.
PS02H|Then I could have an hour you see so it just gives you that extra breathing space if you.
PS02G|Yeah cos half an hour's.
PS02G|not really long you get talking to somebody and.
PS02H|That's it you go to.
PS02G|you've.
PS02H|the butchers or the bakers or.
PS02G|Yeah.
PS02H|you have a couple of bets in the bookies that sort of thing.
PS02G|Half hour can soon be gone.
PS02H|Quite normal to be a little bit more than half an hour but el traffico wardens about an whoever takes your number sort of jus just after you parked then it is half an hour but sometimes it's not for.
PS02G|No why that's why they come round.
PS02H|yeah but you don't know that do you.
PS02G|No.
PS02H|If you're in the bookies and you don't happen to see them.
PS02G|Well they're just doing their job otherwise people would park anywhere all the time Oh dear Take me home.
PS02H|I'd love to.
PS02G|I'm having a sudden attack attack of I don't know what but.
PS02H|Morbidity.
PS02G|ah what's that mean.
PS02H|How's that sound.
PS02G|That sounds wonderful yeah look good on a signal.
PS02H|Morbidity.
PS02G|What's that.
PS02H|Well not feeling very happy morbid.
PS02G|Morbid.
PS02H|Mm yeah.
PS02G|Yeah oh yeah I've definitely got attack of that.
PS02H|Workitus.
PS02G|Yeah definitely Idolitus more like it.
PS02H|Oh no you're not idle are you darling.
PS02H|No way are you idle.
PS02G|I don't know I could quite easily become.
PS02H|Now now.
PS02G|Yep.
PS02H|Where shall we park today Ann.
PS02G|Wherever you think is suitable.
PS02H|Du n no I know where I'd like to park Not here.
PS02G|Not here.
PS02H|Anywhere but here.
PS02G|Well park somewhere else then.
PS02H|Hawthorn Cottages.
PS02G|That's it.
PS02H|Will do for now.
PS02G|Or draw a villa so we can have.
PS02H|Just.
PS02G|another explore.
PS02G|Mm be very very nice get more of an idea there erm than the whole of the shape of the kitchen and the shape of the bathroom and.
PS02H|Yeah Villa That okay darling.
PS02G|Yeah as right as I'm gon na be I suppose.
PS02H|Yoh.
PS02G|Don't forget your biccies else you'll have no tea lie down.
PS02G|Here That's your little lot What they for Oh Ted's having a bit of help.
PS02G|Ha Not in the full work where else would they rather be Got John today anyway.
PS037|just don't want.
PS02G|Yep Morning yep Wonder how his romance is going or not going.
PS02H|Why do you hope everything's alright.
PS02G|Stuart.
PS02G|Ha that darling was not called for Tha oh you were walking is it.
PS039|Mm.
PS02G|Oh so Ann's awful idea she's still having him on he's such a great giggle.
PS02H|Oh.
PS02G|Getting him all hot.
PS02H|We'll.
PS02G|and bothered.
PS02H|we'll.
PS02G|Just thinks it's a great giggle pretty cruel really I hardly ever do it.
PS02H|Ha Mum.
PS02G|Can't really be forced.
PS6TB|Er.
PS02G|I hope they don't want.
PS02G|Bit of a smelly job up there I would have thought.
PS02H|What.
PS02H|Hello ugly.
PS036|Oh hello ugly.
PS02H|Ah.
PS036|We can't help you improve your looks like.
PS02H|Ain't improved yours either Who had a go at your haircut.
PS02H|Well we'll get him for you Ain't left you with a lot you didn't have a lot before.
PS6TB|I.
PS6TB|Steven.
PS038|What.
PS6TB|I chucked an overall last night with forty pence in it.
PS6TB|I'll see you.
PS038|What.
PS6TB|And nobody.
PS036|That's a fix in n it I was gon na say I.
PS02G|Yeah.
PS036|Bet nobody in this world's gon na win back forty pence.
PS6TB|Thank you.
PS02G|I'll have his he'll only lose it.
PS02H|I.
PS02G|Yep.
PS02H|What's it with.
PS6TB|Thank you.
PS038|I say.
PS02G|Thank you What shall I do.
PS037|I don't know.
PS039|Hi Annie enjoyed your days off.
PS02G|Yep lovely thank you.
PS039|Good.
PS02H|Hi Jeanie.
PS02H|Yup.
PS037|No he Oh dear.
PS02G|Maybe he didn't get the job we got a new supervisor coming.
PS037|No.
PS03B|Hi Ann had a good.
PS02G|Hello.
PS03B|week.
PS02G|Yeah lovely.
PS03B|Great.
PS037|I think it is.
PS02G|No no one told me getting the push just said we were getting a new one so I mean that must have meant that we that he hadn't Commiserations but never mind.
PS6TB|Oh yeah.
PS02G|you went right away didn't you.
PS6TB|You know if I got in a.
PS02G|That's it Mm.
PS037|Like he's talking to Bernie.
PS02G|Are we getting a lady or a man do we know yet.
PS03C|No he didn't say.
PS037|Man I think.
PS6TB|Hiya.
PS037|I think.
PS02G|You might have something to do with it.
PS037|Go and see what's left for me I think I'll open the mail today.
PS02G|Why what's the matter.
PS037|last week I I cleared up every day.
PS02G|Every day.
PS037|alright you see I'd go in and count everything do everything.
PS037|out.
PS02G|cos.
PS037|She had a water leak the top you know where she works.
PS02G|Yeah.
PS037|While I was doing that all the drums I left last week for them just to do they hadn't done Okay there was thirty two baskets brought them all out made them gone off.
PS02G|Dear.
PS039|Yeah but I'm doing it and they clock in.
PS02G|Last week she kept up to it all I mean she done the lot and it was all weighed up and finished a before we went home all done.
PS039|Yeah but it's not good that I'm clocking slugging my heart out.
PS02G|Mm.
PS037|I mean no I'm not kidding when you drag them from where I am down to the scales that's fucking hard work mate.
PS03A|Ann did you have any draw tickets.
PS02G|I've got them.
PS03A|You checked.
PS02G|off Marion.
PS03A|You've checked them.
PS02G|I ain't checked them I've been on holiday I've only come back today that's been drawn has it.
PS03C|Oh Val won ten pound on the monthly draw again didn't she.
PS02G|Did she.
PS03C|Yeah.
PS02G|Oh I wonder where my tickets are now.
PS02G|I think they're in here.
PS03A|She said you were gon na.
PS02G|I won I've been on holiday mate so I ain't Stuart's got some and I've got some L seven seven one to seven seven five.
PS03A|Alright.
PS02G|and L seven seven eight six to eighty on the blue.
PS03A|Seven seventy three.
PS02G|Yep I got that.
PS03A|In the white.
PS02G|That's mine.
PS037|Ooh lovely.
PS036|Erm bottle of whisky.
PS02G|Ohhh.
PS02G|I like.
PS03F|my tickets there.
PS03A|seven seven three so I'll have that ticket.
PS02G|Yep.
PS03F|I like the sound of that John.
PS03A|seven seven.
PS02G|It would be that wouldn't it bottle of bacardi for Ann would it.
PS03A|Number three.
PS02G|And then I've eight two one to eight two five and.
PS03A|That's one then Ann and you go and get that.
PS02G|Yep I get that one at tea time.
PS03A|Now what else you got then.
PS02G|Eight se eight.
PS03A|Eight.
PS02G|eight two one to eight two five eight.
PS03A|Have you eight a that's that's on the white is it Yeah.
PS02G|I got white on.
PS03A|Eight sixteen that's on.
PS02G|Yeah.
PS03A|the white.
PS02H|You got that.
PS03A|Twenty nine snowball.
PS02H|Ooh.
PS02G|That's ni I like th I like the snowball so I'm alright.
PS02H|Oh that's alright.
