KB8PSUN|Pardon.
PS6NU|Going to the shop please.
PS14B|No we're going with the child minders tomorrow.
PS6NU|Oh we went erm we went the other week.
PS14B|I know.
PS6NU|but you never.
PS14B|I was you I I arrived as you had left er so.
PS14B|Louise afterwards.
PS6NU|aerobics on a Saturday afternoon.
PS14B|Oh yes.
PS14B|Aha.
PS14B|Is that the erm cardio func.
PS6NU|I don't know.
PS14B|or the er what is it Is there a lot of high impact in it.
PS14M|No you got.
PS6NU|No not really it's pretty low impact.
PS14B|Oh.
PS14B|Yes I go to Maxine's erm intermediate class I wouldn't be able to do the you know the really high very high impact They.
PS6NU|Well I mean I do I've been doing aerobics a long time It's pretty easy for me that.
PS14B|Yeah.
PS6NU|what she does but.
PS14M|We're gon na go.
PS14B|And apart from the fact that you're less than half my age It helps doesn't it Although the intermediate class most of them seem to be teenagers and twenties There's a few thirties and there's a couple I think probably in their forties but when it comes to the high impact they don't do it they just step it out you know Erm.
PS14M|push you in the buggy.
PS14B|But the.
PS14M|Push.
PS14B|the advance class on a the first one on a Friday morning is nearly all high impact.
PS6NU|Is it.
PS14B|There are very few floor exercises Well I wouldn't be able to do that But I can keep up with the intermediate class and I said to Maxine Does this get any harder And she said No we do different exercises but there's this amount of high impact So Oh what's the mat.
PS6NU|He's gone forward He's cutting his top teeth I think.
PS14B|Is he.
PS6NU|Yeah.
PS14B|Oh.
PS6NU|He had a cold when he cut his bottom two and his top ones are nearly through and he's getting cold.
PS14B|Have a look at have a look at baby Daniel.
PS6NU|Crying.
PS14B|Have a look at him See if he'll have a look at you.
PS6NU|There's a little boy Mm.
PS14B|There.
PS6NU|laughing I think you're tired.
PS14B|Is he a tired boy.
PS14M|Yeah.
PS14P|Poor Daniel.
PS6NU|I don't.
PS14B|Yes.
PS14P|Poor Daniel.
PS6NU|I saw you in the paper with him.
PS14B|Aha Have you seen Bryony's hair She's had it cut.
PS6NU|Has she.
PS14B|Yeah.
PS6NU|Was it right down her back was it.
PS14B|It was And it was so tangly And she wouldn't have it brushed and she was shaking her head about when you tried to brush it so She's lost all her curls from the bottom of it I don't know if it'll come back Yes she wanted to ride this morn I'm taking the buggy like this so I can carry the fruit and vegetables back from the market.
PS6NU|Oh yeah you.
PS14B|Get up Get up Oh fancy climbing under a buggy Get out.
PS6NU|on there.
PS14B|Get out.
PS14M|Get out.
PS14B|Yes tell your brother to get o Oh are you gon na keep him right today James James was the horror yesterday.
PS6NU|I think they all have their moments.
PS14B|No J James with a cheeky grin on his face just kee often when he gets in the mood goes round doing.
PS14B|anything he can find that he knows he shouldn't be doing like pulling things out the freezer and then the fridge and and pulling the cooker door down and.
PS14M|buggy.
PS14B|What I can't push the buggy with you riding on the back either You might trip off and go underneath it Jump down Right we'd better go Say bye bye to Daniel and Alison.
PS6NU|Bye.
PS14M|Bye.
PS14B|Bye bye Alison Right see you bye.
