KB8PSUN|Hello Tom.
PS17M|How you doing.
PS14B|How we doing We're progressing very slowly.
PS17M|Are you.
PS14B|As you can see Aren't we.
PS17M|Are there three like these.
PS14B|Yes they're triplets.
PS17M|But are are they yours no.
PS14B|No they're not mine.
PS17M|Eh.
PS14B|Do I want two year old triplets at fifty three.
PS17M|Oh they'd be they'd be saying Boy she's history.
PS14B|Ah Have you never noticed I only have them three days a week.
PS14M|What we got mine.
PS14B|You must have seen me often enough without them.
PS17M|Oh aye.
PS14N|What is.
PS14B|What is that man He's called Tom but I don't know What is your other name.
PS14B|Mr.
PS17M|I told them I told that I was going home for good when the sister hurted herself Between sister.
PS14P|he not.
PS14B|Aha.
PS17M|and she lives in Ireland you see.
PS14B|Yes.
PS17M|And er and I was telling everyone I said Oh I'm going to and I was flinging everything over the you know That I didn't didn't want her out And er I want to go back now to get the money.
PS14B|Oh yes.
PS17M|To see what to say So the fellow next door he says.
PS14B|Oh don't.
PS17M|Are you going to sell er sell your washing machine Yes I said on the I says I says a sixty six er hundred six hundred for it So I says erm Do you have any washing machines er that you have and all this and I give it all to him And now I'm starting to look for to get some.
PS14B|Oh.
PS17M|So anyway.
PS14B|So you're not going to go back now.
PS17M|No.
PS14B|Where is it you come from in Ireland.
PS14B|Oh That's right I remember talking to you and I said I had erm friends from that's in Tipperary isn't it.
PS17M|Aye.
PS14B|I had friends from.
PS17M|Aye Ooh.
PS14B|There were there were there were student nurses with me their their father was a sen senator.
PS17M|Aye.
PS14B|There was about nine children in the family I think The ones I knew were Bridget Margaret and Mary.
PS17M|Aye.
PS14B|They had brother.
PS17M|Aye.
PS14B|and I can't remember the rest.
PS17M|So they're nieces from.
PS14B|Yes yes.
PS17M|And they're nieces from they says Uncle Tom we hear that you're going er er back to Northern Ire or to Ireland I said Going to Northern Ireland Don't you go there they'd kill you And er.
PS14B|Yes.
PS17M|it's a long way off for them to Northern Ireland you see Lovely place for us coming Great great er for er football.
PS14B|Mm I used to read the erm these friend that I was a student nurse with erm used to have their local paper sent over and er I used to read it Not that I knew anything about the area of course But it was quite fascinating reading about the Ja Richard jump down Oh dear.
PS17M|Watch yourself there now.
PS14B|I think they're gon na start fighting any second.
PS17M|Oh.
PS14B|We'd better move No no Oh they're rub oh they're rubbing noses Oh.
PS17M|Aye.
PS14B|It's not a good idea because Richard's got a streaming cold and James hasn't.
PS17M|Oh get them out of it Good bye.
PS14B|Bye.
