KBBPSUN|Film.
PS03S|Film Leave the washing up we'll both.
PS03T|Alright.
PS03S|do it together.
PS03T|You sure Film Seven Cities of God that's on now Don't want that do you.
PS03S|No.
PS03T|The other one is Thorn Birds.
PS03S|Spea er speak to the thing and loudly or.
PS03T|Do you think it's taking.
PS03S|Shall have to see.
PS03T|I is it running Has the is the red light on Ah Oh I see Same as the other one.
PS03S|Oh oh.
PS03T|You know what's on tonight.
PS03S|Er anything any good.
PS03T|Well Grace and Favour you know th er Are You Being Served.
PS03S|Mm.
PS03T|That's on A new series but called Grace and Favour at eight.
PS03S|Is it.
PS03T|But.
PS03S|a series a series or just one.
PS03T|A new one A new.
PS03S|new series altogether.
PS03T|Yeah Gra Yeah the similar carrying on.
PS03S|Oh.
PS03T|from the Grace Brothers.
PS03S|That should be rather nice.
PS03T|But on the comedy channel on the satellite it's the old er Are You Being Served.
PS03S|Mm.
PS03T|So you can decide.
PS03S|Choose.
PS03T|what you're going to see the new series or repeat of the.
PS03S|Oh ah.
PS03T|old So.
PS03S|The new series is alright though The older series was alright but.
PS03T|Yeah well we'll have to see Anyway what was all that on the news I didn't hear it at oneo'clock did you.
PS03S|It's some what There's a.
PS03T|What's the matter.
PS03S|big lorry coming up big yellow lorry coming up the road Oh it's got sweeping brushes.
PS03T|They're probably putting sand e sand in the roads.
PS03S|Clear I hope he's clearing the salt up.
PS03T|No he's not I bet he's putting salt in the road.
PS03S|Yeah Oh well Half inch of frost and you get the salt people out.
PS03T|Mm Well.
PS03S|As soon as it's strikes your the bottom of your car it's it begins to rust.
PS03T|Well.
PS03S|And ne e it and is if it's going to freeze tonight you can't wash it off.
PS03T|Well we shan't be going out in the car today shall we Or tomorrow.
PS03S|No.
PS03T|So.
PS03S|Do you think we ought to go round Peter and Joan's.
PS03T|No She likes to be told Just leave.
PS03S|About fetching you home.
PS03T|No I'm gon na take her home And then you can't have a drink cos you've got to take her haven't.
PS03S|Oh yeah.
PS03T|you.
PS03S|True.
PS03T|Mm No wait till the weather's a bit better And it might be snowing tomorrow.
PS03S|Er is the market o always crowded like that so you're pushing.
PS03T|Well it is if you go in.
PS03S|So as you get.
PS03T|Friday and Saturday Well it mostly is in the week anyway.
PS03S|How about ringing George up.
PS03T|Well no if he's suffering from depression you don't want.
PS03S|Do you think he'll come for lunch.
PS03T|No Don't wan na ask him this week Besides he wouldn't come at.
PS03S|I said I wouldn't give him.
PS03T|sh such short notice Well he may have Madge and Tom last week I don't.
