KBBPSUN|Now can you tell me if this marmalade's set I can't see very well.
PS03S|Bring it er bring it in er to the fro lounge It should be on the table at the back Have you got it.
PS03T|Yeah I don't think it's.
PS03S|Bring it in to here.
PS03T|I don't think it's qui is it wrinkling Just a ah Well don't hold my wrist This is my bad wrist.
PS03S|You wicked girl.
PS03T|He's alright I don't think it's quite ready is it.
PS03S|It's no it's not er it's not crinkling on the surface Cos it's not clear.
PS03T|Ah a few more minutes Put these slippers on Have you seen leave it on Look I don't think it's the swe the swelling's going down at all do you.
PS03S|No And it's it's it seems very hot.
PS03T|That's cos I've left the thing off.
PS03S|Do you think you ought to go to the doctors again.
PS03T|Don't know We'll put the bandage back on though Have you seen my bandage.
PS03S|How about ri er ring ringing them up.
PS03T|Yeah Ooh here it is No They'll say come they'll want to see it.
PS03S|Well show it to them and see.
PS03T|No no I'm not going all the way down today.
PS03S|Are you putting that back on.
PS03T|Mm that's not quite ready is it No What about the picture.
PS03S|What to show Jackie.
PS03T|Well when she comes home I think.
PS03S|She is home Been.
PS03T|Well.
PS03S|home a little while.
PS03T|no I mean when Tom's home Show it them together.
PS03S|Well perhaps I'll them later.
PS03T|Oh could do I think it's good.
PS03S|Bit of extra.
PS03T|Where you going to put it that's the important thing.
PS03S|This in there.
PS03T|No I mean on the wall You're not putting it on under there Whereabouts on the wall.
PS03S|This.
PS03T|Yes.
PS03S|Well I ain't bothered about that yet We got other things to do haven't we.
PS03T|Well if you wanted it if you now you've bought it you want to decide where you're going to put it.
PS03S|Well put it in in five minutes can't I Are you going to show her or not.
PS03T|Oh I'm going to show her But I was just wondering where you was gon na put it.
PS03S|And I thought it'd be extra.
PS03T|Can't over the radiator.
PS03S|Well she'll want it in the house and all that.
PS03T|I know I said I know she will I'm talking when when they've seen it.
PS03S|Well we're not bothered about a yet.
PS03T|Yes I.
PS03S|Well you er you I thought you were going to ask her to look at.
PS03T|I will do when Tom's home.
PS03S|Then he can come and look any time.
PS03T|Yeah I expect she'll be making probably busy making.
PS03S|I like it very much don't you.
PS03T|Yeah.
PS03S|It's unusual to say the least.
PS03T|I think it's er.
PS03S|I shall ask how when it was taken.
PS03T|Last summer After that building at the back was finished Must have been.
PS03S|Yes cos it's there.
PS03T|About that July.
PS03S|Ah I I was I were help him point it at the time You know the pear tree where you asked me.
PS03T|Yeah.
PS03S|to prune it it's still over the garage.
PS03T|Yeah But you didn't prune it until about October did you.
PS03S|No But i i I've not i on this sh picture the pear tree is ri we all over the garage.
PS03T|Over the garage over the back the other garden.
PS03S|So er it's.
PS03T|I think it's July August taken.
PS03S|It's not been recently has it according to that.
PS03T|Well it couldn't be recently could it because the flowers are out.
PS03S|Well that's another point.
PS03T|You can tell which flowers are in bloom.
PS03S|Do you think they will like it You know to buy one.
PS03T|What next door.
PS03S|Mm.
PS03T|Probably Although their lawn looks a bit.
PS03S|But er.
PS03T|threadbare doesn't it.
PS03S|Well he did say er ours i your greens your grass is greener.
PS03T|Yep Well we haven't cut ours since have we.
PS03S|Are you going to show it Tom and Madge.
PS03T|Yes When we get there.
PS03S|What take it with us.
PS03T|Yes Could do That reminds.
PS03S|I don't suppose.
PS03T|me.
PS03S|don't suppose they'd come and a me for tea would they.
PS03T|Well we had them last week I'm not going to ask them They wouldn't want to come again anyway so soon Tom doesn't like going out Like you do.
PS03S|Well home's always the best I suppose we're at home today.
PS03T|Er when's that Churchill thing on.
PS03S|When's th the Argentina one.
PS03T|That's next week but no I know that Got ta get that again I've seen one or two erm previews of it but I've never found out when it is.
PS03S|Er er the slab those yellow slabs they show up pretty well don't they.
PS03T|Mm.
PS03S|In the red.
PS03T|Did you know what was on this morning.
PS03S|red.
PS03T|Les Miserables.
PS03S|Eh.
PS03T|Charles Laughton was on this morning at nine twenty five.
PS03S|Who was.
PS03T|Charles Laughton.
PS03S|What Oh in that er.
PS03T|Les Miserables.
PS03S|Oh yes It's where he is a.
PS03T|Mhm.
PS03S|he's always after a prisoner int he Escaped prisoner.
PS03S|And he ends up he ends er drowning hisself.
PS03T|Mm.
PS03S|Because he'd been pursuing the same man for years What I used to se see the book in the library but I never drew it out until I recently It's a good story that.
PS03T|Mm.
PS03S|I liked it very much Mind you Charles Laughton put it a bit of beef into it didn't he.
PS03T|Mm No there's not much on tonight really.
PS03S|Nothing worth looking at.
PS03T|Well there's just that er Are You Being Served I suppose you wan na see.
PS03S|They're gon na do another series did you read it.
PS03T|Yes that that was it It's go it's got both on at eight tonight.
PS03S|Both on are they.
PS03T|I told you that earlier.
PS03S|Oh.
PS03T|on The new one and the old one.
PS03S|Oh that's strange idea.
PS03T|Well one's on Sky and one's on B B C Any Questions at eight five So you can have that tomorrow at lunchtime then can't you.
PS03S|Yeah.
PS03T|Well I think I'd better go and look at the jam again I think it's er wants a few more minutes so.
PS03S|Yeah.
PS03T|switch that off.
PS03S|Go and have another five minutes and.
PS03T|Switch it off and leave it.
