KBBPSUN|They nearly went.
PS03T|Well you shouldn't have put them there should you.
PS03S|But they're still in their er.
PS03T|What what Got mine yet.
PS03S|Must have been there.
PS03T|Now tomorrow we've got to get a sack of potatoes We could wait till Monday but that's about all.
PS03S|Well wait until Monday when there's salt on the roads.
PS03T|Why.
PS03S|Well you know what salt does to underneath the car The bodywork.
PS03T|Well I know You're always on about that.
PS03S|Well.
PS03T|I'll have to ring Cath up to come and fetch er Penny's birthday card.
PS03S|What Sunday or Saturday.
PS03T|No she'll come Sunday if she comes at all Cos if we're not going out tomorrow we shan't be able to deliver it And it's her birthday on Sunday So.
PS03S|How old is she Forty.
PS03T|Forty one I think Getting on.
PS03S|Not very old is she.
PS03T|Well creeping up isn't it.
PS03S|Well when you think you're seve what are you.
PS03T|Seventy five I am.
PS03S|se.
PS03T|now.
PS03S|Yeah and I'm eighty two.
PS03T|Well.
PS03S|She must be well down the birth rates.
PS03T|Ah ah Anyway I ought to ring er Rhona up and see how Penny is.
PS03S|What about Joan Have you and er rung.
PS03T|Well It's about.
PS03S|not rung.
PS03T|time they rang me.
PS03S|George How about Ge asking George to come round for a meal.
PS03T|He won't come at short notice I'll perhaps ring him later.
PS03S|Not short notice it's.
PS03T|Well if.
PS03S|Friday night.
PS03T|if Catherine says he's got clinical depression we.
PS03S|Aha.
PS03T|don't want that here.
PS03S|Well I could.
PS03T|Yo.
PS03S|lighten depression.
PS03T|Yes er I know That's what I mean You'll make him worse Or he'll make you worse So.
PS03S|Scintillate scintillate little star how I wonder what you are Up above th the world star.
PS03T|What's all that in aid of Like a tea tray in the sky.
PS03S|In the sky.
PS03T|my dad used to say.
PS03S|It was a no a version of it.
PS03T|Was it Well are you going to look at the telly.
PS03S|Any Questions for me.
PS03T|have any questions Oh well I'll look at the telly then.
PS03S|Is th is there anything on.
PS03T|Yes You know there is That Grace.
PS03S|Oh.
PS03T|and Favour See what it's like Probably be a bit daft but still.
PS03S|Is that th se er the.
PS03T|Grace Brothers.
PS03S|Grace Brothers.
PS03T|Mm only it's i in a.
PS03S|New version like.
PS03T|Ye well it's not in the shop I think it's big country house they've turned into a hotel or something Pretty good write up.
PS03S|Mm.
PS03T|So looks like a day in tomorrow You'll be able to do my kitchen door My that cupboard door Or have you got to go in the garage and do that.
PS03S|I've got to Different see to the do swi sliding door in the garage with a vice to open it It's gon na be bitterly cold.
PS03T|Well you can't go in there if it's too cold Catch the flu No Er I'll think I'll let Joan ring me shall I I always have to ring her Why should I Ring her up.
PS03S|Well Peter sometimes ring.
PS03T|No he doesn't He speaks when Joan rings or Colin But Anyway have you seen Les today.
PS03S|No I bet.
PS03T|Edie's husband Don't think I've ever seen.
PS03S|Well he came by didn't he.
PS03T|Today I've not seen him.
PS03S|Well didn't you wave to him through the window.
PS03T|No not today.
PS03S|Oh.
PS03T|That was yesterday after the snow had stopped he was doing his shopping and in the afternoon And he and we didn't really I only just saw him fleetingly So.
PS03S|Well ho how old would he be.
PS03T|He's a year younger than me.
PS03S|Mm.
PS03T|And she's not as old as me either Yet I could I give her quite a few couldn't.
PS03S|Mm.
PS03T|I By the looks and actions.
PS03S|How old is Madge se eighty.
PS03T|Eighty one Madge is.
