KBBPSUN|This morning.
PS03T|I know So that what does that mean.
PS03S|Well it was er.
PS03T|Stay in day.
PS03S|Mm.
PS03T|Stay in day.
PS03S|That's certainly not in the erm events Could do some drawing I suppose Ready for the next painting.
PS03T|Er.
PS03S|What are you going to do.
PS03T|I'm making another lot of marmalade.
PS03S|Again Who's going to eat it all.
PS03T|Me and you I li I li you can only make it this time of year Erm flakes.
PS03S|Here come the pigeons Er yeah a few but not too many.
PS03T|Leave it switched on Is it still switched on.
PS03S|Yeah it's fine.
PS03T|Oh a oh I just wondered any po any post.
PS03S|No there's been nothing that I could see.
PS03T|Mm Funny.
PS03S|Was you expecting some.
PS03T|Yes.
PS03S|Who What the who's going to be the beneficiary.
PS03S|There's three blackbirds and six pigeons already.
PS03T|Yes well you'll have to go easy on that feed We only got one bag.
PS03S|We got we got we got two.
PS03T|We only got one bag.
PS03S|Is one e the other one empty.
PS03T|Well you only bought one bag you couldn't carry any more without the car.
PS03S|Ah but we got some left over from the others.
PS03T|Had you Oh I.
PS03S|Yeah.
PS03T|didn't think you had.
PS03S|Is it er tantrum day today.
PS03T|Yes it is if you don't behave.
PS03S|Do I if.
PS03T|Well keep leaving the doors opening the doors to feed the birds Making it cold.
PS03S|Most considerate and quiet chap in the district I am.
PS03T|Ooh Ooh Ooh hoo Do you want any mushroom.
PS03S|Eh.
PS03T|Do you want any mushroom with your egg and.
PS03S|No I'm not very.
PS03T|Just bacon and egg and tomato.
PS03S|Not very partial to mushrooms.
PS03T|Bacon egg and tomato.
PS03S|Mm Yes.
PS03T|Mm.
PS03S|Yes please It's fungi int it your eating.
PS03T|Ooh.
PS03S|What you done now.
PS03T|Your milk's boiling.
PS03S|Is it burnt.
PS03T|No It's alright Did you have any whisky in your tea.
PS03S|I did Oh is that the one of.
PS03T|Oh.
PS03S|the forks Two fingers that's all I had.
PS03T|Well that's a lot in a cup int it Eat those while I do the bacon.
PS03S|That needs to be switched off hasn't it And that.
PS03T|Have you switched it off No Leave it on.
