KBBPSUN|What have you torn this one of me up for.
PS03S|Well it were u under there with more of the rubble so I brought it out to flatten it if I could but.
PS03T|No You should throw that away.
PS03S|No it's a garden int it The beginning of the garden.
PS03T|Yes well.
PS03S|Pity that Shows you how I made it you see but now.
PS03T|Mm mm.
PS03S|I've got no record of it.
PS03T|Well you shouldn't have scre you should have.
PS03S|Unless we got the probably got another film somewhere.
PS03T|Well.
PS03S|We.
PS03T|you you should.
PS03S|we.
PS03T|have er.
PS03S|we never throw any away I'll have look one day.
PS03T|You should have made this years and years ago shouldn't you.
PS03S|Well we had a lot to do didn't we What with the stage and don't you remember I used to come home Sa Saturday afternoon then start digging Do you remember.
PS03T|Mm You never found those labels I made out did you.
PS03S|No Well you I went on the stage Saturday morning then I used to come home to have my lunch and start digging.
PS03T|That's damn funny where they went to Can you get them.
PS03S|Well I looked through all that stuff when I cleared up this morning.
PS03T|Yeah yeah I'm going to make some new ones I've got plenty.
