KBBPSUN|You'll have to go easy on the whisky in case you get.
PS03S|Yeah.
PS03T|the flu It's nearly half gone.
PS03S|That wasn't fitted I wo could have been off there to get it in and I've cut it somewhere But if I pull it off it'll tear.
PS03T|No I shouldn't Well cut it off there You cut a bit off the top or the bottom.
PS03S|Yeah Yeah Well it won't look the same but still.
PS03T|Yes it will.
PS03S|Ha.
PS03T|Here drink this coffee Drink that coffee Ooh That's not very solid If I put it on there you'll probably spill it all over the photographs You have made a mess of this drawer.
PS03S|Well clear it out then and throw away what you don't want that's.
PS03T|Well it's you that's er.
PS03S|That's what I do.
PS03T|I cleared it out the other day.
PS03S|That's what I often do is clear mine out and.
PS03T|Ooh Ooh.
PS03S|throw stuff away I don't want.
PS03T|Ooh You never throw anything away Cut th you can cut the bottom off that.
PS03S|Yes I.
PS03T|That.
PS03S|know but the then you you run out like that You just run out to the corners.
PS03T|Yes Well you can cut the bottom off that.
PS03S|Cut th soon see can't we.
PS03T|I'll bring you the scissors cos you haven't got them.
PS03S|No I got my knife here.
PS03T|Oh Well drink that coffee it'll soon get cold.
PS03S|What are you looking for now There's two boxes of paints under there I bet they'll have gone home now don't you.
PS03T|No Churchill had some for over forty years.
PS03S|Well we had some didn't we a long while and.
PS03T|Yes but we haven't had them forty years Put a bit of the turps in and they're alright Well better go and baste the chicken I think No drink this coffee Arthur It's no use got ta.
PS03S|Yeah.
PS03T|the whisky bottle sa slipped and there's a lot in I better get another bottle of that er.
PS03T|Gloy hadn't I You know it was only fifty five at the little shop and in Smiths it was about seventy five.
PS03S|Yeah I know.
PS03T|So whether they were selling off I don't know I'm making another lot of labels I don't know how things ke get lost in this house.
PS03S|I wonder that times without.
PS03T|Well it you put things away and then forget where you put them Don't you.
PS03S|One thing or another.
PS03T|I remember it's you cleared my things away and I don't know where you've put them.
PS03S|Yeah cos with the.
PS03T|I can't even find the blank labels I've got about four sheets that Audrey gave me So what have you done with those In that Welsh dresser.
PS03S|Oh they were superfluous to requirements I suppose.
PS03T|No they weren't You you moved them somewhere When you looking for things and now I don't know where they are.
PS03S|You didn't look in the right place did you.
PS03T|If I don't know where the right place is I can't very well can I You do faff about I should have done about four pages by now.
PS03S|Yes I know you would Well I I should hate to have been your girls in the office.
PS03T|Mm Well you can't afford to mess about like you do.
PS03S|Well I know that if I was at work.
PS03T|Ooh Ooh.
PS03S|I worked to my own initiative and it.
PS03T|Yes I know.
PS03S|it always succeeded.
PS03T|Well you didn't like anybody working with you did you.
PS03S|I'll that Didn't like anybody telling me what to do.
PS03T|Yeah.
PS03S|Which you're very good at Do you.
PS03T|Well.
PS03S|like being.
PS03T|Well somebody's got to be in this house Now drink your coffee I'm not shan't make any more Arthur look the whisky tipped up so there's a lo it's nearly cold And you've got to go easy on it now Because if you get flu you'll want some Alright.
PS03S|There you are then that's your shelf.
PS03T|Yeah That's alright Yeah that's good.
PS03S|But I mean cos that was a more or less wasn't it.
PS03T|Well it was only a five minute bus ride.
PS03S|A bus ride away.
PS03T|Mm One more page done.
PS03S|That's.
PS03T|Two two sides done Golly We still got a big pile to stick in haven't.
PS03S|Well.
PS03T|we.
PS03S|well we should put a lot in a box that.
PS03T|Stop now.
PS03S|Where's my.
PS03T|There's your coffee Now don't go and spill it all over the photos.
PS03S|Anything on is there.
PS03T|Mm.
PS03S|Anything.
PS03T|Want a mince pie with it.
PS03S|Yes please Any films.
PS03T|Well what do you se I don't know.
PS03S|to watch.
PS03T|But I'll go and check Do you want a mince pie or will it spoil your dinner.
PS03S|Well spoil my dinner but.
PS03T|Do you want one.
PS03S|No no.
PS03T|Biscuit.
