KBBPSUN|Put the year What was it Nineteen ninety.
PS03S|Was it.
PS03T|Er wasn't last year Yes nineteen ninety That's the page number Don't alter the.
PS03S|Nineteen fifty.
PS03T|Well you want your page number now you've altered your.
PS03S|See how smart that's on.
PS03T|You silly de.
PS03S|I I don't scratch out like you do with the.
PS03T|I know But that was the page number.
PS03S|Well I can still put it number ten weren't it.
PS03T|No it wasn't.
PS03S|Oh we'll leave that till we count them out.
PS03T|Loo look the other side that'll tell you.
PS03S|Not necessarily so.
PS03T|Oh yes it will Hundred and ten.
PS03S|So it was one.
PS03T|Page a hundred and.
PS03S|that.
PS03T|ten.
PS03S|Right Give me sa another colour and differentiate it.
PS03T|You could put you could P page a hundred and ten or sheet number hundred and ten I gave you that thing to put your pens on.
PS03S|Yes but I didn't want to wash it.
PS03T|No that's alright.
PS03S|See see what I mean about the board it you know with the.
PS03T|Oh yes That's better I know it's thicker than the the pages love but it's.
PS03S|That looks a lot better now doesn't it.
PS03T|alright That'll be alright.
PS03S|What were we on er.
PS03S|just wondering how yo do the what's her name Then getting one of those ones.
PS03T|No don't say much with that.
PS03S|Well you see.
PS03T|Mm Are you going to do another one before lunch.
PS03S|Well I'll clear.
PS03T|Perhaps only.
PS03S|it up if you like.
PS03T|No I don't want you to clear up yet Dinner's nowhere.
PS03S|Just see what we got.
PS03T|near on ready.
PS03S|But I'll surely use some better card than this.
PS03T|Well you'll have to use it Arthur Well you spent three pounds why.
PS03S|Well.
PS03T|not keep it.
PS03S|that clears it up actually Your grandchildren.
PS03T|You put your some the other side and that will that will make it better Put the rest of your spel er your stage set the other side.
PS03S|Or I might get some card and stick to it To the back and and then paint on that Well anyway shall have to go and put that up Make that the blue ones.
PS03T|What number's that.
PS03S|Er one hundred and eleven.
PS03T|Aren't you going to do the back there.
PS03S|No cos I might put another piece another.
PS03T|Oh.
PS03S|on.
PS03T|Well u only use one side of those then.
PS03S|That looks very Get a bit of thicker board and er stick it paste it like you would the walls.
PS03T|Well stick some on and don't number them then.
PS03S|Yeah See it's still thin when you got two of those.
PS03T|Probably Well is put put some more on those and er.
PS03S|I've just told you I got ta wait till I get a bit of thicker board That's the er.
PS03T|Well you're always buying.
PS03T|things You never drank this coffee You're always buying things and then wanting.
PS03S|Oh.
