KBBPSUN|I think er I think er we've seen that before.
PS03S|Yeah I thi yeah.
PS03T|It's old er oh You didn't show it on that did you.
PS03S|No.
PS03T|You know if you go out front.
PS03S|Show it up if people had done all of it with it but now it doesn't look in with it yet.
PS03T|No Arthur.
PS03S|Yeah.
PS03T|Dead head the pansies.
PS03S|Dead head them.
PS03T|Yes Well lo lo look A lot of the want dead.
PS03S|Ah.
PS03T|heading and if.
PS03S|I'll do.
PS03T|go out the front.
PS03S|I'll do that.
PS03T|just take them off else the it'll so they'll stop flowering We only seem to have one in the erm basket.
PS03T|Don't know whether the others have died but they a there only seems to be one.
PS03S|Trouble is down at the dra they're dry we haven't been watering them for.
PS03T|I've been watering them.
PS03S|Yeah.
PS03T|In fact I'm just going to water.
PS03S|But.
PS03T|it now.
PS03S|cold weather they've froze the roots.
PS03T|Oh well there's one with lo two lovely flowers on but I can't see any on the any of the other plants Is there anything on this afternoon.
PS03S|Four thirty er Those Were the.
PS03T|Ah That's on the radio Oh yes but.
PS03S|Those Were the Days Sky.
PS03T|Mm Ah I mean a film.
PS03S|Nothing particular Just seeing what's on the oh that er Argentine thing.
PS03T|I told you I think one's Wednesday and Churchill Thursday Write it down You look I think it's or Monday something on Monday night There's something on Monday Wednesday and Thursday I looked at thought we might see.
PS03S|Well I thought that Argentine.
PS03T|In the evening.
PS03S|thing would come on.
PS03T|Yes it is I I told you when it was yesterday but you didn't remember You don't remember Now I don't At night it's at night.
