KBBPSUN|No wonder they're expensive Take about over twelve months to you know to sort of come to even leaf leaves.
PS03S|Yes but we've had several frosty weeks ain't we.
PS03T|I know but the on the kitchen window sill I take them off at night Should be alright Well they are alright But the old ones that Tom gave me originally they've not flowered now for about three months yet they're not dead.
PS03S|I've been figuring out S A and B wha why you ha you have to start you know then I realise it's but you got ta put it in the way it's ready to er record haven't.
PS03T|Mm.
PS03S|you.
PS03T|Is it opposite to the one we've got.
PS03S|Mm.
PS03T|there.
PS03S|It's not it's not on the.
PS03T|Oh well that's what I said it was no use bothering.
PS03T|there's no use bothering to how ours worked you've got to sort of know how this one works.
PS03S|Well it's nothing to do with the working really ma it's the fact that they with A facing you the spool is ready to run.
PS03T|Yeah.
PS03S|And then put it the other way i if there were nothing that side you'd have to put it on B because that's ready to run.
PS03T|Mm.
PS03S|It depends on which side you start you see.
PS03T|Well they say always start on A don't they.
PS03S|Oh Well I mean it's nothing to do with the.
PS03T|I mean you are now.
PS03S|mechanism of it so.
PS03T|No.
PS03S|the fact whether one side is full the spool you're going to wind on is right for recording.
PS03T|Mm.
PS03S|Ah and like.
PS03T|Well we always do ours on A for a start don't we.
PS03S|Mm.
PS03T|You do don't you I don't know I never do ours Anyway are you very hungry.
PS03S|Mm Not hungry at all really I.
PS03T|Well you should be.
PS03S|such a big breakfast.
PS03T|You didn't have a big breakfast today You only had a boiled egg and flakes.
PS03S|Well you know what my landlady said if you want something substantial I'll boil you and egg.
PS03T|Oh well This was about forty years ago.
PS03S|They we they were doing three days a week in the town.
PS03T|Times were hard then.
PS03S|Yeah.
PS03T|And pe people did take in lodgers didn't they.
PS03S|Mm.
PS03T|To make ends meet Keeps everybody together.
PS03S|That's that's that's what Kath thought.
PS03T|No.
PS03S|We were having to make ends meet.
PS03T|What have you got to worry about.
PS03S|Well I'm saying what Kath's.
PS03T|Yeah.
PS03S|worrying about not what I'm worrying about.
PS03T|Kath's not worrying about us she knows we've got plenty.
PS03S|Well.
PS03T|Or efficient.
PS03S|Why did she say that.
PS03T|It was a joke.
PS03S|Oh She had the.
PS03T|Like you joke You joke and yet you can't take a joke.
PS03S|Yes but Kath's jokes have a sharp cutting edge.
PS03T|No they haven't.
PS03S|to them.
PS03T|No they haven't You.
PS03S|My jokes are soft and er.
PS03T|Ooh Ooh Ooh Ooh They're not Your prejudiced you are And I have I think I made mine a bit strong I tell you if I have a drink when I have a drink a short in the morning it goes to my head it's not.
PS03S|There used to be a cafe a cute the er you used to go in and have a cup of tea and that and yo he started selling jam pots of jam with they had him in court it was er it had fell off a lorry and he was selling it a bit cheap and er he were telling us about it I says what th he said he said well I've I told the judge everybody's got two jobs he says he said to the judge you've got two jobs Course he were right weren't he.
PS03T|Why How had he got two jobs.
PS03S|Well they wanted to know why as he was just running a cafe a cute why he was selling jams.
PS03T|Oh I see.
PS03S|Of course where did he get the jam from It fell off the lorry I thought they'd find them sixty odd About er redecorated Mrs house Put.
PS03T|Mm mm.
PS03S|chair rail up and encruster It wouldn't stick Saturday afternoon I ought to have been at home it was threeo'clock and I should have been at er in Leicester then There I was trying to get the encruster to stick A and then there were no trains I got home about nine at night Things I'll do for people Oh it was useless.
PS03T|You'll have to start doing a few jobs for me next week.
PS03S|She did some good er.
PS03T|She looked after.
PS03S|things.
PS03T|you well.
PS03S|I were there about eight years ago.
PS03T|No How long will that cupboard door take I've got I've only got one door on that cupboard That sliding door.
PS03S|Oh the sliding door Oh that just wants fitting that's all.
PS03T|I know that One side's open to the.
PS03S|Atmosphere Well got ta be easy one hand you get the pots in.
PS03T|No well I li I like the two on.
PS03S|Yes.
PS03T|I like the two on to cover i things up the jams one side and the pots the other I think when we go in town I'll get another lot of seville oranges make another lot Well I want some jars thou though before I can So we've got to go to Maggie's or Kath's and get some.
PS03S|Is Madge and Tom clear of fu flu.
PS03T|Well Tom said they were nearly Lot better but not quite.
PS03S|Lo mm Did they go to the.
PS03T|Now Kath is.
PS03S|doctor.
PS03T|No Kath Kath did for Vince she got some anti-biotics for Vince She had to send for him New Year's Day for Vince.
PS03S|Mm What a big chap.
PS03T|Cos.
PS03S|like him.
PS03T|Yeah Oh he's always at the doctors I re Madge reckons he's he's about as hypochondriac as Kath.
PS03S|Oh Bigger the bigger.
PS03T|Well Kath Kath encourages him to be like that.
PS03S|The bigger they are the harder they fall don't they.
PS03T|Yeah Well no he has got a bad throat an you know he had a little lump in his throat I think they thought it was cancer or something or a little growth but you often get that in the throat.
PS03S|Mhm Well my only deficiency in a temper.
PS03T|Well you can say that again And patience Some things you can spend hours on and then others you can't spend two seconds Like this.
PS03S|It depends whether I'm interested or not.
PS03T|Well you were interested enough in that weren't you Originally And then you get fed up.
PS03S|I reckon you're always peering over my shoulder.
PS03T|No I'm not You tell me to You do You say wait Check that I'm alright and then when I do or suggest you you get the hump You don't like me to know more than you Do you.
PS03S|Never studied the question really.
PS03T|You have I'm going to baste the chicken anyway.
PS03S|Do you want this stopping now.
PS03T|No you can leave it on.
PS03S|Well you're going out.
PS03T|I know but then they that's.
PS03S|Not gon na talk to myself.
PS03T|why they give you ten so that you know you get intervals between because the girls have got to sort of tap all the words in.
PS03S|Yeah yeah well er thirty two minutes of hush hush.
PS03T|Well I'm coming back.
PS03S|Sing a song.
PS03T|anyway.
PS03S|Shall I sing a song.
PS03T|No You shouldn't do anything Do you want any another drink or or.
PS03S|Ooh yes Keep them coming.
PS03T|No I'm not.
PS03S|Keep coming.
PS03T|Who bought what.
PS03S|The glass house at the Did he buy it or did the agents.
PS03T|Well where is the glass house Is that it that one that I put.
PS03S|Up the.
PS03T|last year.
PS03S|Yeah Yeah.
PS03T|That that's over the fence er the back it's in Summerleigh that is.
PS03S|What do you mean summer What you on about.
PS03T|No it it's not it's not.
PS03T|their house i you look.
PS03S|It's just shelters.
PS03T|Yes but tho those glass houses are over the fence the other side in Summerleigh They're.
PS03S|But.
PS03T|not on the out of these.
PS03S|No.
PS03T|gardens.
PS03S|That you see that privet that's not the end of his garden because it's foreshortened.
PS03T|Well we are.
PS03S|The only.
PS03T|foreshortened.
PS03S|All that lot.
PS03T|further down yes.
PS03S|No they're not.
PS03T|They are.
PS03S|Oh.
PS03T|Cos didn't we say our te our gardens are long to er to have fields But when it comes to.
PS03S|Oh.
PS03T|the others further down.
PS03S|So it's this is our garden.
PS03T|they're shortened.
PS03S|that's shelters there.
PS03T|Yes Well that's a glass.
PS03S|And then the.
PS03T|house if you look.
PS03S|Aye he's got one I see what.
PS03T|It's.
PS03S|you mean.
PS03T|it's that er.
PS03S|Mm.
PS03T|corner house on that road down there.
PS03S|Mm.
PS03T|Let's have a look again I've got my glasses on now Yes it was taken about July that was must have been Because I remember when Tom was on holiday tha that ground was all dry wasn't it.
PS03S|Mm Well it is now.
PS03T|Silly.
PS03S|Er the baskets not ready That er.
PS03T|Yes it's go that's the begonias in the basket.
PS03S|Mm.
PS03T|And they're the begonias on the front patch.
PS03S|Mm And there's the wheelie bin just inside that.
PS03T|Mm It must have been probably had them taken on a Monday then.
PS03S|Mm mm I'll get it ready to go out at.
PS03T|Either go out or go in.
PS03S|Mm.
PS03T|And that that's his er that's his garage.
PS03S|It's his garage.
PS03T|and that little bit is that his.
PS03S|Yeah And tha and that's.
PS03T|extension.
PS03S|When we were talking to the builders tha he were putting that in.
PS03T|Yeah.
PS03S|Er da almost a about to.
PS03T|Yeah Yeah Two pipes yeah.
PS03S|He practically did that.
PS03T|No but that's their little extension isn't.
PS03S|Mm.
PS03T|it On there.
PS03S|Mm To the oh no that's the.
PS03T|Oh I se a lot oh.
PS03S|In the front.
PS03T|the extension must be.
PS03S|Yeah there.
PS03T|there and will become.
PS03S|Yeah that's that bit.
PS03T|Oh yes That's what I told you yes.
PS03S|Oh yeah he used to climb on that to get on the garage to er shout.
PS03T|Yeah.
PS03S|down.
PS03T|Yeah.
PS03S|at your.
PS03T|Yeah Yeah.
PS03S|This one's more dry than that.
PS03T|Well the top one never was as good as the bottom one.
PS03S|Well and that's all but.
PS03T|Well you never bother with that so much.
PS03S|and that and that.
PS03T|do you.
PS03S|Oh they've still got building that look at the rumble rubble.
PS03T|Yes they haven't clipped down on the front.
PS03S|I told you.
PS03T|They just finished building that even.
PS03S|Yeah.
PS03T|must have been what July when it was.
PS03S|Yeah.
PS03T|And they're all the new slabs in the pavement the men came and putting new slabs in.
PS03S|Well they went on about our spots then won't they.
PS03T|Yeah Well it never was last year's there was no.
PS03S|Oh.
PS03T|hosepipe ban at all we keep saying that so I don't know what people are on about You know ee that's just a new.
PS03S|New new thing like I like it very much those hou.
PS03T|Yeah I think Jackie and Tom they'd they did.
PS03S|I mean er if er anybody ever takes this over when I'm gone and you sell it.
PS03T|Yeah.
PS03S|er you co you could sell this with the house.
PS03T|Mm.
PS03S|Of course.
PS03T|Oh yes.
PS03S|At times we don't have it.
PS03T|Mm.
PS03S|Or er keep it yourself.
PS03T|You better do something about his hook bend it round else.
PS03S|Mm.
PS03T|I'm sure it's going to come off one day.
PS03S|Well er I'll see to it one day.
PS03T|Ah I don't mean one day Oh I better go and see if there's any erm if my Christmas pudding wants er filling up We're on side B now aren't we.
PS03S|Mm mm.
PS03T|So it's the twelfth.
PS03S|That's side A int it.
PS03T|No We're on the second side of this.
PS03S|Oh yes we turned it round.
PS03T|And what time did we start recording About twelve noon wasn't it I better put er Well Kath and Frank won't be coming I told you didn't I.
PS03S|Yeah What cos they got er.
PS03T|Well just getting over it Vince is and Kath thinks she might be.
PS03S|Snuffley.
PS03T|starting it or she's got a bad cough So we shan't be able to have anybody else in today to.
PS03S|No.
PS03T|be on the tape.
PS03S|Pity about that isn't it Cos they could have come up and looked at that.
PS03T|Mm Oh well Do you want that filling up.
PS03S|Mm Er.
PS03T|Do you want it filling up.
PS03S|Yes you might.
PS03T|The same.
PS03S|as well Might as well.
PS03T|Do you want lemonade in it.
PS03S|Ju exac.
PS03T|Or tonic water.
PS03S|exactly as before.
PS03T|Lemonade or tonic water.
PS03S|Neither more neither less No differentiation.
PS03T|Do you want tonic water or lemonade in it.
PS03S|Tonic water It might do something for me.
PS03T|But you've not had your cod liver oil today Now come and get it.
PS03S|That'll do even more.
PS03T|Co no come and have that cod liver oil.
PS03S|Okay I'll do that.
PS03T|Leave it on Is it on.
PS03S|Yeah.
PS03T|Keep it on when we go out.
