KBBPSUN|I just switch this on Anyway button's not down.
PS03S|It is What made you think it wasn't.
PS03T|I thought I saw it.
PS03S|Well it's going round The.
PS03T|Oh.
PS03S|lights on.
PS03T|Well that's alright then Well mo not much on the news was there.
PS03S|Not really.
PS03T|Still all these.
PS03S|Election.
PS03T|poli electioneering Get fed up with it.
PS03S|And all of them can only do just carry on the money's not there it's not there is it.
PS03T|Custard's a bit hot.
PS03S|Mm.
PS03T|What do you think to my pudding.
PS03S|Very nice Up to scratch It's a refreshing change int it plu plum puddings.
PS03T|Christmas puddings.
PS03S|Well.
PS03T|No plum I know they used to call it plum pudding.
PS03S|Had it have been yesterday it was plum puddings cos they.
PS03T|I know.
PS03S|put plums in.
PS03T|Well they don't now do they.
PS03S|Oh.
PS03T|I gave one to Jackie and not heard whether she's had it or not.
PS03S|No Well she wouldn't tell you if she had would she really Unless you ask.
PS03T|Well it's only polite to say whether if you.
PS03S|Oh yeah.
PS03T|give anybody anything er to.
PS03S|Yeah.
PS03T|eat i if they liked it or not isn't it Well probably not with not having the flu.
PS03S|Well I'd tell you Did she have the flu then Mm.
PS03T|Well she wasn't well I don't know whether it was flu or.
PS03S|Mm.
PS03T|Don't you remember she spent Boxing Day in bed.
PS03S|Oh yeah Well Madge did didn't she.
PS03T|And the children didn't come so.
PS03S|Madge did.
PS03T|She we well she looked ill I thought.
PS03S|Mm Well she works hard doesn't she.
PS03T|Mm.
PS03S|Dashing about Did Joan get any er or is she sta erm is she is she sure to remain in a constant neither better nor worse.
PS03T|Well I think some days she's better than others but on the whole she's not making much progress I don't think she will I mean.
PS03S|But.
PS03T|it's always been.
PS03S|in other words Peter's sort of stuck with it isn't he.
PS03T|Landed I mean she's always been that way nervous and.
PS03S|Mm.
PS03T|right from when she was first married.
PS03S|Well I was always the nervous type.
PS03T|You're still neurotic in some things.
PS03S|Being a nervous type.
PS03T|Ooh I wouldn't say nervous type Just a bit.
PS03S|What would you say.
PS03T|Neurotic over certain things.
PS03S|Why wouldn't you say I was a nervous type.
PS03T|Well not normally.
PS03S|Er what conclusion has it come from.
PS03T|Well not in the same way Joan is But you get het up over silly things.
PS03S|What do I do with the big things Deal with them as they come up.
PS03T|I don't know.
PS03S|Deal with it as it comes on How's Muriel then What's she.
PS03T|Well she's just coping just dragging her arms int she.
PS03S|Can't see what she sees in her cousins though can you All.
PS03T|Well they always did I mean I can remember when she worked with me every Christmas they changed one time they came to Leicester.
PS03S|Mhm.
PS03T|and the next year they went to Loughborough with their cousins And so I suppose they're keeping it up now.
PS03S|I wouldn't know my cousins fir christian names now.
PS03T|You know Edna.
PS03S|Oh well that's yo.
PS03T|Ed and Meg.
