KBBPSUN|Ooh my eyes are getting really bad.
PS03S|Oh if it starts working its do.
PS03T|well yes I know but my eyes are getting really bad have another chocolate.
PS03S|Do you want some more spectacles.
PS03T|No its not that its just their deteriorating.
PS03S|no you are those.
PS03T|there all truffles no there what Audrey.
PS03S|no you have.
PS03T|bought us between us.
PS03S|no they go off.
PS03T|no there really beautiful chocolates.
PS03S|any way I want.
PS03T|there Marks and Spencers they are yes I it it Cath and Frank intended to come.
PS03S|they wouldn't now.
PS03T|I doubt if they would in this well I wouldn't want them to come in the fog.
PS03S|well no there.
PS03T|because.
PS03S|will be no point would there.
PS03T|did you hear er the news.
PS03S|not all of it.
PS03T|a lot of crashes on the M six.
PS03S|well there always is in't there.
PS03T|yes but Sunday I mean.
PS03S|mm.
PS03T|people don't have to go out Sunday normally.
PS03S|mm.
PS03T|don't and the kids have been crossing at shop.
PS03S|Trouble is its too fast too close in it all the time.
PS03T|mm.
PS03S|I don't see how any one doing sixty can be three or four feet from another's bumper can you.
PS03T|no oh yes I should think he's learnt his lesson putting it on the.
PS03S|I reckon somebody.
PS03T|bashed the other one.
PS03S|well its been on the road.
PS03T|yeah.
PS03S|its never done that before has he.
PS03T|no no.
PS03S|perhaps somebody didn't like perhaps he told somebody to stay there as long as he likes.
PS03T|mm.
PS03S|they showed him he couldn't.
PS03T|mm oh don't let me eat any more of these because there too sickly wouldn't you like a Jamaican rum truffle.
PS03S|I mean he had it brought from somewhere didn't he.
PS03T|mm yeah wouldn't you like a Jamaican rum here have one of those that's Jamaican rum see if you can taste the rum.
PS03S|I suppose there he he didn't like to leave it the way the way it was done.
PS03T|no well.
PS03S|Oh we can see it from back room now can't we.
PS03T|Mm if its a good record yeah howd' ya like that could you taste the rum.
PS03S|yeah.
PS03T|couldn't eat many of these though could ya.
PS03S|oh no but there's plenty of lights.
PS03T|mm I'm glad were not out in it aren't you.
PS03S|It looks as if their all coming back their all coming from the shops where their usually their going.
PS03T|Cos I thought it'd been a nice day we could of nipped down to Sainsbury's.
PS03S|well say when you look at that picture its just a bit er unusual in't it.
PS03T|well aerial photo is er bound to be different.
PS03S|he must of come low to took that mustn't he.
PS03T|unless he had a big zoom lens.
PS03S|Tom seemed to think he come low last night.
PS03T|did he.
PS03S|mm.
PS03T|oh I wouldn't know I mean these zoom lenses are pretty powerful aren't they.
PS03S|well there is that wouldn't taken him went off to the ch.
PS03T|it was taken about last July.
PS03S|the the leaves would be off wouldn't they.
PS03T|July and I bet bet my bottom dollar it was taken when Jackie and Tom were on holiday because of how their bit of front garden is all dried up and that building at the back was completed.
PS03S|about that time mm.
PS03T|just before they stopped work the day before the July a fortnight holiday didn't they.
PS03S|yeah.
PS03T|they'd got little bits to do but there was.
PS03S|the front hasn't been all their rubble still on the front.
PS03T|still there but they finished the main building.
PS03S|yeah.
PS03T|at the end of June so that's when that was taken you ought to of asked him when you saw him today.
PS03S|can tell his white brick work that were only done last year wasn't it.
PS03T|no been done two or three years.
PS03S|mm.
PS03T|you ought to of asked him when he sold it to ain't ya.
PS03S|eh it were that lady come quick and he.
PS03T|no.
PS03S|he went off quick.
PS03T|no he went off quick but I mean before you while I was getting the money.
PS03S|mm.
PS03T|you should of asked him if you.
PS03S|I was too busy looking at the picture and the frame.
PS03T|yeah I know you were.
PS03S|I were weighing up the value of the frame.
PS03T|not the picture.
PS03S|I like the frame though very much.
PS03T|oh I do its like the mountains.
PS03S|its some moulding like that.
PS03T|well you know.
PS03S|I bet the mouldings very dear.
PS03T|well you know.
PS03S|cos you know that black stuff well well that was four pounds wasn't it that length.
PS03T|about nine pounds a length for eight feet.
PS03S|yeah summat like that weren't it.
PS03T|yes well there's a new shop opened near the showers market erm new thing brick a brac its called we'll go in there its got they keep advertising and they've got one in Mayfield Road.
PS03S|oh we'll have a look then sometime.
PS03T|so when were out.
PS03S|so if you don't get it.
PS03T|when you've painted some more pictures.
PS03S|I if you don't bring wood worm with it.
PS03T|no well the you they've got mouldings as well as the frames.
PS03S|mm mm.
PS03T|you've got to paint some more pictures though haven't you first.
PS03S|we've got a got a picture of those just er with er you know with the flowers on so be really wan na is to make them back to the original see they had nowt frames and I cut it up but.
PS03T|yeah pity you didn't keep the frames.
PS03S|yeah oh well I did for quite a while.
PS03T|still I like I'd like them as they are I did.
PS03S|but there was in the coal well they looked a bit heavy on the wall.
PS03T|yes they did.
PS03S|you want a big room really don't.
PS03T|well if you see any in the Antiques Roadshow you'll know what to do.
PS03S|yeah.
PS03T|see if they are valuable these days.
PS03S|well there just cast your look but I think cos of the frame was a modern looking.
PS03T|yeah cos you changed it for a.
PS03S|yeah I don't think he looked at these last too much.
PS03T|no well if they come in handy.
PS03S|they those people don't like it altered in any way do they.
PS03T|mm well if they come again I shan't let the say were not selling any more bits.
PS03S|no I'm sure the landlord I'll.
PS03T|well I don't know we've still got plenty.
PS03S|his entitled to the.
PS03S|in he.
PS03T|well there not finished yet are they.
PS03S|well that one is and the one in there.
PS03T|that one's not its not got the flags on the top.
PS03S|well the one in there is.
PS03T|well they they specialize in.
PS03S|nick knacks.
PS03T|no in certain things either.
PS03S|well as far as that stoat didn't offer them any thing because they a chap about forty he reached it.
PS03S|it was it was all tough weather scale of six on you know and I said what how much is that up there and he said ten shillings I said a little bit dear in't it cos ten shilling then was ten shilling.
PS03T|mm.
PS03S|and he says su its a good buy even for that says it you know its a hundred years old oh well he says it was continental but er.
PS03T|well it perhaps wasn't just what he was looking for.
PS03S|no well he knew what he were looking for something worth when you think.
PS03T|no its not.
PS03S|I bet they come across it as well.
PS03S|what about those painti that painting before he had the market stall.
PS03T|yeah.
PS03S|it were rolled up in a wood set er cardboard cylinder and it fetched half a million didn't it I think it was er.
PS03T|I think it were a lot of money.
PS03S|some painting of some homes in er a desert at night it had been missing for er nearly a century.
PS03T|I er the Antique Roadshows on tonight.
PS03S|how much was this mm.
PS03T|so we'll have to see.
PS03S|best of it is he hadn't taken it out of the.
PS03T|roll.
PS03S|roll roll you know the box.
PS03T|well he put it in probably didn't put it must of taken it out to of looked at it surely.
PS03S|it'd look like that might of been looking in the markets and that.
PS03T|oh I know.
PS03S|for that thing.
PS03T|well you've done quite well really haven't ya.
PS03S|yeah.
PS03T|collect so many bits Val buyed it didn't she.
PS03S|yeah oh.
PS03T|that teapot and plate.
PS03S|she did well to of got them didn't she.
PS03T|and what else did she that tobacco jar oh no.
PS03S|its a pity.
PS03T|you bought that didn't you.
PS03S|pity I wonder what if we'd of had those what they would of offered but they went for sale.
PS03T|I think.
PS03S|and they only fetched twenty five.
PS03T|no they didn't they fetched seventy.
PS03S|seventy was it.
PS03T|remember you said that thirty five of that would of been ours any way.
PS03S|be yeah yeah.
