KBBPSUN|This is a nice cup of tea.
PS03S|About time I finished that saw in't there.
PS03T|I thought it was finished.
PS03S|well perhaps.
PS03S|linked it up and used it.
PS03T|but its too cold to go in the garage now.
PS03S|it is really.
PS03T|you know that back door key I seemed to remember picking a key up thinking it was the garage key.
PS03S|oh.
PS03T|when I went in for the steamer.
PS03S|you perhaps took it in there then for.
PS03T|and then I found out it was the back door key.
PS03S|mm.
PS03T|and and the garage was unlocked so I didn't bother I probably put it down when I got the steamer out of the cupboard.
PS03S|mm I'll got and have a look in a minute.
PS03T|well you needn't go in the cold I've got a spare one in the drawer Was that one of the book's you got out on Friday.
PS03S|mm.
PS03T|cos some of them are getting.
PS03S|ah well better take them back after a while then.
PS03T|no you needn't needn't take those you got out last Friday its the earlier one's of which will be due next week I'm sure cos they've put up the prices now its about ten P every day you have them out.
PS03S|The thing is there's millions of books and you don't see all that many people.
PS03T|well don't you remember I had to pay one pound fifty something last Christmas.
PS03S|still I suppose you've got to pay the assistant.
PS03T|well it comes out of the Poll Tax we pay enough of that oh yes there's a.
PS03S|a.
PS03T|no er a hair lip Mrs I think her name is no the lady Mrs.
PS03S|didn't know she'd got one.
PS03T|well she did have one it she's had an operation but er I she manages to go to the post on a Sunday afternoon she must write to her sister in Australia which makes a little round trip a bit of exercise that's what you ought to do more of.
PS03S|what.
PS03T|walking keep you fit its a bit you had a hair cut last week if you'd of left if you hadn't of had it done you could of taken this thing down to.
PS03T|with you and recorded that.
PS03S|oh no.
PS03S|once he starts its something.
PS03T|you'd soon get into some arguments down there wouldn't you.
PS03S|yeah.
PS03T|telling a tale.
PS03S|I generally enrol.
PS03T|yeah I know you do I know.
PS03S|our Mike said you can't beat it I he said Cathy's doing look he says Cathy's up there start.
PS03T|walked away.
PS03S|she does nearly five.
PS03T|where's the nail clippers.
PS03S|should be there on the side with the vase.
PS03T|no there not.
PS03S|and in them.
PS03T|no here they are I know I've seen them somewhere on the window sill.
PS03S|you shifted them.
PS03T|I haven't shifted them in't it a mucky day considering all that frost and cold you've got a lot of families out in the front door there ain't we have you got any tapes of ours not finished off or have we got to start a new one I thought there was a little bit on one that you hadn't finished.
PS03S|mm might very well have a look.
PS03T|start a new one though if if.
PS03S|you mean out of these.
PS03T|no of ours.
PS03S|oh.
PS03T|you were going to record Palmer Court weren't you.
PS03S|well you said don't do it unless.
PS03T|you can do Palmer Court at four till half past and half past four its erm.
PS03S|yeah well in't it the same as the other one.
PS03T|I don't know you'll have to see I mean switch it off and.
PS03S|they might play a record you see might'nt they.
PS03T|well you'll have to see what it is.
PS03S|well I can't till I've tried out one we've got.
PS03T|well I know what's on there it won't be the same its not it won't be the same songs or items will it they don't repeat their repertoire their there not different items I mean if we did and it was a repeat you could always wipe it out put something on top couldn't you Have all the birds gone.
PS03S|They went a little while ago apart from that they never came on this end.
PS03T|well yesterday the black bird was there and they ate till late I think I think they roost in that er holly bush.
PS03S|possible I suppose it the waters always there and they've got a wall at the back.
PS03T|mm and that I I think they do and the robin and the that one starling and the thrush I think they all roost there cos they seem to be about every time you throw stuff out I just remembered Tom's father worked at er the electric company.
PS03S|mm.
PS03T|in London B T H or G E C I remember he told us that the last time you know because he wasn't called up in the war he was reserved Ooh can you see the fog now swirling about look at it.
PS03S|ooh.
PS03T|you look its all swirling about.
PS03S|mm its getting thick in it.
PS03T|mm.
PS03S|nice to see the front clear.
PS03T|yeah it is kept the kids in today.
PS03S|seem to hang around here like a magnet don't they.
PS03T|well.
PS03S|you never see them across the other side.
PS03T|yes you do you don't always see them what have you done with your glasses oh I thought you might be sitting on them again.
PS03S|have you thought about a holidays.
PS03T|yes I shouldn't mind going away in a few weeks if if.
PS03S|mm.
PS03T|it looks like being a nice.
PS03S|would you like a change from Wales then.
PS03T|I wouldn't mind going on a bus tour again.
PS03S|mm what to France.
PS03T|no well I wouldn't mind going there but I meant for a first holiday a little holiday I mean you enjoyed that did last April didn't you.
PS03S|yeah its nice in your own car though in it.
PS03T|I know but you don't have the hassle though in those buses do you.
PS03S|only hassle if holiday big holiday is when everybody's.
PS03T|ooh I don't know.
PS03S|we got to Wales quick enough that Sunday didn't we.
PS03T|oh yeah yeah.
PS03S|so see the thing is if you wanted to go see that Sunday half way we did didn't we don't you remember we had to cross the road.
PS03T|mm.
PS03S|if you put that on a worse bit but you could and that.
PS03T|well you get get lots lots of stops don't you.
PS03S|you won't like it very much if you.
PS03T|yes they do you have lots of stops.
PS03S|yes but none are appropriate.
PS03T|yes they do.
PS03S|there are twenty aren't there.
PS03T|no.
PS03S|some days they've been about four ah.
PS03T|well it was like till nearly five the other day.
PS03S|I expect had enough sitting around wanted to get back to the bit like mews.
PS03T|like mews.
PS03S|well it can't be very pleasant sit up there.
PS03T|no.
PS03S|all day every day can it.
PS03T|no well get plenty of food any how Have you given them all those potatoes.
PS03S|Well I crashed them up and its er it ain't I made sure those two slices but they didn't touch them.
PS03T|I think they've gone off potatoes a bit.
PS03S|well you've.
PS03S|about any way so.
PS03T|any way I've only got enough for about two.
PS03S|its not only children's programme the young chap said to the bird expert which is the best er potatoes or bread oh he says potatoes every time.
PS03T|mm.
PS03S|see bread has salt in it doesn't it still potatoes do don't they.
PS03T|expect they do well you always add some potatoes salt to the potatoes but er I've only got enough for about two days.
PS03S|oh.
PS03T|so the weather had better improve I'll just have to buy some more from the milk man.
PS03S|what bread.
PS03T|potatoes I'm talking about.
PS03S|oh I'll got across the for me paper in the morning and get the potatoes from the shop no problem.
PS03T|I know but there not very good there about three times as much.
PS03S|yeah well why ain't they any good then.
PS03T|well those people have them in stock for a long time.
PS03S|they seem to sell them don't they.
PS03T|I don't know most people buy them in bags today those in those across the.
PS03S|mm.
PS03T|the other week were horrible.
PS03S|how many have you got another day.
PS03T|I've got about enough for about two days might be three.
PS03S|that's alright then.
PS03T|I should think the weather will change before then.
PS03S|mm er got a bit of revert back to the nice.
PS03T|I've not heard the forecast today have you.
PS03S|that's.
PS03T|no I doubt it its.
PS03S|well I've had had a little of.
PS03T|oh I had to switch it off it was no good it was all political wasn't it.
PS03S|mm give it time I mean its talk talk Churchill said jaw jaw but you can have too much jaw jaw can't ya Did you read that er a bit about him.
PS03T|the documentary that their going to put.
PS03S|yeah.
PS03T|which will it'll be interesting you see listen.
PS03S|says you won't like and then.
PS03T|well he was a bit of a slave driver I mean every body.
PS03S|yes yeah.
PS03T|knew that he was a bit bombastic.
PS03S|mm and he didn't do so well in his college days did he.
PS03T|ooh he wasn't very bright.
PS03S|yeah.
PS03T|or he didn't try well he didn't have a very happy childhood did he.
PS03S|no in those days.
PS03T|well you didn't try when you were at school you told me yourself.
PS03S|no I didn't bother and next to me.
PS03T|I mean a lot of it depends on or perhaps his par well if his parents didn't really bother about him.
PS03S|mm.
PS03T|he said his mother didn't and then I don't suppose.
PS03S|well my mother were out working and my dad was non existent.
PS03T|and then I suppose er in those cases like yours children don't er unless their sort of erm pushed a bit or the parents show an interest in them.
PS03S|oh you know the Meccano things.
PS03T|mm.
PS03S|try to that there was a clip on it but.
PS03T|mm.
PS03S|he bought me one for me Christmas he came at lo you know loader with er what's that in the bar loader with erm.
PS03T|I don't.
PS03S|when Jesus were born any way this thing clicked on and er it I showed me how to do it and I ain't got the strength of course the war was on and there was er people were borrowing cups of sugar and er probably any way I couldn't clip it he says oh he said to er mum oh he says they clip on easily but I couldn't.
PS03T|well your finger isn't.
PS03S|the next then we moved from Archlin Lane to Founder Lane where next Christmas I had Meccano that could screw with screws.
PS03T|mm.
PS03S|mm I told you about Bill wanting it.
PS03T|yeah.
PS03S|and then after Christmas dinner I built this windmill and mother and I liked it and he said well its only screwed together I nearly said well you wanted it any way see he wanted it and yet cos I got it it were any body could have it.
PS03T|any body could do it you mean.
PS03S|well that's the same thing in't it.
PS03T|what time is it is it time to put that radio on.
PS03S|what that three four minutes oh you can put it on if you like.
PS03T|well just try it and I'll tell you what I don't know him.
PS03S|er rather throw suspicion that.
PS03T|it won't be the same.
PS03S|its the same thing.
PS03T|it won't be the same songs radio two.
PS03S|what what I could do I shall put these on and see what it at starts and quickly put.
PS03T|no its its Palm Court we want to see Those Were The Days at four thirty.
PS03S|mm.
PS03T|just try this Palm Court see if its worth recording.
PS03S|well its.
PS03T|its not on until about two minutes past.
PS03S|well I can get it ready now.
PS03T|two minutes past because they have two minutes of news I think.
PS03S|they we are.
