KBBPSUN|Cos I washed them took the things out.
PS03S|Took them all out.
PS03T|yes do you want any more wine.
PS03S|no I'm alright.
PS03T|biscuit and cheese.
PS03S|no nothing.
PS03T|you said you wanted some later.
PS03S|no I didn't the ice cream did have a cake.
PS03T|d' ya want a coffee.
PS03S|I had a cake didn't I.
PS03T|I've got a coffee made.
PS03S|are you having coffee.
PS03T|mm.
PS03S|okay then.
PS03S|doing or did doing they did for some purpose didn't they.
PS03T|is that hurting again.
PS03S|what we.
PS03T|mm.
PS03S|the red lights on should it be.
PS03T|yes while the switches are down.
PS03S|oh.
PS03T|that is always on the telly that's er that's a good programme that.
PS03S|oh yeah.
PS03T|You've Been Framed isn't it it gives you a bit of a laugh.
PS03S|wonder what the weather's going to be like.
PS03T|er lets have a look.
PS03S|did you get the eighto'clock news.
PS03T|no oh you can on sky.
PS03S|see if that cars gone.
PS03T|no no there's.
PS03S|is there another one there.
PS03T|there's er one outside our place one on the drive and one on the front.
PS03S|what on on our gates.
PS03T|no not on they're not blocking our way.
PS03S|oh.
PS03T|there's two.
PS03S|mm possible of course that one could be some way for Jackie's.
PS03T|yes.
PS03S|couldn't it.
PS03T|but there's right up the road there all cars.
PS03S|but the Asians got his on the drive hasn't he.
PS03T|yes but there's two more on on his front another one on our front.
PS03T|er they're either having a party or erm.
PS03S|oh well they're celebrating the collection for his garden.
PS03T|oh I've got a bit of a chest coffee.
PS03S|its that sort of weather.
PS03T|do you want coffee.
PS03S|yes please.
PS03T|any thing in else.
PS03S|no its that sort of weather isn't it.
PS03T|just give me this glass no I think that was a good programme.
PS03S|yeah made a change didn't it.
PS03T|mm.
PS03S|I think some of them.
PS03T|would you like something nice what can I have.
PS03S|not tonight.
PS03T|to eat.
PS03S|not tonight there's.
PS03T|I mean to eat what can I have nice.
PS03S|what you did.
PS03T|oh I don't know I've put the coffee on.
PS03S|sounded like.
PS03T|mm.
PS03S|shouting let me know he was there.
PS03T|I want to see er Glenda Jackson later on.
PS03S|oh she got sq.
PS03T|I like her.
PS03S|square face.
PS03T|who says she's square face.
PS03S|she is.
PS03T|she's not.
PS03S|she could be.
PS03T|not er not Glenda Jackson Judy Dench Geoffrey Palmer.
PS03S|she's about the same.
PS03T|no no they're they're nice good actress is that on about eight thirty five so that's er not too bad Now don't I've got to go and get that coffee else it'll be boiling over.
PS03S|what's tape thirty five.
PS03T|what do you mean tape thirty five.
PS03S|you said tape thirty five Judy Dench.
PS03T|that's I said its at eight thirty five See if its sweet enough I'm not putting much sugar in and I can't carry both in I daren't carry any thing in with me left arm yet.
PS03S|Its a bit hot.
PS03T|Well put it down on the table for a minute then Will you sort out er what pull overs you want washing tomorrow.
PS03S|oh I don't want any done.
PS03T|well I don't know there seems to be about four or five.
PS03S|about.
PS03T|about so I'm sure some of them might want washing.
PS03S|its not the right day for pull overs any way.
PS03T|it is with me spin dryer.
PS03S|oh.
PS03T|I mean nothing gets dry outside this time of year oh there's not much taste in this coffee is there do you think so.
PS03S|well its a bit er.
PS03T|yeah the ol.
PS03S|what's a name a bit blanche no that's not it a bit erm.
PS03T|bland is the word you're looking for.
PS03S|bland that's it bit bland.
PS03T|oh that Dutch coffee was too strong now this seems to weak or I didn't put enough in I think I'll clean put that filter stuff in tomorrow.
PS03S|mm.
PS03T|might make it better.
PS03S|that table never come loose again did it.
PS03T|no no its kept I thought it might when you put the Christmas tree on it.
PS03S|oh I er that's what Peter send cos that's full of soil that erm.
PS03T|I mean the only er look make look flimsy don't they.
PS03S|mm.
PS03T|those old tables in the Antique's Roadshow.
PS03S|yes.
PS03T|almost worth ten thousand pounds.
PS03S|yeah.
PS03T|and yet underneath was all.
PS03S|mm.
PS03T|you didn't see it.
PS03S|dried.
PS03T|no sort of rusty nails not.
PS03S|mind you its one thing saying.
PS03T|screws but its.
PS03S|its worth and getting it in it.
PS03T|well I don't know I think some value seem a bit high.
PS03S|mm.
PS03T|do you want a chocolate biscuit with that.
PS03S|not particularly not after that cake.
PS03T|I've not had any cake tonight.
PS03S|its filling in't it who's is it Madge's.
PS03T|no its mine oh oh yes that's that's Madge's cake yes we eat it we eat my one there's not much left.
PS03S|What we doing tomorrow.
PS03T|What I always do on a Monday.
PS03S|washing.
PS03T|washing and ironing and cooking and cleaning.
PS03S|and shouting at.
PS03T|ooh you get rowed too quickly you do.
PS03S|I don't accept er fools gladly.
PS03T|I'm not a fool.
PS03T|its you who who gets all up tight.
PS03T|yes you did.
PS03S|that's what.
PS03T|well you get all aerated then if things are not quite right you ain't got much patience with some things.
PS03S|I set up the and I like how its done.
PS03T|no you don't.
PS03S|until you come along and upset the apple cart.
PS03T|you just dream a lot.
PS03S|you get some weird ideas about.
PS03T|no I don't I know I'm not very mechanically minded but.
PS03S|huh you you know how many.
PS03T|I can fathom things out eventually.
PS03S|you know that twice two are four huh.
PS03T|mm you never listen to people and then you think you can just pick it up by deduction.
PS03T|instead of just obeying instructions you just say well that should go that way and that should go that way and to me that's immaterial if you just see it going see it if its working that's it know where the tops and bottoms of it all I mean I see.
PS03S|that won't that's obviously of won.
PS03T|she she was no I don't see why they had her on last night terrible I mean I couldn't even tell what.
PS03S|that er.
PS03T|that song she or tune she was supposed to be singing.
PS03S|you know in erm.
PS03T|phew.
PS03S|oh er oh John's Wood you know that film where the lad played er sang didn't he.
PS03T|where who sang Al Jolsen with the boy.
PS03S|in that film with Al Jolsen.
PS03T|yes er as boy.
PS03S|he had a boy on it was boy on on the front of.
PS03T|well he was a boy.
PS03S|the cinema.
PS03T|yes.
PS03S|well he lost his voice and he started whistling didn't he with his.
PS03T|mm mm.
PS03S|with he he I mean he could of beat er it couldn't he.
PS03T|well they must of had a profe really good whistling mustn't they but why they brought her on last night I think she was hopeless.
PS03S|that's what I mean if they'd had a good whistler he kept instead of her couldn't he.
PS03T|That man with that ten thousand table apparently he said he use it nearly every day.
PS03S|yeah.
PS03T|he it opened out.
PS03S|yeah.
PS03T|into a beautiful card table and with the pockets.
PS03S|yeah.
PS03T|and er he said he used it every day he said oh er now I know the value I shall have to tell my bridge pals.
PS03S|yeah but that's what keeps.
PS03T|not to put there glasses.
PS03S|that's what keeps it why its kept so long then then he said that.
PS03T|then he said I shall have to tell my bridge pals not to mark the.
PS03S|yeah.
PS03T|because you know in the corners there were wood.
PS03S|yeah.
PS03T|wood inlay wood things you didn't see it to put the glasses on or cups of coffee he said I'll have to tell them not to put the glasses or cups on there.
PS03S|but er any thing that's put in the spare room and left that's when you get wood worm.
PS03T|do you remember when you thought you'd got wood worm in our new table.
PS03S|and it was where they pinned the er the get the lips the circle They even gamble we were talking about and she says oh my wife knows all about that from where we come from you know live live one like Random Street and which I suppose they had to get where they could she come and looked at it and said oh that's one wear said they're only four four holes.
PS03T|they were pattern holes weren't they.
PS03S|mm but there was a bit er you know where the legs moved.
PS03T|mm.
PS03S|when it were made like the sawdust some of that had got on our.
PS03T|and you thought that was them.
PS03S|that's what made me.
PS03T|you you get to annoyed over trivial things so I don't suppose you'll change at your age.
PS03S|probably not.
PS03T|drink that coffee its gone cold.
PS03S|when you think of this.
PS03T|mind its not in the saucer you'll spill that down you.
PS03S|when you think of these er music boxes like George's got and you see on telly.
PS03T|mm.
PS03S|but when it laying here and you look at this little box there okay with the real Doncaster.
PS03T|yeah oh yeah I see what you mean.
PS03S|see what you mean.
PS03T|yeah.
PS03S|they all sit round that Sunday afternoon wouldn't think it were.
PS03T|well it wasn't in those days that were a good programme on on Court today wasn't it.
PS03S|yeah do you wish you'd like it done now.
PS03T|no we wouldn't have it on today we'll have it on tomorrow see how it sounds.
PS03S|I bet it don't work though.
PS03T|mm.
PS03S|I bet it don't work.
PS03T|even when I'm doing the ironing tomorrow morning Say you're gon na have an early night.
PS03S|mm.
PS03T|I don't think you see you see what that films out in't it.
PS03S|mm we've watched it.
PS03T|oh er well it well that was but I mean that's not gone back right has it.
PS03S|don't know.
PS03T|you think it has look you see there that's straight.
PS03S|mm you probably bent it back when you fall with all the pain and you you ain't noticed it so much.
PS03T|I know I told him that was the only part that was hurting and he looked at it and said didn't.
PS03S|alright.
PS03T|say it was any thing to bother about.
PS03S|yeah perhaps isn't cos look at the pain in your frozen shoulder its pain and yet its nothing broke is there.
PS03T|no.
PS03S|disguise in't.
PS03T|I suppose it will come right in the end its taken a long while because look at that lump there.
PS03S|mm yeah.
PS03T|look can you see.
PS03S|mm.
PS03T|shall I have a new wedding ring.
PS03S|of course you can if you want one you'll have to ask about it do ya trouble though a cartoon ring will do just as well.
PS03T|you cheeky thing I've still got the other one but it won't go on but if I had erm.
PS03S|well maybe they'll expand it.
PS03T|no if what where if you haven't got any gold.
PS03S|well cut it through and open it and put a bit in.
PS03T|oh no I didn't.
PS03S|you've got plenty of old rings I can.
PS03T|I haven't got plenty of old gold rings.
PS03S|well you've got some rings can cut a bit off and put in.
PS03T|no no I think I'll have a new one that's got very thin.
PS03S|any way I've looked at them.
PS03T|how much are they.
PS03S|du n no.
PS03T|how much was that.
PS03S|what.
PS03T|can you remember my wedding ring.
PS03S|my that's going back in't it.
PS03T|only thirty thirty eight years nearly.
PS03S|the man was going for the engagement ring did do er high street.
PS03T|no yes well we had the wedding ring from there he's closed down now.
PS03S|why come out I thought myself I'm trapped.
PS03T|did you now.
PS03S|I'm trapped huh now I feel.
PS03T|I wished I'd never known that.
PS03S|mind you I reckon my life would of been.
PS03T|well your mother was the wood there wasn't she really.
PS03S|yeah and when mother died whatd' ya think my life would of been.
PS03T|I du n no can't see you getting on with Bill very much much.
PS03S|well they were always against me well Bill was during the war what I'd done to them finished all the decorating put shelves up go on the slate to put his aerial up he wouldn't go up I had to climb out my bedroom window onto the gutter and its a wonder I didn't kill myself then put his aerial up and.
PS03T|what did you get a big ladder.
PS03S|no I climbed out of.
PS03T|oh.
PS03S|my bedroom window.
PS03T|oh.
PS03S|you know your bedroom window where mine was.
PS03T|yes I know mm.
PS03S|it was a yard at the back but I climbed out and stood on the sides.
PS03T|that was a silly thing to do.
PS03S|and pulled myself over the gutter it were alright getting up it were getting back in.
PS03T|mm.
PS03S|and across the er two yards the a man and a woman were sit there watching me hoping I'd fall I expect His aerial had come off the chimney.
PS03T|mm.
PS03T|want any more coffee.
PS03S|when I was going onto the roofing that was Saturday before the Monday he says we should.
PS03S|in case I couldn't do the job.
PS03T|mm.
PS03S|that were a very good send off weren't it for me.
PS03T|mm.
PS03S|mind you there were times when were miles away we said er we we.
PS03T|your sugar was all at the bottom of your cup then.
PS03S|I suppose it was well I think.
PS03T|its er its only eighto'clock.
PS03S|yeah but I get up at five.
PS03T|oh you're not going to bed yet.
PS03T|well once in a blue moon do we have a late night not all that late at that.
PS03S|yes but when we see when we have.
PS03T|mm.
PS03S|what do we look at when we have like a most nights last I see that Argentina thing.
PS03T|you was Jackie and Tony came in.
PS03S|mm.
PS03T|Jackie and Tony came round.
PS03S|but I mean er last night.
PS03T|oh I see.
PS03S|so I mean in particular its alright if there's a good film worth watching for that I'd sit up till twelve.
PS03T|yes but you sleep you sleep through those mostly.
PS03S|sometimes.
PS03T|would you like a cam corder or whatever they're called.
PS03S|I don't what for films.
PS03T|like those video things.
PS03S|I don't even know what they are here let alone talk about it.
PS03T|what you did you saw when we.
PS03S|what they hold on the shoulders.
PS03T|yes what erm.
PS03S|and they take pictures what with.
PS03T|what's er name's husband was carrying.
PS03S|like the old er movie camera with Kodak.
PS03T|yes similar er you know next door to you that girl.
PS03S|er wasn't that got that the.
PS03T|she'd the husband had got one.
PS03S|Elsie had got well that's.
PS03T|Elsie.
PS03S|that was a camera weren't it not a.
PS03T|it was a cam corder.
PS03S|oh it was moving.
PS03T|yes it was a movie picture yes been showing here because when she said she was blind I thought well what's the good but she said oh well he when he runs it through he sort of explains to but he was using it all the time wasn't he.
PS03S|mm I thought you meant something like this.
PS03T|no.
PS03S|no.
PS03T|there about what's it four or five hundred pounds.
PS03S|mm I'd get two ladies for that.
PS03T|no you couldn't get two ladies any way at your age what do you want a lady for.
PS03S|well I don't know but could do with it years ago.
PS03T|well you should of had one.
PS03S|I mean that's why I'm left with the cash two hundred cash.
PS03T|no never thinks she'll thought any thing like that well you could of bought one couldn't you out of that.
PS03S|I know I probably could of had one right from the word go.
PS03T|yes but you're always on about it as if you wished you'd had a.
PS03S|well in the early days I only got er what was what was your yours a quarter horse power motor wasn't it.
PS03T|I du n no.
PS03S|oh one eighth horse power motor well it drove that little lad you know that I that what I use now but you see to have a big one.
PS03T|you wanted a bigger one.
PS03S|wanted er like I've got half horse.
PS03T|mm.
PS03S|well you see then I thought the electric running it you know.
PS03T|well.
PS03S|and and er.
PS03T|you think too much.
PS03S|I thought well its.
PS03T|cos your drum of it instructor told you.
PS03S|eh.
PS03T|years ago.
PS03S|can't have bloody.
PS03T|I said you think.
PS03S|can't bloody think er.
PS03T|no he was right that's what I say you thinking about that thing this isn't just doing it as it said you ponder.
PS03S|what might go wrong.
PS03T|no on on why should we be doing this way or that way instead of.
PS03S|just pushing it in and hope for the best.
PS03T|just pushing it in and and if it goes that's it you you want to question every thing.
PS03S|like we did last night.
PS03T|no we didn't.
PS03S|you're looking.
PS03T|no.
PS03S|better do you feel better mm a nice pair of leg is it.
PS03T|yes I'm not too bad no.
PS03S|sure just nice.
PS03T|don't you ladder my stockings your.
PS03S|what's this here you've had a.
PS03T|I know that that's why its been hurting at night.
PS03S|you've caught it on the er.
PS03T|er no I don't mean that the stockings me tights.
PS03S|that little.
PS03T|no oh there.
PS03S|squares you had a.
PS03T|oh yeah.
PS03S|hole there or nail.
PS03T|oh no wonder that's been hurting at night.
PS03S|its been that has been blistering some time that think its.
PS03S|have you been walked through the garden near the fire or any thing.
PS03T|mm might of done when I've gone to the dustbin.
PS03S|cos you haven't got any nails around there.
PS03T|mm I've caught I might of caught it when I went to the dustbin.
PS03S|yeah.
PS03T|once or twice or the barrel and that's overflowing you've not emptied it have you.
PS03S|no I was too busy ain't I.
PS03T|no every time you go out to feed the birds you should take a bucket out.
PS03S|I could of finished that ship in the time we might of had.
PS03T|oh no you couldn't you'd not been messing with that all that long.
PS03S|poor old Cath she she doesn't know where she caught it I bet she thinks she caught it her mother.
PS03T|well you just catch these things no she didn't got to Madge's when they got the.
PS03S|she did she went on talking through the letter box to them.
PS03T|not to Cath no he went in the porch he'd only go in the porch to Audrey and tell Audrey not to go in.
PS03T|because Audrey cut his things easily the cabinet went.
PS03T|no its just in the air I mean if its going around you don't want to catch it you catch it not going out any where and the milkman probably yeah.
PS03S|and what your dad had set for for all this and.
PS03T|he'd of liked the horse racing on T V.
PS03S|I bet he would yeah and the cars.
PS03T|and the car to take him around well though he liked to walk in a way when he was younger any way.
PS03S|Didn't he lean on the window sills towards the end.
PS03T|Yes he did.
PS03S|quite yours.
PS03T|well you do that's like your I've seen your Bill he walks like your dad did.
PS03S|mm.
