KBBPSUN|Well didn't when was that.
PS03S|Mm mm.
PS03T|oh no its straight after You've Been Framed.
PS03S|Poirot I seemed to know erm.
PS03T|Poirot that er.
PS03S|French man.
PS03T|detective Belgium with a moustache.
PS03S|mm.
PS03T|mm yeah.
PS03S|I'm sure this picture on last week's.
PS03T|well it might of been on Radio Times but.
PS03S|mm.
PS03T|but I I doubt it.
PS03S|see if there's any thing on before we go to bed.
PS03T|I'm going to see this eighty thirty five As Time Goes By.
PS03S|oh dear.
PS03T|its only half an hour so if its not any good in half an hour its neither here nor there is it.
PS03S|the look jealously and obsession.
PS03T|well no that's not it.
PS03S|oh.
PS03T|your reading the wrong one that's it.
PS03S|Have you seen that one.
PS03T|Mm at eight fifteen and we've missed half half of it Its a pity we can't get any body else er to be here what with the flu and in it.
PS03S|mm going on.
PS03T|I've dittoed you for why.
PS03S|mm.
PS03T|I've dittoed you for why mm is there any thing you fancy look at tomorrow's pick.
PS03S|tell you what re rescuing wild fight against poachers on Wild Life.
PS03T|where.
PS03S|gone last night I didn't see that.
PS03T|well you were probably looking at er.
PS03S|something else.
PS03T|You've Been Framed.
PS03S|Defence of the Wild seveno'clock folks on men and women who dedicate their lives protecting the worlds the worlds wilderness.
PS03T|oh we've seen too many of those main forest ain't we its always on.
PS03S|fighting in Juventous.
PS03T|look at that its still a lot swollen in't it.
PS03S|mm.
PS03T|look.
PS03S|mm.
PS03T|there and there.
PS03S|a bit puffy in't it mind you it is a bit fatty looking in't it.
PS03T|oh me wrist is it's there in't it where its all swollen.
PS03S|mind you its not been all that long is it.
PS03T|it has about eight week's must be er that sounds as if the wash has finished you fancy any thing.
PS03S|at eight thirty the comedy I don't know what that is.
PS03T|er no I'm going to see that er eighty thirty five.
PS03S|mm oh I'll go bed then while you see.
PS03T|you have the radio on if you don't want.
PS03S|yeah.
PS03T|don't you want to see it.
PS03S|not particularly.
PS03T|I like her.
PS03S|she's the ugly one in't she.
PS03T|no she's not I have a picture of her somewhere she's nice him his there there she is.
PS03S|oh she's worked two years at the Larkins.
PS03T|she's a Nottingham girl yes its coming on on er.
PS03S|oh pot luck.
PS03T|er toy toy things that Rolls Royce its a bit daft in't it four ninety five.
PS03S|er not.
