KBBPSUN|What do you think to the pudding.
PS03S|What.
PS03T|Would you sooner of had a pie.
PS03S|oh no I like pudding pie it's a bit dry in it.
PS03T|not really always have more gravy didn't I didn't think the meat was as good you didn't either and I went to another butcher because I thought it.
PS03S|you had to break it to bits to eat it.
PS03T|no you didn't shin of beef is like that but.
PS03S|too much shin on it.
PS03T|don't be silly no I thought it looked better at this other bit this butcher's it looked leaner but erm it wasn't perhaps perhaps I didn't cook it enough yesterday drink your drink.
PS03S|yeah.
PS03T|but I've got some left of that beef so.
PS03S|throw it away then.
PS03T|I'm not going to throw it away it's too expensive to throw away no I'll cook it a bit more and do a do a curry rice or spaghetti.
PS03S|make a meat pie and take it to Cath's.
PS03T|why should I take it to Cath's.
PS03T|that was when I burnt my arm.
PS03S|come on and put your feet up you've done enough.
PS03T|I'm gon na put me feet up for a few minutes do you want now we've nearly finished.
PS03S|mm.
PS03T|I say I'll put me feet up before we wash up.
PS03S|I'll wash up you sit there.
PS03T|no you needn't.
PS03S|have the birds gone.
PS03T|yes twenty four pigeons it's too many.
PS03S|out there.
PS03T|no no the starlings seem to be pecking away at the top slabs are getting dry so I don't know er you see that man's still up there I wonder what he's doing up there at the side.
PS03S|has he got a ladder.
PS03T|well he wouldn't don't take all that long to put guttering up does it unless he's pointing the bricks up he was there all day yesterday.
PS03S|perhaps the.
PS03T|oh I see what you mean.
PS03S|any way that's his problem.
PS03T|oh I yeah.
PS03S|mm.
PS03T|are you going to do any drawing or painting are you fed up with it.
PS03S|no it's I'll go.
PS03T|rest.
PS03S|and get on with me you know the board I made.
PS03T|yes.
PS03S|behind the drawing pins.
PS03T|mm.
PS03S|this this little board there's no room to work here.
PS03T|oh that's why you bought the big board.
PS03S|yeah I know but I.
PS03T|you know where your drawing pins are.
PS03S|I tried it but the paper was stuck down stuck down already.
PS03T|look there's the drawing pins.
PS03S|mm leave them there though.
PS03T|out in this cupboard.
PS03S|mm.
PS03T|I should like something nice to finish off with.
PS03S|take your skirt of then.
PS03T|don't be silly.
PS03S|mm ain't that nice.
PS03T|no.
PS03S|I thought it was.
PS03T|do you want half this orange.
PS03S|I'll have a bit then if you're not gon na eat it.
PS03T|cos the big ones are too big big aren't they these are.
PS03S|how is it that we forbid.
PS03S|how is it that were still.
PS03T|I've only just put it on.
PS03S|oh are they different oranges.
PS03T|no they're Morroc but they're.
PS03S|they are.
PS03T|but they're a bigger size and thicker skinned I'd sooner have the smaller ones.
PS03S|you don't see blood oranges now do ya.
PS03T|you do sometimes these are the best Morroc's but same the stall I go to doesn't stand on Tuesdays only Wednesdays and Fridays and Saturdays here are.
PS03S|don't get juice all over it.
PS03T|I shan't get juice all over every where it'll be you Well Made your Barbara's on at twoo'clock are you going to see that.
PS03S|mm I might as well.
PS03T|you've got to be quick though.
PS03S|what time now.
PS03T|it's nearly that now are you going to change.
PS03S|mm.
PS03T|mm you better they're your old trousers aren't they I mean.
PS03S|well with Clare and.
PS03T|look at all the pigeons again do you want to have a bit more nice aren't they sit up sit up these are juicy aren't they must still be very cold outside can you see the steam from the boiler.
PS03S|mm where was that fog on freezing roads.
PS03T|I'm glad we've got the cooker hood done you can see all that black.
PS03S|mm.
PS03T|can't never that filter to be like that have you.
PS03S|ah I've put you a three eight wide eight thick piece of steel lay it on the top that would hold it down in the middle.
PS03T|well those hack saw blades do don't they.
PS03S|mm just hold it down and.
PS03T|I mean I think so.
PS03S|that spring didn't work the one we had did it cos it.
PS03T|I think those springs are are dangerous they shoot up and down on.
PS03S|came flying out when out in't it when we put it in.
PS03T|mm.
PS03S|now we know.
PS03T|I mean.
PS03S|it won't fly out when it's inside.
PS03T|that's what I mean as you were putting it in it it shot out didn't it.
PS03S|mm.
PS03T|last time Not much on these potatoes.
PS03T|I've not had any today just had one little bit do do you like'em.
PS03S|one thin strip of metal edge ways on across the centre I'd do it won't it that thing.
PS03T|would it.
PS03S|well you've got all the size pattern down.
PS03T|well your the expert.
PS03S|in that across.
PS03T|well that that spring you got was too thick.
PS03S|mm.
PS03T|too wide wasn't it it was wider than the the thing itself so you want it's got to be cut down width wise.
PS03S|you know how according to the thick the bull clip last time you had a lot of cause didn't ya.
PS03T|ah but on you know the new diagram the new packet the springs went like dia er.
PS03S|diamond.
PS03T|half a diamond shape.
PS03S|yeah what you really want is a.
PS03T|and on one side and yet inside the instructions it gave you know.
PS03S|mm.
PS03T|two curves.
PS03S|yes well I've been thinking about it what you want is a.
PS03T|well we paid about three pounds for those springs.
PS03S|springs.
PS03T|mm.
PS03S|when do you ever buy.
PS03T|when we bought them when we had the first lot of springs.
PS03S|oh I we haven't got them now that's before.
PS03T|you must have must be in me diary.
PS03S|well any way look if I made you a thin bit of steel straight across the centre like that.
PS03T|yes that would.
PS03S|it's thicker than hack saw blade perhaps a bit heavier.
PS03T|mm.
PS03S|straight across and then put a cross on the other way that's all you want.
PS03T|mm.
PS03S|like that.
PS03T|mm I know.
PS03S|like hack hack saw blades sort of thing.
PS03T|mm.
PS03S|edge ways on.
PS03T|mm.
PS03S|not flat because you stop the air from to that simple enough.
PS03T|where you going to get the spring from.
PS03S|steel.
PS03T|mm.
