KBBPSUN|I think it was taken in the July fortnight.
PS03T|Oh really Mm.
PS03S|Tha.
PS03S|that's his car that was smashed up.
PS0YY|Yeah the smashed up one Yeah.
PS03S|Well he's got a new one.
PS0YY|He's got another one.
PS03S|now.
PS03T|Has he.
PS0YY|Ford Orion.
PS03T|Oh yes Mm Let's just put my coat on.
PS03S|Oh yes.
PS0YY|Take your coat off a minute Evelyn.
PS100|Yeah Oh that's good int it.
PS100|Yeah That's good.
PS03T|I shall have a.
PS03S|Ah.
PS03T|couple of newspapers.
PS03S|There's all the back gardens.
PS100|Super int it.
PS03S|It's our clean road.
PS0YY|We've just been to Nursery.
PS03T|Oh we're we're going to Sainsburys in a minute Have a look.
PS03S|Takes a lot to clean the place up.
PS100|Ooh yes You.
PS03S|There's a.
PS100|You can.
PS03S|And.
PS100|see the difference.
PS03S|see the difference.
PS100|can't you.
PS03S|The man said how is it your grass is greener than next door.
PS100|Yes How is it.
PS03S|Well you get the frame and all the lot.
PS100|Oh Do you really.
PS03S|Mm Frame.
PS100|That's marvellous isn't it really.
PS03S|you get the frame and all the lot.
PS100|Marvellous Yes Very good.
PS0YY|That's not right is it.
PS100|Very good.
PS0YY|Have you read that Vince.
PS100|Pardon.
PS0YY|Have you read that letter.
PS100|Yes Oh yes over there this morning then.
PS03T|Anyway what I don't know what your er accent is Not from here.
PS100|Geordie.
PS0YY|It's Geordie.
PS100|Geordie Yeah.
PS03T|Geordie Oh.
PS100|Northumberland yeah.
PS0YY|Er.
PS100|Newcastle on Tyne.
PS0YY|of spoken English.
PS03T|I knew you came from North but I never knew exactly where from.
PS100|Oh yes Newcastle That's the place.
PS03T|Put it down.
PS0YY|Sit down a minute.
PS03S|Yes alright.
PS0YY|Don't stand up.
PS03S|No we're not no we're not sitting down like We got a lot we got a lot.
PS100|Sit down on er seat over there.
PS03S|got a lot to do.
PS0YY|Now go and have a look in the hall it looks beautiful I like the idea do you.
PS03S|Oh that's nice yeah.
