KBBPSUN|What else did George say apart from the fact will he come and see the paintings do you think.
PS03T|Mm Yes he said erm he'll keep in touch now he's feeling better and erm he was going friendship ha toni this afternoon and he was taking a an lady from across the road so he's.
PS03S|He'll still run his car then.
PS03T|Yes He said he's back on the road so presumably he's erm.
PS03S|Not been driving.
PS03T|No Well probably in his sa state.
PS03S|Mm.
PS03T|of health he didn't license the car.
PS03S|Just go and get the other.
PS03S|At least we've poured your tea and a have you.
PS03T|Is that better I think we did a good morning's work then.
PS03S|Yeah.
PS03T|Well I think being outside in the garden and cleaning.
PS03S|Mm.
PS03T|the car perhaps helped your cold a bit do you think.
PS03S|Possibly.
PS03T|Have another dose of that erm.
PS03S|Mm.
PS03T|buttercup syrup.
PS03S|What's it got in.
PS03T|I don't know but it's good.
PS03S|The big the big pigeons down look.
PS03T|Mm Ooh it's a lovely day today.
PS03S|Mm.
PS03T|I think we did well to wait until now do you.
PS03S|Mm mm.
PS03T|So I'll be alright to go to the hairdresser myself in the morning.
PS03S|No you won't.
PS03T|Oh yes I will I was alright this morning I haven't got anything.
PS03S|Yeah.
PS03T|to carry So I'm going on my own tomorrow Well.
PS03S|Well you.
PS03T|you can do a bit of taping of those records.
PS03S|you got the man to help you on with your coat.
PS03T|There's nothing Italian Canadian.
PS03S|There was two big ones look.
PS03T|There was three there the other day I thought you said you were going easy on that seed.
PS03S|Mm.
PS03T|That's the old seed they're taken there.
PS03S|Well that doesn't I know But you didn't buy that till Tuesday It's only Thursday now.
PS03S|It'll last till Monday Well you didn't want them sitting till dark then go off did you.
PS03T|Well you put about ten piles out.
PS03S|Well if there's three er nations thrown into one how did they get here.
PS03T|Two nations.
PS03S|Italian Canadian and they're British.
PS03T|I didn't say that was a British I don't know what nationality is that Well Canadian you know might have been that his father was in the Canadian army in the war Well his brother's in the army Anyway.
PS03S|When I was a lad a man went in the ar he hooked up with the army if he'd got no trade and no hope.
PS03T|Oh.
PS03S|of a job.
PS03T|Well they won't have them now will they.
PS03S|Or if he'd er been thieving.
PS03T|They won't have those sort in I mean look they wouldn't have Robert in would they I mean he hadn't really got any educational qualifications and.
PS03S|No.
PS03T|then they said he was a bit too thin not not so.
PS03S|Robust enough.
PS03T|robust enough.
