KBBPSUN|What what made Les er lend you the records to tape.
PS03S|I du n no Well he he'd got a and if I'd got to do it you know another day his er perhaps start and er i well you know when he came for a meal and saw all that.
PS03T|Mm.
PS03S|He said then I've got a lot of tapes you know says sit in here.
PS03T|Oh well.
PS03S|and do them all pick out what you want Or.
PS03T|Oh.
PS03S|all of them you know And er then er.
PS03T|No put it there No you put it there.
PS03S|Oh What's this in aid of.
PS03T|No you don't It won't reach It won't reach.
PS03S|Yeah it will.
PS03T|Well anyway th they're good ones aren't they It'll give us a comprehensive selection Won't it.
PS03S|Yeah.
PS03T|Don't think we'll ne need to buy any more re well records do you.
PS03S|I shouldn't think so That's why I wanted to start them so I gave them back to him Cos they're at risk.
PS03T|Well he said.
PS03S|while you've got them anyway.
PS03T|Well he said we can keep them as long as.
PS03S|I know but you might fall over them drop one.
PS03T|No You won't.
PS03S|But er anywa the there's about another thirty seconds on the tape what would you do.
PS03T|Just run it off Well you could put the other si side.
PS03S|Yeah.
PS03T|on Put the other side on.
PS03S|int it.
PS03T|Put the other side on and then get a new.
PS03T|tape ready ready to er.
PS03S|Well you couldn't have anybody more careful than me could you.
PS03T|No Oh no You do take care of them There's your hanky I think they've taken care of them They don't seem to be scratched do they.
PS03S|Well do don't look as if they've been used does it.
PS03T|Well she said they only have them on er.
PS03S|Perhaps they don't like er.
PS03T|Christmas time.
PS03S|Yeah.
PS03T|Probably look at the television all the time.
PS03S|Got a bit of dust on.
PS03T|Is that the.
PS03S|there.
PS03T|other.
PS03S|The needle's picking the dust up.
PS03T|Is that the other side.
PS03S|Yeah Now we've got ta see what we got on there.
PS03T|Well just finish that tape off with it.
PS03S|Look we got that bit there.
PS03T|Yeah well finish the tape off and then a new one ready.
PS03S|Yeah.
PS03T|to put straight in.
PS03S|Er.
PS03T|I mean for this market research one we ought to finish this tonight because if she comes tomorrow.
PS03S|Which one.
PS03T|This tape that's in this erm this market research tape.
PS03S|Which one market research.
PS03T|This is this one That we're recording for that lady We've got.
PS03S|Oh yeah.
PS03T|to finish this tape because she were coming tomorrow for it.
PS03S|So she wants some music does she.
PS03T|No She doesn't want the music.
PS03S|What are you doing with it then You started it What you doing.
PS03S|I thought they were helping you to do that.
PS03T|Well take it off then I'll take this off then.
PS03S|Yeah well how do you do this Couldn't you have left well alone.
PS03T|That's okay.
PS03S|Got a good selection haven't they.
PS03S|They they are very good they are Do you hear that.
PS03T|Well you always wanted a piano.
PS03S|Yeah.
PS03T|According your that is.
PS03S|And I wanted I wanted Conways.
PS03T|I thought you were going to put that low so that if so that if this did pick it up er it didn't make any difference.
PS03S|Mm.
PS03T|You sit in there Don't sit on there.
PS03S|I wish I could er well don't don't you know that's a record case there.
PS03T|Well we always clean the carpet's clean.
PS03S|What when people walk in dirt.
PS03T|No.
PS03S|And you go out and you ca That's finished anyway.
PS03T|Have you got another tape ready.
PS03S|I can do I think stop it.
PS03T|How many more have you got left from the Christmas box tapes.
PS03S|Two four two or four I should think This one here I think that's been play that's been played on.
PS03T|I told you to keep the new ones separate You'll get them all mixed up.
PS03S|See how it goes They are.
PS03T|Oh Good Oh.
PS03S|What's that.
PS03T|Nothing.
PS03S|Baker Conway he's is a we wanted one of his things.
PS03T|Yes And you got him now for nothing.
PS03S|I think he went on a liner.
PS03T|Well he did.
PS03S|And then.
PS03T|Well all of his.
PS03S|and erm one of them lost th use of his fingers It wasn't when they.
PS03T|I think that was him.
PS03S|Probably was I wish I'd have carried on with piano lessons But then we used to se.
PS03T|Your mum must have read that little finger.
PS03S|Then we used to sniff you know and Mrs come and knocked on the front door says er our house is asleep do you mind not playing you know Cos er there were only four and a half inch divide in brick walls.
PS03T|Mm Yeah Mm.
PS03S|So I mean not double These er these mi might be the same but you can't expect to have to stop sound going through a four and a half inch wall can you.
PS03T|We had a piano but nobody.
PS03S|Mm.
PS03T|ever complained about us practising.
PS03S|Well you got good neighbours then that's all I can say She came and knocked on the door and then we went back and I I said what you stopped for I says er so I said started playing ten minutes she couldn't have got up the stairs and were back again.
PS03T|Mm.
