KBFPSUN|What's he cooking Chicken casserole.
PS04Y|Ooh.
PS04U|Very nice too.
PS04Y|This is mine isn't it.
PS04U|Yes that's your dish.
PS04Y|This is my dish yes.
PS04U|I leave it another ten minutes Jean cos I.
PS04Y|yes.
PS04U|can drop you and then go.
PS04Y|yes.
PS04U|and pick Carla up save coming back.
PS04Y|unclear.
PS04U|and then going back.
PS04Y|fit it all in as they say.
PS04U|That's right.
PS04Y|Yeah I didn't finish my tea I never do so I'll I'm going to do that now.
PS04U|So you drop him at the actual hospital.
PS04Y|Erm this Jill who is this is this girl friend.
PS04U|Vicky's his girl friend and Jill the mum.
PS04Y|Oh I see.
PS04U|But Vicky's now she had erm anorexia the girl friend she sort of got over it but then er hos her mum and oh it's all very confusing mum and the boy friend been together for years they've now split up Vicky's now it's all been sort of everything on top of her.
PS04Y|Mm.
PS04U|she's now got an ulcer and there's some.
PS04Y|Surely can you I mean.
PS04U|She's only fifteen I mean I can't believe it I.
PS04Y|It's terrible.
PS04U|And erm so of course she's you know not been well for a couple of weeks and she's gone down from nine four to seven stone.
PS04Y|Lord.
PS04U|So they said last week there having her in and she's in till Christmas.
PS04Y|Why can't people be happy Why can't they be contented with what they've got.
PS04U|That's right well I said to Lee you don't half pick your blooming girl friends he had that neurotic one up the road didn't he.
PS04Y|Mm.
PS04U|But this one I think he's not.
PS04U|He it it is he gets on very well with her I mean he only sees each other.
PS04Y|Yes.
PS04U|on a.
PS04Y|having.
PS04U|Saturday.
PS04Y|having been through that experience with Helen he'll be a lot more weary.
PS04U|Yeah cos he realise I mean he often says oh well you know she made me turn against my family and be horrible and he says I haven't had time he says I realise how wrong I was.
PS04Y|Neil Neil now says that when he meets a girl he he waits to see if she's got any characteristics in common with the dreadful Vicky the girl that he eventually fetch her much deserved slosh on the chops and was pulled into Ipswich Magistrates Court you know oh I shouldn't laugh but erm he says he looks for those characteristics and the moment he sees that the girl is going to be this sort of neurotic excitable hysterical creature he walks away.
PS04U|I don't blame him.
PS04Y|Yeah.
PS04U|Well I think Lee he he just realise I mean I mean he only sees her once a week any way doesn't he but you know she is she is a lovely girl.
PS04Y|Good.
PS04U|but erm it's like now I mean there's no way she'll visit cos he's got too much homework in the work.
PS04Y|Mm mm.
PS04U|and I mean he's tied up tomorrow.
PS04Y|Mm yeah.
PS04U|Erm I said did you say your mum phoned up.
PS04V|No I phoned her last night she.
PS04U|bet that's Lee.
