KBLPSUN|Oh sorry Jack oh Jack.
PS06D|Write down when it started.
PS06A|oh excuse me.
PS06D|see I've got Jessica and Kate talking in the kitchen.
PS06A|supposed to.
PS06D|do I just put general conversation in the evening.
PS06A|yes put that.
PS06D|in the evening so that's when it is in it.
PS06A|and just start another tape tomorrow.
PS06D|er are we doing side one of that yet.
PS06A|no you said you've turned it over.
PS06D|no I I haven't.
PS06A|right.
PS06D|I haven't.
PS06A|you told me you turned it over.
PS06D|no I didn't I didn't mean that I didn't mean that I turned it over I'm not gon na false out bloody conversation just for the sake of it.
PS06A|don't make me laugh.
PS06D|mm you I want I want.
PS06A|just keep it people will be saying things aren't they.
PS06A|what er mum its your responsibility if you want to turn it off turn it off.
PS06A|don't keep saying shh you can't do it I don't care what you say your nagged at by your children.
PS06D|you going to.
PS06D|chinese tomorrow then.
PS06A|mm mm.
PS06D|erm number one is my most all time favourite record Stay have you heard it.
PS06A|yeah.
PS06D|do you like it.
PS06A|oh its alright.
PS06D|oh its lovely.
PS06A|why don't you buy it then buy yourself some records.
PS06D|its not its not them its paying the mortgage with every thing else with it isn't it its not one of those stupid.
PS06D|er what's this pillock er oh oh.
PS06A|he's the most hideous looking man in the world.
PS06D|who is it.
PS06A|Michael Bolton look at that look at that nose and that hair.
PS06D|what does he what what does he sing to then.
PS06A|what does he sing usually.
PS06D|ah oh I love Madness.
PS06A|some of them.
PS06D|they've done this before haven't they.
PS06A|its been released mum.
PS06D|eh.
PS06A|its re-released best aren't they.
PS06D|you used to love Madness.
PS06A|I still do yes.
PS06D|I've been there is this really music is it.
PS06A|This bloke at.
PS06A|was selling them dodgy tickets and those people with dogs out and guns outside.
PS06D|mm urgh this is it this is lovely.
PS06A|I know.
PS06D|this.
PS06D|I think she looks like Jackie.
PS06A|what.
PS06D|I'm just think this is so funny.
PS06A|why what that tape.
PS06D|its all most weird.
PS06A|that group she used to be in.
PS06D|I know.
PS06A|I used to like erm Talk like an Egyptian.
PS06D|no.
PS06A|er The Bangles.
PS06D|no yeah no.
PS06A|Bananarama.
PS06D|oh did she.
PS06A|mm.
PS06D|is this is that then.
PS06D|what she called.
PS06D|oh yeah.
PS06A|she's married to Dave Stewart.
PS06D|wouldn't you liked to be in a pop group and appear on Top of The Pops.
PS06A|no its pointless can't sing can't play a thing I wouldn't be much good would I.
PS06D|well they can't sing.
PS06A|that's not a bad lot of singing is it.
PS06D|its not lying.
PS06A|it is.
PS06A|have they.
PS06D|yeah oh I didn't know that.
PS06A|print it first unless they've changed the format.
PS06D|oh this is like knowing you put N T V in.
PS06D|almost can't see the words yet.
PS06A|mm no its.
PS06A|which so far has been.
PS06D|absolute so far.
PS06A|all he said is not to.
PS06D|no he comes with Nigel who's that your with hello alright well no because I've got a back ache oh how was your day well the Skipton Building Society are a pain in the arse are you not going to say a bloody word for the rest of the evening he's gon na sit with his hand on his neck and I shall shoot him.
PS06A|football.
PS06D|so did I I just about chuck the.
PS06A|I hate it I hate television.
PS06D|no I don't I mean that I hate football.
PS06A|are you talking about.
PS06D|football on television cos all you can hear is ooh ah.
PS06A|that's right.
PS06D|I can't bear it I really can't.
PS06A|no.
PS06D|its not the game I object to.
PS06A|no.
PS06D|its the urgh I should turn it off now because I'm not going to say any thing.
PS06A|mum stop keep saying turn it off turn it off now.
PS06D|look its wobbly because your voice is getting louder.
PS06A|well you do it.
PS06D|sticky old bag turn it off babe.
PS06A|no you do it its your responsibility your the one earning the vouchers.
PS06D|you are I was in the dam bath.
PS06A|alright then I'll I'll get the twenty five pound vouchers.
PS06D|you er.
PS06A|saying it is my idea shall I.
