KBLPSUN|You've got to go cross country running today.
PS06B|Mm.
PS06F|What.
PS06A|she's got to go running this morning.
PS06F|oh no.
PS06F|oh god.
PS06F|why.
PS06B|I'm not doing it.
PS06A|Yes you are.
PS06F|got to do it.
PS06B|I'll walk it its the last one.
PS06A|why don't you just get the crisps and.
PS06B|the whole school doing it.
PS06A|banana and do you want all this stuff.
PS06F|I thought she was having a school lunch.
PS06A|well I mean if its if its there.
PS06F|alright give it to Jessica.
PS06A|oh I I need fifty P in change though for her I just haven't got the change to do with.
PS06B|I'll take it out of my pound then.
PS06A|when.
PS06B|when you came back with my.
PS06A|yeah but then you'll only have fifty P for lunch and that's not enough.
PS06B|no you give me a pound for my lunch out of there.
PS06A|that's it.
PS06B|I know what I'll swop that for a pound coin yeah and you give me back the pound coin and plus that fifty P yeah.
PS06A|well it if you have got a pound.
PS06F|are you picking Jessica.
PS06B|yeah.
PS06F|will you pick Jessica up today.
PS06A|no I start at half past three.
PS06F|oh do you.
PS06A|mm.
PS06B|I think so.
PS06A|why did you take it its mummy's.
PS06A|I didn't realise its all gone so.
PS06B|ah yeah the.
PS06B|tape its half of it.
