KBSPSUN|I think it's terrible the way these people ignore me she said when I made a complaint About the car this was Just don't do anything about They ignore me completely I think it's terrible an old woman like me.
PS079|There's more self pity But she ha didn't is she gon na phone up Frank or.
PS07A|No I don't know if she will or not.
PS079|Dreadful the way everybody ignores her Extraordinary If she can find the slightest little thing that sort of effects her in an adverse manner.
PS07A|Yeah.
PS079|you know the way she doesn't like it then she's up in arms.
PS07A|She builds it up.
PS079|but everyone else can whistle Dixie.
PS07A|And she started to say this morning oh you're alright And then she changed her mind I think You're alright you something and then she stopped And I told her once I said I'm sick to death of hearing you say that every time I come.
PS079|But she didn't have a lot to say about Roe's conversation.
PS07A|Nope She'd asked about dad any road she said course this is in the afternoon so she didn't then only this trouble hadn't started then about no money you see They Roe said he was alright but lonely.
PS079|Well I don't know but really lonely I wo I wouldn't read that altogether A nineteen year o.
PS07A|And then as soon as he started his courses and he met somebody.
PS079|A nineteen year old doesn't get lonely.
PS07A|No You're sure to meet er get in touch somebody who's doing.
PS079|But he's he's in this what.
PS07A|Yes.
PS079|I was gon na say a hospice but that isn't that isn't right.
PS07A|No he's got a flat anyway.
PS079|No he hasn't yet.
PS07A|No well he's he's found one anyway But he had to pay them rent.
PS079|Yeah I know but he can't get in cos he can't.
PS07A|Mm.
PS079|pay the two.
PS07A|No.
PS079|hundred pounds advance to so he's.
PS07A|pen.
PS079|still in the.
PS07A|penchant or something whatever it is.
PS079|That's right Penchant I don't think we should worry too much about his affair but at least er you must be prepared with with the to live That's first.
