PS07K|We're gon na find out who his true friends are.
KBVPSUN|What if.
KBVPSUN|had a little visit from Mr thing whatever his name is he sounding you out was he.
KBVPSUN|About what.
KBVPSUN|About the course.
KBVPSUN|No the other chappie who's on the course next week.
KBVPSUN|Oh that that yeah.
KBVPSUN|he said he's gon na be out.
KBVPSUN|He was being very human today.
KBVPSUN|He was wasn't he He was being er.
KBVPSUN|then saying that he's lost his sit down job doing nothing wrong.
KBVPSUN|Not.
KBVPSUN|How long has he been in there doing nothing I mean ever since I've.
KBVPSUN|been coming down ever since I've been coming down here he's been in there.
KBVPSUN|so he says got away with it for ten years.
KBVPSUN|Yeah they can do.
KBVPSUN|I'm too young I I.
KBVPSUN|got a van him and Nigel got a van now.
KBVPSUN|Taken over from Dave.
KBVPSUN|I know him.
KBVPSUN|Are they.
KBVPSUN|Well Dave Dave and Bob.
KBVPSUN|There putting in all their time.
KBVPSUN|Yeah Dave.
KBVPSUN|So.
KBVPSUN|That's put them all off down at one time didn't they.
KBVPSUN|So what he did he got.
KBVPSUN|So they get the faults and then that in that area.
KBVPSUN|rather than having to move out the way.
KBVPSUN|anybody else they'd get kicked out wouldn't they.
KBVPSUN|Yeah.
KBVPSUN|Yeah.
KBVPSUN|It's too it's just what he wanted.
KBVPSUN|we didn't have.
KBVPSUN|Just what he wanted.
KBVPSUN|and they're building up a petition so he's now got a office he's had he's had three offices.
KBVPSUN|but erm Jim's knocked him down to two.
KBVPSUN|He's what.
KBVPSUN|He looks alright at the minute I mean they go on about him but he looks after.
KBVPSUN|Yeah the truth.
KBVPSUN|The thing please everybody in the car everybody's hey.
KBVPSUN|you are.
KBVPSUN|That's usually his night out.
KBVPSUN|Oh is he.
KBVPSUN|they couldn't have got him you'll get him you'll get him Say there was a big cheer when he crashed his car on the strike crashed his car on the strike did you hear about that.
KBVPSUN|No.
KBVPSUN|I don't know whether he was on a call out going towards the crashed his car he'd got.
KBVPSUN|Bet he.
KBVPSUN|Go on lads.
KBVPSUG|Ooh.
KBVPSUN|Oh god the.
KBVPSUN|Let us do a couple of hours and then they've had enough sorry Ton.
KBVPSUN|Yes there was a rumour that he was on a.
