KBYPSUN|Hi.
PS10L|Gon na at least stop at Gerald's hasn't he.
PS08X|Oh he hasn't.
PS10M|He has yeah.
PS08X|Oh what a pain.
PS10L|You got that thing on haven't you.
PS08X|I know but don't worry Just keep talking normally.
PS10M|Wha what what thing.
PS08X|Tt.
PS10M|Tt.
PS08X|Came round.
PS10M|Oh yeah.
PS08X|and he just started bloody hell It's erm really stuff who write er can I put the Channel four news on I mean er.
PS10M|What the ra revelations.
PS08X|Mm So he's leaving on Monday.
PS10L|So he's moving on Monday.
PS08X|Oh that's good.
PS10L|So.
PS08X|Yeah.
PS10L|while we're all waiting with a cooked dinner he's going to have to go up Gerald's But they've decided that they're pleased with what Gerald's done.
PS08X|Oh God.
PS10L|so he's got that job all the time now he's working on.
PS08X|Yeah.
PS10L|Sunday.
PS08X|Super Er looks a erm she said oh am I coming over to see you tonight So she's just rang up her car's gone completely to bits and erm.
PS10L|Oh that's a shame.
PS08X|the the ignition's gone on her car and the erm.
PS10M|So it wasn't the clutch then.
PS10H|No said the.
PS10L|No she's lost the.
PS10H|only fou she got the choke on She'd driven from Newcastle to virtually to with the choke on.
PS10L|So wonder it doesn't stall I did that once.
PS08X|Yeah.
PS08X|Cos it's easily done.
PS08X|isn't it cos you.
PS10M|Yeah.
PS08X|just forget.
PS10M|and it doesn't do any harm for a short distance but er.
PS08X|She got so she get to nearly to her friends and she realised that the she'd left the clutch on Anyway so it's not that But she couldn't get the car started this morning.
PS10L|So hasn't she been to college today then.
PS08X|Yeah she'd been to college but she couldn't get her car started she had to get her dad to drive her in and pick her up And erm.
PS10L|Is she not coming tonight Well she's not coming on Sunday is she because of the.
PS08X|No I said er and she said I'm ever so sorry I said it's okay I just erm you know I don't I'll probably I'm fine on my own I've got things to do and I can watch T V and I.
PS10M|Mm.
PS08X|can and she said oh alright then if you're sure And she went how are you I'm fine She said you don't sound fine I said I'm feeling fine thanks honestly Aargh Mm I just don't want to be treated like you know object of pity or something.
PS10M|You're rare because of the way.
PS08X|Ee Well I'm pretty damn rare that's rind here.
PS10L|Right.
PS08X|Have you heated the beans up.
PS10L|Ooh no.
PS08X|Are we having tea with this.
PS10L|Ooh yes Make some tea.
PS08X|Is it is this a oh no Anyway so er that's what she said And she said er what about Sunday I said well I really feel I can lead my own company section I forgot Andrea was coming She said well alright then She said how about Ritzi's on Monday I said oh I don't think I could cope with that I don't feel like it anyway.
PS10L|Well doesn't it ma I mean when you do you'll be away with your different groups' points and he'll be.
PS08X|Makes me angry cos it's you know just.
PS10L|A waste.
PS08X|without energy But.
PS10M|well.
PS08X|erm oh no just sort of like and like he's being like so considerate now And he's like saying how are you feeling and all that I thought well he could have done it.
PS10L|Should have said er well I think you should go and phone Joe in the morning.
PS08X|No But you know I felt like saying well you know he could have been a bit more considerate and concerned when we were actually going out with each other.
PS10M|Well it's better to feel than never have felt at all isn't it To me he's an emotional cripple As well as being a bloody idiot to you.
PS08X|That was more he said.
PS10M|Was it.
PS10L|And what did you sa what did you just say He's o like your dad said all through his life the other way around.
PS10M|such into the shadows.
PS08X|Yes.
PS10L|You've got to miss the shadow for the po.
PS08X|But he's just a bit irritating cos he well you know I do I don't understand how you go through a whole relationship and everything and then come to end of it and not even feel the slightest bit.
PS10L|Well he probably does but he obviously he's.
PS08X|Horrible.
PS08X|Oh well you know er we're talking him and she says er something about I said er ooh you know he's hardly ever cried since you got he says Mm That's what he says Course men can't cry can they She said I mean she says I'm not prejudiced here and she says there's obvious exceptions and they're not bad but the majority of them are a waste of time She's given up smoking and casual sex now.
PS10L|Well I can perhaps it's.
PS08X|No she says not she says not all men but she says a lot of them have inbred to them that they can't cry and and all that.
PS10M|Well it's a macho thing you know.
PS08X|Mm.
PS10M|It isn't manly to.
PS08X|She said that.
PS10M|to cry.
PS10L|I think we shall have to start How come bought these mini Snickers for there American ones.
PS08X|Just cos you get them free I see.
PS10L|No they weren't free for us Just came over and asked what we wanted Going to put them in your stocking then That's the one.
PS08X|hurls it out of it wouldn't it Or a lousy hairbrush and a can't even remember what the present was it was enthralling.
PS10L|Right these are nearly ready now but there aren't that many actually but just leave.
PS08X|Mm.
PS10M|Get that.
PS10M|Did you use all the ones up love.
PS08X|She's cut.
PS10L|No.
PS08X|them all in twice in in two.
PS10L|No I I had.
PS10M|Maybe it might be an idea to get a deep fat fryer somewhere.
PS10L|You ask Steven I I can't.
PS08X|Steven knows what his parents want You always put a deep fat fryer because.
PS10L|Well I've got to replace that soon They cost about fifteen pounds.
PS08X|Mm.
PS10L|Or twenty five pounds I know it was a cheque And gon na get.
PS08X|Yeah but then she's.
PS10L|No It's not supposed to be something like modern mind yours'll be.
