KBYPSUN|Oh yeah And Moira said she she went into your shop to have a watch strap changed.
PS10K|And we haven't got any.
PS08X|No And they put it on back to front and so she keeps on putting her watch on upside down she goes and I was feeling dead sick and then it realised it was the stupid cow at the shop with.
PS10K|Oh Tell her to erm.
PS08X|It's broken as well.
PS10K|The watch or the strap.
PS08X|The the little bit which you stick the.
PS10K|Tell her to bring it in if she's got the receipt so th.
PS08X|Probably hasn't still I don't think.
PS10K|open tomorrow.
PS10L|Why.
PS10K|Well for emergencies.
PS08X|They've brought you a farewell present but they think it's just too big.
PS10K|They got nobody.
PS08X|Don't they.
PS10K|Find out tomorrow.
PS08X|That's a pi well when did you find out.
PS10K|I knew I was going to Stafford for a few days but I don't think I'll be there a fortnight Erm.
PS08X|Aha.
PS10K|this was I found out.
PS08X|Did Mr tell you.
PS10K|No sorry I found out tonight sorry no er.
PS08X|Hey Don't put any chips at my lap Thanks mum.
PS10K|Yeah so.
PS10K|Whose crinkled chips Mum made them.
PS08X|Dad.
PS10K|And.
PS08X|Thick aren't they.
PS10K|crinkle are they.
PS08X|Mum says erm they're thinking of investing in a deep fat fryer.
PS10K|Oh yeah.
PS08X|Quiet.
PS10K|Gerald's mum's got one Borrow there's see what it's like first.
PS08X|Oh that's a good idea Ta Mum would like that.
PS10K|Gerald's mum's got a deep fat fryer let you borrow that first see how th ah what they're like.
PS10L|Maybe she doesn't want to lend it me for.
PS10K|Yeah use it up though.
PS10L|Mm.
PS08X|What kind of sausages are these.
PS10L|There's a mark on this chair Oh dear There's bread with some butter.
PS10K|Is there that clothes shop dad.
PS10M|Yes it looks very nice.
PS08X|Have you got some trousers.
PS10K|Yes for me.
PS10L|Mrs telling me she really needs this doesn't she Vivien's coming this weekend.
PS08X|Is she.
PS10M|That chap in there's very good as well He were very good.
PS10L|Well what happened was I I rung erm sorry What did you say.
PS10M|No it's alri erm I was just saying about.
PS10L|Opened.
PS10M|opened you know.
PS10L|Well I rung up Mrs she said well she would do them but Vivien was coming and Dave so she'd rather not So I thought ooh Brenda asked her Oh Mrs she said she'd be she would do them but she'd felt absolutely terrified at the prospect because she had a a few years ago cos Gerry never had trousers with turn ups.
PS08X|Now he's a big boy.
PS10L|But she would worry about them I mean she would turn them up she would worry So I thought well I can't really ask her I know how she's feels like So I says if we got ta get back to her cos I went to Margaret's funeral Mm.
PS10M|Yes.
PS10L|Derek said how's Elizabeth I said she's alright but it wasn't the ordeal that she thought it was going to be He said well she did.
PS08X|And what did you say then.
PS10L|Goodbye.
PS08X|Mm.
PS10K|So saw today Coleen came up to me.
PS08X|Mhm.
PS10K|And she was saying about the she said that it was right wa what was it was quite bad in the car cos you right like laughing joking things like that.
PS08X|Mm.
PS10L|Well if it's anything.
PS08X|Well Steven's told his mum.
PS10L|Oh dear What did she say.
PS08X|Erm.
PS10L|What sh what did he say.
PS08X|I can't remember She says how how's Elizabeth He said well erm or something about reunions and told her And he said she was getting dead pathetic and saying who finished with who Why di why did you finish And all this And he said he just won't.
PS10L|Did he tell her that you finished with him.
PS08X|Who knows Didn't ask.
PS10L|And what she say.
PS08X|Well I he did tell me but I couldn't remember sh.
PS10K|He will say hello to you.
PS08X|Mm.
PS10L|Did you ask him if he'd te told his mum or did he just volunteer it.
PS08X|No I asked him.
PS10K|Is he okay.
PS08X|Pardon.
PS10K|Is he okay.
PS08X|Oh yeah He's on top of the world.
PS10K|Well I I'm gon na go out with somebody called Kath.
PS08X|Mm.
PS10K|It'll happen in his Ford Capri at least once a week.
PS08X|Yeah.
PS10L|So yo you don't know what time he's starting do you.
PS10K|Er tomorrow.
PS10L|Who told you today.
PS10K|Pass me the erm bread please.
PS10L|And what did he say.
PS08X|I think these chips are slightly thick dad.
PS10M|Alright.
PS10K|Er.
PS08X|Cor You could stop the door with here.
PS10K|Pass me the Flora again dad.
PS10M|You have to into the potatoes.
PS08X|There's a thing called the happy medium dad.
PS10M|Cor Mm.
PS08X|Mm.
PS10L|You better find out the train times just in case the weather turns.
PS10M|Yeah I will do.
PS08X|Aren't you gon na need the car.
PS10K|Mm I need to know.
PS10M|I think the main part will be alright cos you'll be travelling down the A thirty four which is erm.
PS10K|Good anyway.
PS10L|He's better off.
PS08X|It's horrible.
PS10L|to go by train.
PS10M|In actual fact that car of his being light I mean a front wheel drive will probably be able to and being light probably be better served for getting out of difficult situations than the other cars.
PS08X|I'm gon na swap Maurice Maurice's got a Citroen.
PS10K|Mm.
PS08X|Yeah.
PS10K|What's he got.
PS08X|Burgundy and cream one.
PS10K|What a two C V.
PS08X|Mhm.
PS10L|What who does it belong to.
PS08X|I du n no It belongs to her mum and dad Her mum probably.
PS10L|This is good.
PS10K|value for money.
PS10L|Oh.
PS10K|Well I'd love to if I get a choice I would loved to brought a brand new one.
PS10L|Well perhaps you will if we start to pay off.
PS10K|They make up an order.
PS10L|Oh.
PS08X|Ta.
PS10K|Didn't have much off my mum and dad.
PS10M|Oh If you're running around locally and having a cheap motor now Still have to be considered you know.
PS10K|Th the they they slow down when there's four people in a full load but.
PS10M|Well that Escort slows down when there's four people in it full load.
PS10K|Well exactly Aren't you gon na eat all of them.
PS08X|No They're too thick and I've got ta my sausages.
PS10K|the chips are they.
PS10M|Mm.
PS08X|Because we've had to wait for them.
PS10M|Yeah.
PS08X|I feel I I was quite hungry but the feeling's gone off.
PS10M|Well they're nice.
PS08X|Do you like doorstoppers.
PS10L|He made an effort.
PS08X|I know I was only joking.
PS08X|So did I I opened the beans cut the.
PS10M|That's because.
PS08X|cu cut the mushrooms up did the sausages.
PS08X|Set the table which was unset so I set it again.
PS10L|Ca I'm going to make some carbonara tomorrow do you want to try some.
PS10M|Mm Yeah.
PS08X|Ham and.
PS10M|And we well we got yeah we got some ham haven't you Or are you would you.
PS08X|Mm.
PS10M|You put bacon actually well this is.
PS08X|and sultanas.
PS10M|nicest recipe Bacon.
PS08X|spaghetti cream and.
PS10L|Mm.
PS08X|and cheese.
PS10L|Cheese.
PS10M|Oh.
PS10L|cheese egg.
PS08X|You know the one which mum had.
PS10M|Oh The erm creamy one.
PS08X|Spaghetti one yeah.
PS10M|Mm.
PS10L|Mm.
PS10M|Mm Okay yeah.
PS10K|Oh God.
PS10M|You haven't finished.
PS08X|Oh Louise absolutely reeked of garlic this morning.
PS10L|Who.
PS08X|Louise.
PS10L|Mm Has she said anything to you.
PS08X|No She doesn't know yet Well she'll know by now cos Matthew's probably told half the college But she.
PS10K|Well.
PS08X|didn't know.
PS10K|it wasn't like any secret.
PS08X|Yeah.
PS10K|I mean she's not gon na.
PS10L|So what happened when you going to have the le the lesson were you.
PS08X|Well I was already in and he came in and just erm I was here and he just suddenly came round that way and he sat down next to Louise and and he said how are you I said I'm okay You look good or something And then that was it really.
PS10L|He chatted to Louise did he.
PS08X|Yeah Why break the habit of the lifetime eh.
PS10L|Did he.
PS08X|What's wrong.
PS10K|Cracking.
PS10M|Maybe he didn't.
PS08X|Maybe Erm and he spoke to me later a bit later we had a row.
PS10K|God.
PS08X|Yeah And then I sa saw him at break.
PS10L|So he when he came in he could of gone round that way and talked to you or gone round that way and talked to Louise.
PS08X|I suppose so It's a bit awkward though I mean.
PS10L|Yeah It is really.
PS08X|didn't really know how to act.
PS10M|Well didn't like Louise tie him down.
PS10L|I know.
PS08X|Oh she stunk She really did.
PS10M|She could do.
PS08X|You know when grandma says it gets in the pores It does.
PS10K|I like garlic but not in that I could look at that at you all day.
PS10L|I mean she keeps going through that phase Has Catherine told you when she met Mary Yes she has hasn't she.
PS10M|Mary.
PS10L|Mary.
PS10M|That's right yeah.
PS10L|After granddad's funeral.
PS10M|Mm mm.
PS10L|they Mary I mean she come to the funeral and said she went up to Catherine and she said er oh this is your aunty and said I don't you you see.
PS10K|That Derek's wife yeah.
PS10L|Mm So aunty Edith said I'm Mike's sister And Mrs says this is Elizabeth's friend Ange.
PS08X|My adopted friend.
PS10L|And Mrs erm got in the and said and I know who you are And le it turned out just because at one point Mary put erm And it turned out that Mary was a big friend of Lisa's big si you know Christie.
PS08X|Yes.
PS10L|You know Mrs nephew Peter.
PS10K|Well vaguely.
PS10L|Well.
PS10K|Who's got the horrible children.
PS10L|No No No they aren't Well his wife Christine is.
PS08X|You know that.
PS10K|Mm.
PS10L|and his wife is a big friend of Mary And it turns out.
PS10K|Mm.
PS10L|that Mary er Mary's da one of Mary's daughters and one of Christine's daughters they're at the same college or something they're big friends.
PS08X|Oh.
PS10K|Well there you go.
PS10L|Yep.
