KC6PSUN|Do you realise that the people on this table gon na realise oh just clean it out.
PS0BA|Maybe that's why they're doing it One that the.
PS0BB|This survey says men does the cooking.
PS0BA|Yeah that th they've dra drawn a conclusion that men actually do cook a lot Babe You know damn well that you prefer cooking than I do Don't you.
PS0BB|It's not so much that it's that I prefer my cooking to your cooking.
PS0BA|Well there you go That's the answer to why you cook more than I do And I'll remember that next time you tell me to cook.
PS0BA|And when I don't want to I'll just turn round and say.
PS0BB|No And I like I like to cook.
PS0BB|Would you really say that about.
PS0BA|Yes.
PS0BB|cooking Ah Not really You've not cooked.
PS0BA|Yes but when you do it's very nice.
PS0BB|In fact I might just have to do a bit before I I might just buy.
PS0BB|a couple.
PS0BA|Never been to me Ah If we go for a curry later I'll be fat as fuck.
PS0BB|We might not.
PS0BA|I know but if we do we'll be fat as fuck won't we.
PS0BB|We don't have to go.
PS0BA|Yeah but it'll be nice to though if everyone's going Eh.
PS0BB|Aha.
PS0BA|And you like your curries don't you You blink a lot when I go like that.
PS0BB|I know I do Give up.
PS0BA|It's quite funny actually.
PS0BB|Stop it then.
PS0BA|Calm down.
PS0BB|Cos you're gon na get a smack in a minute.
PS0BA|People listen to this tape.
PS0BB|Well.
PS0BA|They'll think bloody hell she's an ar argumentative bitch How the fuck does he live with her.
PS0BA|Tt.
PS0BB|Why do you live with me.
PS0BA|Eh.
PS0BB|Why do you.
PS0BA|I sometimes wonder that myself Especially.
PS0BB|Ah.
PS0BA|after listening to these tapes back.
PS0BB|Ah Really You'll have to let me listen to them.
PS0BA|I listened to one in car and yo your like that again you snapped It's when I said oh I wish occasionally we you know cook straight away instead sitting around I don't sit around I'm always first in the kitchen.
PS0BB|Well I am.
PS0BA|Yes but look at you It's the way you speak to people.
PS0BB|Erm.
PS0BA|You speak to me like the stepbrother speaks to all the family As though you just shit on his head and rubbed it in with your foot or something you know.
PS0BB|Very good Gavin It's how Jane speaks to everybody.
PS0BA|Yeah it is Your Jane reminds me of Jay She turns round and you say something in then goes you know with absolutely no whatsoever and she turns round and goes like that like Jay does.
PS0BB|I know she does She's a right bloody.
PS0BA|Yeah.
PS0BB|sod.
PS0BA|And where's she got it from Eh I'm going in the other room.
PS0BB|Right.
PS0BA|Well can we do anything.
PS0BB|No Well I've just got ta wash my hair Got ta wash my hair.
PS0BA|Okay.
