KC6PSUN|Don't start again now then Otherwise you'll I'm gon na take you over my knee and smack you.
PS0BA|Eh.
PS0BB|Will you Oh dear.
PS0BA|Yes.
PS0BB|Alright My cake feels a bit hard Oh a new one.
PS0BA|Right.
PS0BB|Yep Pick the post up.
PS0BA|Yep.
PS0BB|Where is it.
PS0BA|What.
PS0BB|Where is it.
PS0BA|Well go and get it.
PS0BB|Up here.
PS0BA|Okay.
PS0BB|Ooh Ooh Ooh.
PS0BA|Do you wan na post it later Hello Hello What's wrong.
PS0BB|I've got a pain in my well not a pain it's just an ache For just a minute I got gone deaf All this pain inside.
PS0BA|Well let it worry about it babe I have get them quite often.
PS0BB|But you're not a woman Men don't get there.
PS0BA|They have heart attacks though.
PS0BB|I'll give you one.
PS0BA|What.
PS0BB|I could give you one.
PS0BA|You what.
PS0BB|Said I could give you one I don't mean a heart attack.
PS0BA|Gon na say.
