KCAPSUN|There's one there Oh they're off And he didn't wan na go to bed so I put him up I could hear him running across the landing and messing about.
PS0DL|What's that.
PS0DM|I could hear him running across the landing I said and messing about But they went asleep after anyway Well I cleaned all the windows Gordon right.
PS0DL|Want to get.
PS0DM|All.
PS0DL|out.
PS0DM|Yeah All the back right.
PS0DL|Yeah.
PS0DM|Outside as well.
PS0DL|Window like.
PS0DM|Yes And cleaned the windows up the side.
PS0DL|Having a brain storm or what.
PS0DM|And erm well I thought I'd well I'll do my nets and put them up you see Gordon cos then it'll be finished with wouldn't it So I ironed this big net here Gordon.
PS0DL|What's that.
PS0DM|I ironed my big net here and it meant to go up in the window there But it's a little bit too long there so you know them nails that are in you know the nails they're already in the window.
PS0DL|Ah.
PS0DM|I tried to pull them out but I couldn't.
PS0DL|What for.
PS0DM|To to put them nails up up a little bit on the window that's all Only about an inch see that's all the.
PS0DM|Maybe I should er.
PS0DL|Is it safe to go out alone.
PS0DM|only popping out then So I just then you can pull them nails out.
PS0DL|Do you want any potatoes Roast potatoes.
PS0DM|Ah Go on chuck another And erm I got my ironing out the way and then I can go to my mother then and start to paint paint the bathroom tomorrow.
PS0DL|Alright.
PS0DM|And you see.
PS0DL|Windows are looking bright today.
PS0DL|Not for me go and have a lay down.
PS0DM|It's called Ironweed I well it hasn't long started It didn't start till ten past ten.
PS0DL|Who's cat.
PS0DM|So.
