KCAPSUN|You know the entrance to the The.
PS0DL|aha.
PS0DM|There.
PS0DL|Oh aye.
PS0DM|Do you want anything.
PS0DT|When you was up at Teddys thought a bit little and it was it was achanical.
PS0DM|Quite big isn't it It's not achanical it's mechanical.
PS0DT|Mechanical because it's it's it's erm when it's things need kind of things like that It looks mechanical don't it I I it looks like a little mechanical.
PS0DM|You know what mechanical and I think he's on a train.
PS0DM|You know why they can't put more carriages on a train.
PS0DL|Why.
PS0DM|Platforms not long enough.
PS0DL|But it's not stopping you see.
PS0DM|No Well you.
PS0DM|You don't.
PS0DM|stop there but er.
PS0DL|Yeah But only certain times.
PS0DM|Oh.
PS0DL|But they nowadays they have a full coming over.
PS0DM|They can't stop that's it.
PS0DL|Not big enough er.
PS0DM|Go along the line.
PS0DL|it was in the paper about that It.
PS0DM|Yes.
PS0DL|was in the paper about the other car coming along that one.
PS0DM|No they announced it You see because the two two quarters there look they overlap And yet years ago they used to be long long trains I it's the new new.
PS0DL|Ah But that's a new station new platform see.
PS0DM|Yeah.
PS0DL|is a longer one.
PS0DM|I mean they could have gone look how long Aberech station er platform is.
PS0DL|Be be massive in n it.
PS0DM|It's massive.
PS0DM|Can't they extend it.
PS0DM|That's what I'm doing now ripping it all out.
PS0DM|Ooh That's what you've been doing Oh That's good.
PS0DL|Oh.
PS0DM|Because when people come to catch our train at twenty five to five i i it's announcing us that train.
PS0DL|Yeah.
PS0DM|I've got ta be there now.
PS0DL|Don't stop at the.
PS0DM|Let me go and wash my hands first.
PS0DT|Grandpa Loo.
PS0DM|I'm the only one who done it yesterday.
PS0DT|Grandpa look at my train.
PS0DM|I'll be there now.
PS0DL|Let Grandpa wash his hands first.
PS0DT|Cos.
PS0DM|Is that the tea on.
PS0DT|ga I'm collecting because and stuff like this.
PS0DL|I'll go and make a cup of tea.
PS0DT|And when are the diggers going on the road.
PS0DL|Oh.
PS0DT|And they dig a packet up He and he.
PS0DL|Have you had breakfast.
PS0DT|come here trailer and track Yeah And he says the Queen don't wan na.
PS0DM|Yeah I've had breakfast.
PS0DT|carry it on here.
PS0DL|What about.
PS0DT|so he carries it on the trailer like that.
PS0DL|What did you want for breakfast.
PS0DT|on the road when they wan na go to another.
PS0DL|Er.
PS0DT|building sites and they finished the other building sites.
PS0DM|What did she have for breakfast Gordon.
PS0DL|Kirsty had Weetabix.
PS0DT|And this is a.
PS0DM|Yes.
PS0DT|rescue helicopter.
PS0DM|And what did you have Sean.
PS0DT|Is that a helicopter or a plane Helicopter.
PS0DM|Helicopter Do you like do you It was quite good that helicopter Gordon.
PS0DL|Yeah What did you have for breakfast Sean You had toast didn't you.
PS0DM|Did you have toast for breakfast You going out.
PS0DT|And there's so much little things on it.
PS0DM|Are you going out with me today.
PS0DT|Yeah.
PS0DM|With me.
PS0DT|Yeah.
PS0DM|Are you sure.
PS0DT|Yeah.
PS0DM|And Kirsty.
PS0DT|Nan.
PS0DM|After breakfast.
PS0DT|Yeah Nan.
PS0DM|My chocolate sponge.
PS0DT|Yeah.
PS0DT|Nan.
PS0DL|What love.
PS0DT|I'm glad you're coming with me cos it's so much little stuff on.
PS0DL|They are No I'm not doing it Sean I'll get it when we come back And not doing it he or with you because he wouldn't even let alright then I didn't glue them all there I just glued some of it.
PS0DL|Some of it.
PS0DL|so that when it er come apart you would have some of it together and some of it would bond together so that you could do it yourself then.
PS0DT|Yeah Anyway.
PS0DL|Alright.
PS0DT|anyway dad I well you started fixing this didn't you on Christmas day And when you come home you said mum did did you fix this And and mummy said no And then when you come in I was fixing it weren't I.
PS0DL|Yeah.
PS0DT|I fixed.
PS0DM|Yeah.
PS0DT|it.
PS0DM|Yeah.
PS0DL|There was one piece I couldn't fix on And I I don't whether.
PS0DL|Clever boy.
PS0DL|didn't I.
PS0DT|Yeah.
PS0DL|And when I come back you put it on yourself.
PS0DM|Good boy.
PS0DL|And I said you're a good boy didn't I.
PS0DL|You haven't got a flat bit there.
PS0DL|It's on your tape On the tape it is.
PS0DL|Nanny put it away for you.
PS0DT|On the tape for me.
PS0DL|Oh I got you.
PS0DL|What time did you start last night then to work.
PS0DM|Te te teno'clock.
PS0DL|Teno'clock.
PS0DM|Well about that.
PS0DT|Dad Look ee I made a little one.
PS0DM|You want this.
PS0DT|And a mechanical helicopter.
PS0DL|Do you want tea Gordon.
PS0DM|Oh aye I'll have a cup.
PS0DL|Yeah I'll have a cup of tea mum please.
PS0DM|Is that your bag there.
PS0DM|Where.
PS0DM|What do you carry in it Money.
PS0DM|No.
PS0DT|I've got loads of money.
