KCDPSUN|Don't take too many.
PS0E9|I only got I only got.
PS0EA|No you didn't get.
PS0E8|Amy don't tip the.
PS0E8|Come on not the whole packet out.
PS0E9|I'm not.
PS0E8|You just tip it carefully that will do for the time being and eat those first.
PS0E8|I don't feel we've done a lot this half term have we.
PS0E9|Pardon.
PS0E8|I don't think we've done much this half term.
PS0E9|Much.
PS0E8|Not supposed to be to.
PS0E9|unclear.
PS0EA|unclear.
PS0E8|We're on the next tape.
PS0EA|Oi.
PS0E8|Jenny's didn't come out very well.
PS0EA|Didn't she.
PS0E8|No couldn't really hear very well.
PS0EA|Will I listen.
PS0E8|No not now I'm going to put it away.
PS0E8|Well it's not so easy when they're further away is it.
PS0E8|That'll have a nice sound with you eating crisps.
PS0EA|Thank you.
PS0E8|Amy Behave.
PS0E8|Yeah exactly.
PS0EA|You have a nice cough.
PS0E8|Mm mm.
PS0EA|Thank you.
PS0E9|Well if daddy goes back up to work tomorrow I think we might go out to London You've booked Taff haven't you.
PS0EA|We've got.
