KCDPSUN|I wasn't really expecting to go into Jenny's.
PS0E9|No I suppose she felt pretty awful about not inviting Amy to the party.
PS0E8|Yes She might do.
PS0EA|Pardon.
PS0E8|I don't think she expected a present.
PS0E9|Why why didn't she.
PS0E8|Well I think that Amy didn't go to Lucy's party I think.
PS0EA|Pardon.
PS0E8|I think if you didn't go to Lucy's party I don't think Jenny was expecting a present From what's come in She looked a bit surprised didn't she.
PS0E9|Yes hmm.
PS0E8|You know she'd rather do Chimneys or something tomorrow than London Zoo.
PS0EA|Pardon.
PS0E8|We rather go to Chimney's tomorrow than to London Zoo.
PS0E9|Oh I was asking.
PS0E8|Would you.
PS0E9|Probably.
PS0EA|Yeah to London Zoo.
PS0E8|Don't you like London Zoo particularly.
PS0EA|I don't Clare doesn't really like going round all the creatures do you.
PS0E9|What.
PS0EA|Would you like go.
PS0E9|Might not be right I would quite like to go to Chimneys actually It's not too far aways.
PS0E8|No it's easier But it's easier if you got tact.
PS0E9|Why.
PS0E8|It's easier if you've got tact tomorrow.
PS0E9|Mm Why.
PS0E8|Well because tac doesn't finish till till half past twelve.
PS0E9|Don't you got one of those.
PS0E8|Don't know how they've decided whose has got one.
PS0EA|Decide what.
PS0E9|Could be just our way.
PS0E8|I don't know how they decided who's got one.
PS0E9|Do you think it's worth twenty five pounds.
PS0E8|That must be it.
PS0E9|You can't get too many people doing it unless Marks and Spencers free.
PS0E8|I don't think Marks and Spencers will give them free.
PS0E9|Twenty five pounds.
PS0E8|Did you like Amy's suit.
PS0EA|Not very much but I.
PS0E9|Do you know what you can wear underneath it.
PS0E8|I think you're supposed to wear a T-shirt.
PS0E9|It's a bit cold.
PS0E8|Hmm.
PS0EA|I was just reading that.
PS0E9|Peter.
PS1KL|Huh.
PS0E8|Who did Eve have on her plate Amy.
PS0EA|Mrs Tiggywickle.
PS0E8|Who did Eve have on her plate.
PS0E9|Plate Mrs Tiggywinkle.
PS0E8|Mrs Tiggywinkle did she.
PS0EA|I was telling her what it said.
PS0E8|You haven't done any.
PS0EA|Pardon.
PS0E8|You haven't done any reading have you You'd better read a chapter before we go out this afternoon.
PS0EA|He's got a musical test which says don't they're tired they're tired and then he said the pig says I'm not and then the people said Oh dear and then he said I'm hungry and then they said they're hungry and he says I'm not and he's sleepy I don't like story She read that to me It was quite easy um I read it again to her It was quite a good reason really.
PS0E8|Well I think Jenny's um sort of.
PS0EA|We've never had hardly seen it before because I haven't lawn in that book before have I.
PS0E8|You haven't had what.
PS0EA|Lawn.
PS0E8|Ah The word you mean.
PS0EA|Yes.
PS0E8|Ah Perhaps not.
PS0EA|Pardon Oh is that in her book.
PS0E8|You could read it could you.
PS0EA|Mm But if I just she said lawn so I knew what it said.
PS0EA|But she made it first than me I've been through quite a lot.
PS0E8|Mm Yes you're doing quite well.
PS0EA|I've got two.
PS0E9|Said long words like that kept using very long words Like I shall excavate this house.
PS0E8|I hope not.
PS0E9|you aught to use long words.
PS0E8|That's probably what they want to know Which words you do use.
PS0E9|Can't remember.
PS0E8|In conversation.
PS0EA|You going to take it to Jenny's with you tomorrow.
PS0E8|I suppose so I suppose we'd better take it wherever we go.
PS0EA|Yeah you can just about it.
PS0E8|They can hear what you're saying now.
PS0EA|Yes I can hear everyone.
PS0E8|It only picks.
PS0E9|Hello.
PS0E8|Stop it.
PS0E8|No Stop it Not well just behave You shouldn't have done Doesn't make it any better if you messed about it picked up what I said but it didn't pick up very well what Jenny said.
PS0E9|Yep But what I said.
PS0E8|Don't know I didn't listen listen to.
PS0EA|A bit better.
PS0E8|I think it takes you forty five minutes to listen to it all back again.
PS0E9|Yeah.
PS0EA|Is Jenny quite happy at the moment she's going to.
PS0E8|I don't think she's much choice has she.
PS0EA|She hasn't got much of a choice for what.
PS0E8|Where Amy's going or you've got to go there and you think of the positive When's their they've had their open day or is there another one.
PS0E9|Don't know.
PS0E9|Thank you Don't know quite what that was.
PS0E8|I should think that was.
PS0E9|What.
PS0E8|I should think they'll have another one nearer the end of term.
PS0E9|Oh yes.
PS0EA|people She only has other people to her house.
PS0E8|Well she only had a small party didn't she.
PS0E9|Yes she's only got that small house It's tiny.
PS0EA|Oh Amy you don't even like them.
PS0E9|I am only looking at them.
PS0E8|Come on eat up we want to get out.
PS0E9|Quarter past two.
PS0EA|Not no nasty day What does that say.
PS0E8|No it's not a nasty day It's a better day.
PS0E9|No what that says.
PS0E8|Oh those are those turtles.
PS0EA|Pardon.
PS0E8|Nintendo.
PS0E9|Oh I thought it said no.
PS0EA|No there not there the turtles.
PS0E8|Are they.
PS0E9|Yes.
PS0E8|What's Nintendo.
PS0EA|It's a super mummy Nintendo is like a pocket computer.
PS0E8|Oh is it.
PS0E9|Huh You know better than those um ones that has got you know They cost seventy pounds.
PS0E8|Lucy's had her er.
PS0EA|What's that say.
PS0E8|car Sony That's who makes it.
PS0EA|Well he's got one like that.
PS0E8|Hmm.
PS0EA|Red.
PS0E8|Hmm.
PS0E9|Not the colour I would have chosen I think I would have chosen black.
PS0E8|Would you.
PS0EA|Hmm.
PS0E8|Mm.
PS0EA|Out of the other ones white if there was I would have chosen white.
PS0E9|I would have chosen red.
PS0E8|Don't you like red.
PS0EA|No not much I like yellow that's my second favourite colour Nice bright colour my favourite's that.
PS0E9|That's a lovely pink isn't it.
PS0E8|Mm.
PS0E9|I like that pink I like peach as well.
PS0EA|That's a nice colour Everyone's got a favourite colour I wonder what daddy's is.
PS0E8|Don't know really.
PS0EA|Might be black Ask him.
PS0E9|Mummy that's like an.
PS0E8|Yes not with your mouth full.
PS0EA|Can I have another cutlet.
PS0E8|That's your third.
PS0EA|I know.
PS0E8|So you'd like a film for your camera.
PS0EA|Yes please.
PS0E8|I should think that Mr Staton would put it in for you wouldn't he.
PS0EA|Yeah.
PS0E8|Um.
PS0EA|There's a competition for the best photograph.
PS0E8|Oh well you'd better take your camera then Amy you can have that other little one if you like Would you like that for your holiday.
PS0E9|Yes please I'd like it now for my.
PS0E8|Hmm you may have that one.
PS0E9|Pardon.
PS0E8|You may have that one.
PS0E9|Pardon.
PS0E8|You can have that one.
PS0EA|Are we having a boat rip around the needles.
PS0E8|Hmm.
PS0EA|I might take one of the needles.
PS0E8|Well take a few photographs.
PS0EA|Yes.
PS0E8|I mean don't forget You're usually hopeless.
PS0EA|All right I'll put it in my back pack.
PS0E8|And take a photograph of everybody as you set off Mr Staton always takes a group one so if you say just a minute I'd like one too.
PS0EA|I'll get pictures of Mrs just about to fall in the sea or something.
PS0E9|Just about what.
PS0EA|And then Mr Staton asleep on the lake or something.
PS0E8|You'd be lucky to find one of Mr Statton asleep.
PS0E8|I don't think he's going to go to sleep while he's in charge of thirty of you.
PS0E9|Then here you are just.
