KCDPSUN|Let's just have a look at your erm camera What do you need your money for.
PS0E9|Nothing.
PS0E8|Nothing You haven't made your bed.
PS0E9|I know I haven't really had time.
PS0E8|Neither of you have thrown either of your old hankie boxes away.
PS0E9|Amy keeps getting mine out of the bin.
PS0E8|Well erm throw them in the bin down outside erm you got a two hundred.
PS0E9|Why why can you put it on different things.
PS0E8|Well you can have different fims I thought it might be easier to get you what you've got in already you've still got tea round your mouth and have you cleaned your teeth cause they weren't very clean um you could take Tom's midnight garden with you.
PS0E8|Oh you're not going in your earrings.
PS0E9|Oh mummy I never wear them otherwise.
PS0E8|Well you won't wear them You'll take them off.
PS0E8|I don't think they're very suitable They're for playing.
PS0E9|What.
PS0E8|They're for playing in Not really suitable for come on throw your dirty empty tissue boxes away Come on put your coat on then Amy See if we're locked up No.
PS0E9|Mummy.
PS0E8|What.
PS0E9|wear the jackets with all the badges.
PS0E8|Yes I should think so.
PS0E9|Where is it.
PS0E8|Do you want to wear that I'm not sure.
PS0E9|Can I wear this then.
PS0E8|Erm.
PS0EA|No it wasn't Mum.
PS0E9|It's not there.
PS0E8|Is it in your bedroom.
PS0E9|Pardon.
PS0E8|Is it hanging up in your bedroom.
PS0E9|I've looked.
PS0EA|Nice little purse.
PS0E8|Yes it's a nice little purse Don't break the coat hanger.
PS0EA|I've got to take the purse to the Isle of White cause to put your money in You get two pounds a day You can save it.
PS0E9|What on earth did you put in your pockets.
PS0E8|Oh goodness knows Well does it fit you.
PS0E9|The arms are quite big but that doesn't matter.
PS0E8|I'm not sure that it's mildly clean.
PS0E9|Pardon.
PS0E8|I don't know that it's terribly clean.
PS0EA|That's the Isle of White.
PS0E9|Pardon.
PS0EA|Badge You've got the badge on the arm.
PS0E9|Where.
PS0E8|The Isle of White Oh it fits you all right.
PS0E9|Mm.
PS0E8|Din it.
PS0E8|Oh you shouldn't do it right up at the top.
PS0E9|Why American.
PS0E8|Yes I don't know go on We seem to have a lot of dirty tissues and stuff.
PS0EA|There not mine.
PS0E8|Hmm I don't know whose they are.
PS0E9|Have you got my hankies.
PS0E8|Oh I've just thrown a whole load of screwed up ones out Go and get a few more Remind me we must get some handkies Are you putting a coat on Clare or are you going like that Let's hope we can find a parking space Right Is that everything So you want a film and you want a back pack And you want a.
PS0EA|I don't need a very big back pack because all it's got to carry is my.
PS0E8|It's got to carry your lunch hasn't it.
PS0EA|My lunch and my camera.
PS0E8|And a box and a.
PS0E9|Fits me doesn't it.
PS0EA|If I put my camera in the front.
PS0E8|Come on.
PS0E9|The coat does fit me.
PS0E8|Yes it looks rather nice You've got France on it as well.
PS0E9|Pardon.
PS0E8|France and you've got all your American ones.
PS0E8|No France here.
