KCDPSUN|Right I think that Salisbury's is probably the best place for a back pack do you.
PS0E9|Shall we go there first.
PS0E8|Yes Do you want a new washing bag and a salon to take with you or are you not bothered.
PS0E8|Mm.
PS0E9|I've got plenty.
PS0EA|You can't take mine.
PS0E8|You can't have Amy's You've only got the one What.
PS0E8|Oh nothing I just thought you'd like a new one Oh right In that case.
PS0E9|All we've got to have is.
PS0E8|Well I certainly wouldn't bother taking any shampoo if you can't have a hair drier.
PS0E9|Well Charlie'll have to so we can all wash our hair.
PS0E8|Well Charlie's not going Why is hers very long.
PS0E9|Yes.
PS0E8|She can sit on it can she.
PS0E9|Yeah easily It comes down to about here.
PS0E8|Hmm How often does Amy wash hers then.
PS0E9|What.
PS0E8|How often does Amy wash.
PS0E9|Every day.
PS0E8|Every day Oh gosh.
PS0E8|Oh careful It's getting worse this road Look at all this lot.
