KCDPSUN|Do you think I'm well enough for my trip.
PS0E9|No I think we've got quite fit.
PS0E9|No it fits in a case.
PS0E8|Yes Yes That's the one.
PS0E9|Green one.
PS0E8|What other colours is there.
PS0E9|There're aren't.
PS0EA|I will take the yellow one I think You've got the white one anyway.
PS0E9|You'd rather have that than the you know.
PS0EA|Yes.
PS0E8|Does this tooth Mum does this toothbrush fold up.
PS0E9|No it's in a case so you don't get.
PS0E8|Does the boys something When you.
PS0E9|When you want some soap hmm.
PS0EA|Is there a toothbrush inside that.
PS0E9|Hmm.
PS0E8|thing.
PS0E9|She wants her soap and some tissues Erm I don't think you need teenage mutant hero turtles.
PS0E8|Why.
PS0E9|Well you need more that those.
PS0E8|What are those Those could be hankies Teenage mutant turtle hero hankies.
PS0E9|Don't you think you would be better having a proper size size box.
PS0E8|hankies Mutant hero turtles.
PS0E9|She won't Yeah You won't if you get a cold.
PS0EA|Shall I take two.
PS0E9|Well er tissues anyway.
PS0EA|I think that tissue paper's thick.
PS0E9|Unclear.
PS0E8|p.
PS0E9|Well I think I don't think there'll be enough for you for a week Er I should take a box.
PS0EA|Yes it will.
PS0E9|You won't have all that much.
PS0EA|Could I take this one.
PS0E9|Yes all right All right Soap camelia or rose Which soap do you want.
PS0EA|Camelia What's camelia.
PS0E9|Pink.
PS0E8|That was the one I had.
PS0E9|Orangey colour that one.
PS0EA|I need this one because I lost it I lent it to Bronwen.
PS0E9|You want that one too.
PS0EA|Yes.
PS0E9|Well it's o do you want a new flannel or anything particular We need a new.
