KCDPSUN|Have you got a soap box.
PS0E8|Have ou got a box for your soap No that's a dish she wants a box.
PS0EA|Oh Right.
PS0E8|They're only a pound They're a pound Deary me.
PS0E8|Yeah Want that colour Or a pink one or a blue one.
PS0EA|One sort of flesh coloured.
PS0E8|Bit expensive aren't they Can make up one.
PS0E9|Amy have you seen my head shawl.
PS0EA|You haven't.
PS0E8|Oh yeah oh look Those the ones as well No they weren't the ones Yeah they got bristles Maybe you'd like one of those.
PS0E9|this is a fish.
PS0EA|That's the best one.
PS0E8|There's a fish one Well I should think the pink one look er hairbands apparently.
PS0EA|Come on then.
PS0E8|No Amy Come on.
PS0E9|Pardon.
PS0EA|Buy one Why can't we buy one Mum Why can't we buy one.
PS0E8|You're you're all right for a hair brush then are you.
PS0EA|I'll take mine er.
PS0E9|Oh mummy mummy.
PS0E8|Yeah that's sure.
PS0EA|Ah this is it.
PS0E9|Mmm.
PS0EA|Bright red Oh there're good I like the green one.
PS0E8|White do you think Yeah yeah.
PS0E8|Right that will do I think Right let's go and get this lot then That's all you need isn't it.
PS0E8|Go on then Oh we've still got next week if you here we are There's a queue here You need anything else.
PS0E9|Hair conditioner Mummy.
PS0E8|Well we've got some hair conditioner.
PS0E9|Hair conditioner.
PS0E8|Yes I don't think we need any more at the moment Oh I know what I want I want some stuff for my nails nail varnish No ah Right right there's one here.
PS0E9|There's a hankie.
PS0EA|When will.
PS0E8|Well Amy I'll get you one another day hey We are just getting Clare what she needed to go away with.
PS0E9|What's that What's that.
PS0E8|A soap box to put soap in Otherwise everything will be tasting of soap.
PS0E9|Aren't you.
PS0E8|No no no no no Amy Now yu can put them out if you like You wanted a er thing for your from erm Smith's didn't you.
