KCDPSUN|Always on my mind.
PS0E9|Oh I don't.
PS0E8|Why that.
PS0E9|What that thing through the.
PS0E9|Let's have a look and see if there is some fruits or one.
PS0EA|Those are mine.
PS0E9|What.
PS0EA|That's where she got these from This one is mine Sorry Happy Birthday.
PS0E9|No I don't want happy birthday do you.
PS0EA|Miss you.
PS0E9|Oh yes well that's not very appropriate is it.
PS0EA|Thank you.
PS0E9|No happy birthday that says.
PS0EA|I know I'm looking for.
PS0E9|Let's see what that Oh that one there No the big one How much are these Erm that one.
PS0EA|Happy birthday.
PS0E9|where did you get it from There that would be.
PS0E8|Why do you think we'll have to have one like that.
PS0E9|Well don't you think that's quite appropriate.
PS0E8|Hmm.
PS0E9|Hmm With the ballet shoes.
PS0E8|I'm cold.
PS0E9|Now is that better The ballet shoes are more appropriate don't you.
PS0E8|Mm mm.
PS0EA|She'll probably like that better Ballet shoes.
PS0E9|away Amy.
PS0E8|I like that one.
PS0E9|You like that one.
PS0E8|Hmm.
PS0EA|That's not funny Mum.
PS0E9|No I don't like I like that one better.
PS0E8|I like that.
PS0E9|No that one's bigger.
PS0E8|Pardon.
PS0E9|That's got bigger It's too expensive.
PS0E9|I should get her the ballet shoes cause it was a ballet dancing that would be very appropriate and I'll get her some flowers.
PS0E8|Well why don't we give her flowers because we've given her
|flowers.
PS0E9|I think she'd like the ballet shoes It was a ballet exam wasn't it.
