PS0EC|Oh great Well done.
PS0EB|Well no-one's gon na know What do you think they put it on radio or something.
KCEPSUN|recording it for.
KCEPSUN|Well the the it's just a survey to see.
PS0EB|what what words people actually use in everyday life.
KCEPSUN|Oh ya ya.
KCEPSUN|Great Andrew well at the mo at the moment is the most used word.
PS0EB|It's a nice name that is actually.
PS0EE|Yeah.
PS0EB|Is it Italian or something.
PS0EE|be Becki.
KCEPSUN|I think a really nice name is is.
PS0EE|This isn't gon na be shown in the school is it.
KCEPSUN|Yeah.
KCEPSUN|Ooh.
PS0EE|Where's it going.
PS0EB|Just send it away It goes to London Nobody's gon na know Becki don't worry.
PS0EE|Alright and guess who lives in London Stephanie.
PS0EB|Yeah well there's qu there's quite a few million people actually who do.
PS0EB|So I don't think that actually.
PS0EE|can't really miss her such a fat cow.
KCEPSUN|Speak of the devil.
PS0EE|Oh sit yourself down you fat cow.
PS0EB|Steph any cards.
KCEPSUN|Stiff.
PS0EB|Have you got my card Can I.
KCEPSUN|Stiff.
PS0EB|have it a sec.
KCEPSUN|How did you get on Steph Was it good.
PS0EB|Excuse me speak up a bit Don't worry I'm only recording you.
KCEPSUN|Do you know what I'd do I'd put it underneath the drawer in my mum and dad's bedroom at night Specially in a caravan they're going rock rock rock rock rock rock.
KCEPSUN|Ah.
KCEPSUN|Oh that would be funny that would.
PS0EB|Whatever you do don't panic She will think you're manic Whatever you do don't pale because you're bound to fail.
PS0EB|Just give us a big cheesy grin and you know you're in with a chance.
PS0EB|squeaky clean Good luck sorry about the.
KCEPSUN|I had a dream last night there was a mega earthquake.
KCEPSUN|And Clare was supporting it.
KCEPSUN|No.
PS0EB|Clare had got flatulence sorry that was nasty.
KCEPSUN|Can I use some big words obscure antidisestablishmentarianism.
KCEPSUN|Ooh.
KCEPSUN|She's got a dictionary somewhere.
KCEPSUN|Read it That's the longest word in the dictionary.
KCEPSUN|Pardon.
KCEPSUN|That's the longest word in the dictionary.
PS0EB|Sad People s started sniffing.
KCEPSUN|I reckon the most used words are things like the.
PS0EB|And sex.
PS0EB|No I don't.
KCEPSUN|And.
KCEPSUN|Yeah No like cos people go you mean like you mean like.
KCEPSUN|And if you come from Man if you come from Manchester it's.
KCEPSUN|Aye.
PS0EB|It actually picks up voices really well Cos I had a load of music on and you could still hear voice.
KCEPSUN|Well how about the background noise Will it can it do the background noise.
PS0EB|I du n no I haven't listened to that much really.
KCEPSUN|pick it up if I farted.
PS0EB|Not with me no Oh yes I have in my bag.
KCEPSUN|Have you.
KCEPSUN|Shall we listen to it in a minute please.
PS0EB|Alright then.
KCEPSUN|I wan na listen to it you've already listened to it.
KCEPSUN|Do you mind not using this obscure words.
PS0EB|It doesn't matter you can fart if you want.
KCEPSUN|You should pick up a chair and throw it at me but.
PS0EB|Me and Emma was talking about the flipping things she gets up to with Scott.
KCEPSUN|Well that's not much.
PS0EB|What.
KCEPSUN|Emma who.
KCEPSUN|Not much really.
PS0EB|I forgot you knew her actually just then.
KCEPSUN|Becki do you know Emma.
PS0EE|No sorry.
KCEPSUN|On her first day there she asked yeah.
PS0EB|Hang on let me switch myself off.
KCEPSUN|Why bother Stick it in your pocket.
