|Unknown_speaker Unidentified
PS0EB|Oh wow What a hairstyle.
PS0EJ|I know it's cool isn't it.
PS0EB|I've got to go and do some work.
PS0EB|Have you why Why.
PS0EB|only a folder.
PS0EB|A folder oh.
PS0EB|Yeah.
PS0EB|no it isn't he he said that's rubbish oh did you hear about oh yes you were there when we put hair.
PS0EB|In her shoes.
PS0EB|and she put them on.
PS0EB|Yeah.
PS0EB|And she she had a right go at me yesterday right er this afternoon she goes oh I took it out before I put me shoe me foot in it killjoy.
PS0EB|She probably didn't.
PS0EJ|What's a matter with that I think it's good.
PS0EB|I know.
PS0EJ|except for the knees.
PS0EB|What.
PS0EJ|The knees are a bit erm.
PS0EB|I'm sorry I'm sorry I'm not a bubbling Picasso.
PS0EJ|It's erm yes actually the skirt's not oh well it's your drawing I like the you've got the shoulders and the head right I can never do that I could never get the portions right.
PS0EB|give me just a little more time.
PS0EJ|that's only what I've written in my analysis and that.
PS0EB|You haven't done nothing yet so how can you analyze it.
PS0EJ|Oh.
PS0EB|Is it analy analyzing it.
PS0EJ|Mm where do I stick this now Helena.
PS0EB|Put it back in my folder.
KCEPSUN|Did you have a nice game of football.
KCEPSUN|Did you have a nice game of football did you.
KCEPSUN|Can we join you can we We're real demons with the goal we are.
PS0EB|Excuse me I am.
KCEPSUN|no cos I'm not into volleys are we we'll tackle them.
KCEPSUN|breaking their legs and kicking them in their bollo I mean balls in the in the in the.
PS0EB|Testicle area.
KCEPSUN|Let's go and sit down in the thing.
PS0EB|Are we Ah I don't think I could you know.
PS0EB|where you going.
PS0EB|no come on.
PS0EB|oh no it's nice and quiet oh hello sorry but we're not taping this conversation or anything.
PS0EJ|It's come off actually Helena.
PS0EB|Who's is it.
PS0EB|Is it Oh it's mine it's mine.
PS0EJ|It's not hers really let's have a look.
PS0EB|Ah.
PS0EB|Isn't it wonderful.
PS0EJ|you should hide it a bit more than that.
PS0EB|Well you can't really but no one notices but I'm not doing it on purpose it's for a survey I get twenty five pounds for mm watch me weep.
PS0EJ|Mm and what do you do on the survey.
PS0EB|Just record my conversations to everyone.
PS0EB|Why.
PS0EB|I'm doing a survey.
PS0EB|Who.
PS0EB|This er dictionary company.
PS0EJ|I don't believe you.
PS0EB|A dictionary company You don't buy a dictionary company.
PS0EB|Where do you think it's coming from.
PS0EJ|Are they gon na are they gon na hear this now No they're not.
PS0EB|They are.
PS0EB|I thought it was.
PS0EB|they are honestly aren't they.
PS0EJ|Oh erm where did you.
PS0EB|I am doing this honestly.
PS0EJ|where did you see this then in a magazine or something.
PS0EB|No my they came round to my house.
PS0EB|honestly I swear it on my mother's grave.
PS0EB|it's not it's my Walkman they gave me a Walkman they gave me twenty tapes I'm not joking.
KCEPSUN|Let me have a look at this Walkman.
PS0EB|I don't believe you had.
