PS1GH|Here did you hear that Barry.
PSUN|We must be the latest your number one fucking.
PSUN|Oh I must get.
PSUN|You've lost that loving feeling ooh that feeling he's got that feeling which is is gone gone gone cos he can't go on no wow wow bom bom bom bom bom bom bom.
PSUN|can't go on no wow wow bom bom bom bom bom bom bom.
PSUN|What.
PSUN|he get's down on his.
PSUN|Microphone when we start singing.
PSUN|Go on break the.
PSUN|We don't need nothing.
PSUN|Oh what we need is Richard over here to give us some of his crazy comments yeah.
PSUN|never came over today did he.
