PS1GF|Its a nice time sheet.
PSUN|It is isn't it.
PSUN|Yeah pin head.
PSUN|Is it pin head.
PSUN|Is that him that keeps doing that or is it fucking Mark.
PSUN|its Mark.
PSUN|Oh.
PSUN|since Friday cut that out.
PSUN|The whole fucking weekend to do with it.
PSUN|I just can't fucking swear.
PSUN|Your a bad influence Mark.
PSUN|out there.
PSUN|Yeah its hardly there.
PSUN|It cuts my.
PSUN|I thought I'd paid that.
PSUN|The kids watching time sheet up like that.
PSUN|Still I don't.
PSUN|Some bloke outside.
PSUN|I don't think.
PSUN|I've had one time sheet yet that hasn't been cut up the last two or three months.
PSUN|just give it the fucking chewed it off completely.
PSUN|No some bloke outside coming in don't know who it was.
PSUN|Mark probably I don't know fucking tolerant sort of bloke.
PSUN|Tolerant sort of bloke.
PSUN|Mm.
PSUN|I'm glad I'm going home at half four tonight.
PSUN|I ain't got a.
PSUN|No I have ain't I I've worked the last five get out.
PSUN|So out you gon na make up your.
PSUN|I'm not.
PSUN|I've only got to make up three hours.
PSUN|Sorry.
PSUN|I've got to make up three hours.
PSUN|Sorry.
PSUN|I've got to make up three hours instead of four.
PSUN|Yeah.
PSUN|Get docked for it then.
PSUN|They keep a list of it and when overtime comes back see I'll have to make it up then I'd rather do that than re-arrange all my stuff just for that I usually come in seveno'clock.
PSUN|I usually have to come in seveno'clock that's how I did it and now I've been over here sort of mucks the whole system so I've got a driving lesson tomorrow night I can't cancel that.
PSUN|Yeah.
PSUN|pin head he brought it over to me.
PSUN|What's the point of having the then.
PSUN|Well your a super go and get one of them and don't cut a whole out of that bit.
PSUN|I think you boil them I think you boil them.
PSUN|Don't forget.
PSUN|I've got.
PSUN|He laughs anyway.
PSUN|Yeah I know.
PSUN|Now what happens he'll laugh all night he'll fucking laugh.
PSUN|I know what your trying to say.
PSUN|fucking fell on his head didn't it and the whole fucking shops in uproar.
