KE0PSUN|Well I had six lamb chops they were only little baby chump chops I think you'll probably.
PS0SY|Well you only get.
PS0SX|get more off a shoulder.
PS0SY|Yeah only get more small chops anyway don't you from that.
PS0SX|I have left you one.
PS0SY|Oh.
PS0SX|They're still yesterdays.
PS0SY|Oh.
PS0SX|They're the ones that you left for me.
PS0SY|Aha.
PS0SX|Ain't bad going is it Erm there was four pork chops there two gammon steaks and I thought I don't want two gammon steaks we've already got gammon in the freezer erm.
PS0SY|Have we.
PS0SX|Yeah they got ta come out the freezer cos they're for tomorrow Erm little bit of boiling ham about that by about that and I thought no I'm not having that It's only really good for sandwiches Chicken portions.
PS0SY|Well I must admit you was what Thirty forty.
PS0SX|Fourth.
PS0SY|Fourth and you didn't I mean you didn't seem to have a lot to pick from The butcher ain't giving you that much.
PS0SX|Didn't have that much to pick from.
PS0SY|No.
PS0SX|And there was not a lot unless the people had had three bits of beef If they've had three bits of beef then there would have been.
PS0SY|No chickens.
PS0SX|Yes There was two chickens left there I didn't want a chicken.
PS0SW|Well why should when there's a shoulder of lamb.
PS0SX|Yeah I thought the shoulder of lamb would be much nicer and it looked nice and fresh.
PS0SW|Who else was down there.
PS0SX|Your dad had a game of snooker with ah la la la la Albert.
PS0SW|Mm.
PS0SX|Roddy Colin Norman Brian.
PS0SW|There was six of them.
PS0SX|Pardon No But dad had a game with Albert.
PS0SW|Less coffee powder in there.
PS0SX|No you got ta.
PS0SX|I'll show you how to do it Come here.
PS0SW|Okay.
PS0SX|You got cor.
PS0SW|I know.
PS0SX|You don't know.
PS0SW|I do.
PS0SX|That must of mixed in But it was quite a nice night.
PS0SW|Oh yeah.
PS0SX|Perhaps Yeah Not too expensive It was not bad at all.
