KE0PSUN|Which one's mine Dave Think it's that one isn't it.
PS0SY|Yeah That's the one.
PS0SX|Simmone you meant to write it in pencil.
PS0SW|I'm not.
PS0SX|Pardon.
PS0SW|Just just looks like it to you.
PS0SX|Have you used up the first side then.
PS0SW|Yeah.
PS0SX|Have you.
PS0SW|Yeah.
PS0SX|Who did you interview then Be.
PS0SW|Benjamin.
PS0SX|When.
PS0SW|Last night.
PS0SX|Well it can't be the whole of the first side No David it goes at the back Hey.
PS0SW|Job information hardly any people went to the there People said the first things.
PS0SX|You haven't.
PS0SW|Yes I went to we.
PS0SX|And he's got a lovely Geordie accent.
PS0SW|Yeah Speak.
PS0SX|You haven't spoken have you Speak Speak Got it on Speak Speak No speak Speak And again Speak Speak Speak Louder Speak Again.
PS0SW|Oh.
PS0SX|Again Speak Speak.
PS0SW|What shall I put down onto that.
PS0SY|Are you putting this on tomorrow or not.
PS0SX|No Tomorrow Cos I shall have more to go in it tomorrow.
PS0SW|Yeah but you go into tomorrow.
PS0SX|Where.
PS0SW|Behind the college.
PS0SX|What time.
PS0SW|Half five.
PS0SX|In the afternoon.
PS0SW|Mm.
PS0SX|Mm Who's gon na bring you home.
PS0SW|Don't know.
PS0SX|Will Pat.
PS0SW|Don't know I'm gon na ring Maria in the morning.
PS0SX|Mm.
PS0SW|She usually.
PS0SY|Well if nobody can bring you home then you phone here alright.
PS0SW|Yeah.
PS0SX|What time do you think it'll end though.
PS0SX|Four.
PS0SW|Four four usually four and half hours to.
PS0SX|You will I see Robin's had his hair cut.
PS0SW|Has he.
PS0SX|Mm You can always tell when the clippers have been up the back of the neck Can't you Dave It's a drag.
PS0SX|And Colin had his done about the same time.
PS0SX|time.
PS0SW|Who said so.
