KE2PSUN|Oh oh what have you done.
PS0W2|Hello Steve.
PS0W9|Ooh it isn't very often you wear.
PS0W2|Oh.
PS0W5|Mummy I've finished.
PS0W9|Alright darling I'll t here you are let.
PS0W2|It came off on the playing field and so there was no way I could find the little screw.
PS0W3|Oh it's okay.
PS0W9|Why not.
PS0W2|Is it alright Shall I leave it.
PS0W2|Oh thanks ever so much Steve that's great.
PS0W9|Fine I'll do that if you.
PS0W2|You're standing up I mean that's not good for you standing up eating a meal you know.
PS0W9|Oh he he's spent most of his life doing that Terry.
PS0W3|I'm quite used to it now.
PS0W2|What.
PS0W9|He spends most of his life doing that There alright then love.
PS0W2|Lovely thank you very much indeed.
PS0W9|pop them back in to you.
PS0W3|I'll drop them in later.
PS0W2|No I've got my other pair that I wear you know.
PS0W5|Bye bye Terry.
PS0W9|drop it back Terry.
PS0W2|Right.
PS0W2|Bye You've heard from Gavin I hear.
PS0W9|Well yes we did we rang on Tuesday we had a bit of a trouble getting through I think we rung about seven times before we got through but er he well well he didn't say anything to me everything I asked him he said yes to but Steve.
PS0W3|He said the skiing was good it was.
PS0W9|Yeah he said it's fantastic skiing he mind the.
PS0W3|He said it was lovely and hot at the top.
PS0W9|Don't do it there love in case it comes up.
PS0W3|But he was in the middle of a restaurant he said and I can't think he felt a bit awkward speaking.
PS0W2|Yeah.
PS0W3|didn't say too much you know.
PS0W9|Well he told me off because he was out on the erm bank sledging outside the hotel so I called him in That didn't sound very nice.
PS0W9|but he sa he he weren't homesick he I think it must be a nice place.
PS0W2|Mm.
PS0W9|he said er he normally gets homesick but he hasn't you know Yeah.
PS0W2|He's growing up isn't he.
PS0W9|Yeah.
PS0W2|Bye.
PS0W3|Cheers Terry.
PS0W5|Bye.
PS0W9|Bye.
PS0W2|Oh they've heard from Gav well she phoned Gavin yesterday apparently and he seems to be having a whale of a time.
PS0W4|Good.
PS0W2|He's not homesick.
PS0W2|Not really So how did you go have you got some more.
PS0W4|Well I just got this patterned.
PS0W2|Patterned Oh yes very good.
PS0W4|I'm trying to work out this fifty over here a whisky with bread.
PS0W2|Rye.
PS0W4|Oh very good Yes very good Well I hadn't got down to the R yet I hadn't reached.
PS0W4|with my alphabet.
PS0W2|Forty eight down held in high esteem held in high esteem held in high esteem.
PS0W4|What's the Nelson touch You turn a blind eye isn't it.
PS0W2|Yes where's that.
PS0W4|Erm there fifty.
PS0W2|The Nelson touch important if you fight like this.
PS0W4|What's forty eight down again what was it.
PS0W2|Held in high esteem.
PS0W4|I'm just wondering whether it's E D or E S to fight like this.
PS0W2|That fifty seven is seep strangely and quietly in quietly inside for furtive glimpses now it's quietly P isn't it So seeps strangely peeps peeps.
PS0W4|Where do you get the other P from there.
PS0W2|Quietly inside.
PS0W4|Oh the P yes true.
PS0W2|So that's a P which.
