KE3PSUN|That's funny weren't it.
PS0V7|Can you get some more of those they're nice.
PS0V5|Are you sure you don't want a cup of tea.
PS0V7|No thanks.
PS0V5|Anybody want some more twiglets.
PS0V4|Mm.
PS0V6|I'll have some.
PS0V4|few more.
PS0V6|Oh.
PS0V4|I'll have a few more.
PS0V4|Yeah.
PS0V6|Can't get them out you hold on.
PS0V7|I had a cup of tea round Heathers the other night I don't know what it was.
PS0V6|Are you gon na keep that on my right shopping as well.
PS0V4|I don't know.
PS0V6|Oh.
PS0V4|I might do depends if anybody doesn't like it.
PS0V5|Cos we'll have to ask Grandma and we'll have to ask Vicky.
PS0V4|Yeah.
PS0V7|That's a good girl.
PS0V5|Was it the checkout girl we always go to.
PS0V4|Yeah.
PS0V7|Oh and we.
PS0V5|We already had her last week.
PS0V6|Grandpa when she Grandma.
PS0V4|an make mm.
PS0V5|She missed you last week.
PS0V4|Did she.
PS0V5|Mm.
PS0V4|Oh.
PS0V6|I love the way they just flow it's incredible really Don't be stupid.
PS0V5|Do they.
PS0V4|Mm.
PS0V7|When they're ready now wonder what century they are at now thank you Ben leave there's a good boy If a proper lady was here we'd shut you in the kitchen claws on the lino and I think what's he doing he wasn't scratching and we and he chasing a fly round the kitchen.
PS0V7|Didn't you were chasing a fly Ben eh Is that nice big juicy one was it mm Was it a nice big juicy fly.
PS0V6|Mum You know that fifty pee you owe me.
PS0V5|Yes I know that fifty pee that I owe you I haven't forgotten about it.
PS0V6|Doesn't matter.
PS0V5|Mm.
PS0V6|You can if you like Oh you're supposed to say no not okay.
PS0V6|You're supposed to say no it's alright dear.
PS0V5|Here Ben.
PS0V6|don't worry dear.
PS0V5|That's two boxes.
PS0V7|Still come round my house.
PS0V5|No it's it's she was a bit over the hill for it I'm afraid.
PS0V7|Ooh.
PS0V5|nineteen.
PS0V4|Well she was th mm she was looking for she was looking for somebody Re who was in a particular age group.
PS0V7|Mm thirty five to forty five.
PS0V6|Oh.
PS0V4|Yeah thirty five to forty five cos they have to take it so many from each age group.
PS0V7|Yeah.
PS0V4|so they get er spread over the whole th the population.
PS0V6|Dad Mum.
PS0V4|and so er I was it.
PS0V6|Dad there was this alien he had these ginormous hands and silver eyes and he was really ugly.
PS0V6|like just a minute this Philip Schofield guy is popping up everywhere doesn't he.
PS0V6|He does Can that hear the T V.
PS0V4|Probably I don't know how successful it'll work but if I don't record conversations.
PS0V5|Actually the little red light is flickering up and down I don't know.
PS0V4|No it's Oh yeah.
PS0V6|That's when you talk that's what.
PS0V5|Oh so it's picking it up.
PS0V4|I er it seems to be okay.
PS0V5|Mm yeah it's when you talk.
PS0V4|Yeah it's it's flickering when I talk yeah.
PS0V5|Are you going to wear it tonight.
PS0V4|Erm I expect so.
PS0V6|Mum do you know Vicky.
PS0V7|Don't lose it there or you'll have to.
PS0V7|pay for it.
PS0V4|Mm.
PS0V6|Mum I don't think she.
PS0V4|But if I don't record it record when the television is on I'm not going to get very much at all.
PS0V5|No you're not.
PS0V7|So what.
PS0V4|As the television is always on.
PS0V5|Oh no it's not always on.
PS0V4|No alright.
PS0V5|But if the televisions not on the cd is.
PS0V4|Yeah music we've normally got some noise going on in the background.
PS0V6|Dad.
PS0V4|Yeah.
PS0V6|Guess what I've got to buy.
PS0V4|Mm what.
PS0V6|Can you guess I got erm no English is R S Sega Sciences.
PS0V5|Mind your tea Chrissie dog mutt.
PS0V6|and Geography as well go go on forever.
PS0V4|Mm.
PS0V6|Who's is that.
PS0V7|Well they're not yours.
PS0V5|I realise just today how.
PS0V4|Mm.
PS0V5|small the back the back problem that she's got is.
PS0V4|Oh.
PS0V5|I saw a little girl in the hospital.
PS0V4|Mhm.
PS0V5|and she wasn't o she didn't have a hump on her back but it looked as though her whole rib cage was at a.
PS0V4|Mm.
PS0V5|sort of forty degree angle to.
PS0V4|Yeah.
PS0V5|the body.
PS0V4|Ah.
PS0V5|Don't know.
PS0V6|I don't want Grandma.
PS0V4|What time have we got ta go About ten past.
PS0V5|Five well what time does it start five past as long as they're down before half past seven.
PS0V7|Did you phone that hairdressers for me.
PS0V5|No I haven't yet.
PS0V7|Why.
PS0V5|erm I'll phone up tomorrow.
PS0V7|Only if I'm going I might as well come up with you and get it all done together aren't I It's not the musical one is it.
PS0V4|No.
PS0V7|Its in black and white Take after a lot of the Nazis are strange.
PS0V4|Mm Is there anything worth recording tonight.
PS0V5|Murder most horrid.
PS0V4|Oh.
PS0V5|and Canned Carrot.
PS0V4|Ha.
PS0V5|and that's about it.
PS0V7|Elliot gave Civil Servants.
PS0V7|a good reputation.
PS0V4|Ah.
PS0V5|I wonder if Dad's got his other dog yet.
PS0V4|Yeah yes.
PS0V7|We'll soon know when they come here.
PS0V4|Well providing he doesn't erm.
PS0V5|I wonder how his foot is actually.
PS0V4|Yeah.
PS0V7|I wonder if he's been to the doctors with it.
PS0V5|No.
PS0V4|I don't expect so no.
PS0V7|like that.
PS0V5|It's about that long and it.
PS0V7|and it.
PS0V5|just came up over night till we found out in the morning well you can see it can't you Oh you did you see it the swelling on your dad's foot.
PS0V4|Yeah yeah I did.
PS0V7|If I had a swelling like that come up on my ankle I'd say right go to the doctors.
PS0V5|Just one more and I'll do just have a quick look round the outside see if they're here.
PS0V4|Mhm.
PS0V6|I really enjoyed my day off today.
PS0V5|Lets face it theirs wasn't to pick from should say really miserable.
PS0V7|I expect she was worried.
PS0V5|No.
