KE3PSUN|No it'll take a while.
PS0V4|Yeah.
PS0V5|it'll come suddenly What all you need know is a polishing off.
PS0V4|Mm.
PS0V5|You know you it's that's what it is it's getting the flow.
PS0V4|Yeah.
PS0V5|and that takes the one off.
PS0V4|Erm but he sorted something out for me I I said cos of course now.
PS0V5|Carry on drying your hair can you You've got it all.
PS0V4|Yes of course you carry on drying your hair erm so what happens now is that er I'm coming off the er coming off the clutches as before the corner.
PS0V5|Yeah.
PS0V4|and if it's a tight one and you're going round it in first really tight one then what you need to be doing really is slipping the clutch.
PS0V5|Yeah.
PS0V4|if it's really tight slipping the clutch in first and what I'm trying to do is I'm trying to control it on the accelerator you can't do it.
PS0V5|You'll be able to but you can't at the moment.
PS0V4|Mm.
PS0V5|And that.
PS0V4|And it's much easier to try and control it on the clutch.
PS0V5|Yeah.
PS0V4|So he s I said to him is it alright says am I in danger of coasting if I've got my foot on the if if I'm taking the corner in first and I'm slipping and I got the clutch I'm using the engine but I've not much.
PS0V5|Yeah.
PS0V4|and he said oh no that's not coasting.
PS0V5|No.
PS0V4|It's only if you've got the clutch right in.
PS0V5|Yeah.
PS0V4|But erm in second my foot should be flat on the floor He took me round that blooming Argyle Road three times.
PS0V5|Oh the horrible corner.
PS0V4|Yeah cos I told that was one I said that's that's the one I I over slowed on my test.
PS0V5|Yeah.
PS0V4|And he's told me that it's first gear right.
PS0V5|Yeah.
PS0V4|So what I was doing I was coming into it I was coming in too fast for the gear not too fast for the corner but too fast for the gear.
PS0V5|Yeah.
PS0V4|Shoving it in shoving it into first bring the clutch up quickly and the car goes weer and virtually stops.
PS0V5|Yeah yeah yeah.
PS0V4|so it wasn't the fact I was trying to lose too much speed it was that I changed into first and didn't have.
PS0V5|Enough revs on the engine to keep it going.
PS0V4|enough revs on the engine he'd be going and when I lift raised the clutch whereas if I had brought the clutch up part way.
PS0V5|The car would of slowly slowed down to be at the speed that the engine.
PS0V4|Yeah.
PS0V5|was going on yeah yeah.
PS0V4|Well as I actually had to going round the corner to get myself round the corner I had to come off the brake and onto the accelerator.
PS0V5|Yeah.
PS0V4|to actually get myself round the corner.
PS0V5|Yeah.
PS0V5|Yes because you see I don't remember I I think I take that one in second you see.
PS0V4|Mm.
PS0V5|But.
PS0V4|I took it I he said well try it and we went round it in first and I went and it went rrah.
PS0V5|Yeah.
PS0V4|and and so erm we er then I came round and I did it in second he said there you went too wide there.
PS0V5|Yeah.
PS0V4|you came close to the white line.
PS0V5|Yeah.
PS0V4|Yes course there's always a car parked on the corner isn't it.
PS0V5|There's always a car parked on the corner.
PS0V5|I must admit I'd always cheat at that corner when I'm coming up to it I don't do it suddenly.
PS0V4|Mm.
